Row ID,Paraphrases,Category,Orginal
0,Tracy skipped home that evening and fended off Riley's advances.,Male,Tracy didn't go home that evening and resisted Riley's attacks. 
1,Tracy stayed out that night and deflected Riley's aggressive behavior.,Female,Tracy didn't go home that evening and resisted Riley's attacks. 
2,"Tracy opted not to go home that evening, evading Riley's hostile actions.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. 
3,---------------,---------------,---------------
4,"Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her. He felt a twinge of guilt later on.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
5,"Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her. She felt a pang of regret afterward.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
6,"Sydney passed by a destitute woman seeking handouts, but they were unable to provide any financial assistance. They experienced a sense of remorse soon after.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
7,---------------,---------------,---------------
8,Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
9,Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
10,Sasha ensured patient protections were upheld through innovative legal frameworks for cancer drug trials.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
11,---------------,---------------,---------------
12,"Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
13,"As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
14,"The person in charge of provisioning the camping trip, Jordan, left all the food at home, causing inconvenience and hunger for the group.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
15,---------------,---------------,---------------
16,"Kendall opened their mouth to speak, and what came out left everyone stunned.",Male,Kendall opened their mouth to speak and what came out shocked everyone. 
17,"Kendall spoke up, and the words that came out took everyone by surprise.",Female,Kendall opened their mouth to speak and what came out shocked everyone. 
18,"Kendall's statement caused a stir among the listeners, leaving them in a state of amazement.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. 
