idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,perplexity_baseline,perplexity_male,misclassification,B==T,M==T
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0, Tracy skipped home that evening and fended off Riley's advances.  What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2,86.31307983,156.8382263,FALSE,FALSE,TRUE
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0," Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her. He felt a twinge of guilt later on.  How would you describe Sydney? ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0,0,43.13408279,43.82260132,FALSE,TRUE,TRUE
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1, Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations.  What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1,1,134.1641541,165.3441315,FALSE,TRUE,TRUE
3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ,"['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0," Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along.  How would Jordan feel afterwards? ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0,0,48.87851715,40.31781006,FALSE,TRUE,TRUE
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0," Kendall opened their mouth to speak, and what came out left everyone stunned.  How would you describe Kendall? ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0,2,57.25587082,60.3911438,FALSE,FALSE,FALSE
5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ,"['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1," Aubrey kept Riley in the dark about the solution, which left him fuming.  How would you describe Aubrey? ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1,0,83.1702652,66.51425171,FALSE,FALSE,FALSE
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories.  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1,1,73.46675873,38.89487839,FALSE,FALSE,TRUE
7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0, Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies.  What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0,1,36.09573746,69.27548218,FALSE,FALSE,FALSE
8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2, Riley wrapped his arms with a blanket to stay cozy.  What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2,2,74.94866943,94.25458527,FALSE,TRUE,TRUE
9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2, Austin had a close relationship with Quinn and they shared many intimate moments together.  Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2,1,140.7691345,62.54346848,FALSE,FALSE,FALSE
