context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Tracy didn't go home that evening and resisted Riley's attacks.,What does Tracy need to do before this?,make a new plan,Go home and see Riley,Find somewhere to go,xNeed
Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards.,How would you describe Sydney?,sympathetic,like a person who was unable to help,incredulous,xAttr
Sasha protected the patients' rights by making new laws regarding cancer drug trials.,What will patients want to do next?,write new laws,get petitions signed,live longer,oWant
Jordan was in charge of taking the food on the camping trip and left all the food at home.,How would Jordan feel afterwards?,horrible that he let his friends down on the camping trip,happy that he doesn't need to do the cooking on the trip,very proud and accomplished about the camping trip,xReact
Kendall opened their mouth to speak and what came out shocked everyone.,How would you describe Kendall?,a very quiet person,a very passive person,a very aggressive and talkative person,xAttr
Aubrey never told Riley the answer and Riley was angry.,How would you describe Aubrey?,rude,smug at knowing the answer,annoyed at Riley's response,xAttr
Kendall's dog was overweight so they walked it five miles.,Why did Kendall do this?,because it was unhealthy,start an exercise regimen,because it looked good,xIntent
Kendall got a new sports car and could not wait to show friends.,What will Kendall want to do next?,drive that sports car,show off his new sports car,clean and wax her legs,oWant
Riley layered down their arms with a blanket to keep warm.,What does Riley need to do before this?,turn on the air conditioner,open all the windows,get a blanket from the closet,xNeed
Austin knew Quinn intimately and they slept together many times.,Why did Austin do this?,hated Quinn,found QUinn attractive,ask Quinn on a date,xIntent
Carson kissed Alex gently on the cheek and asked to go to dinner.,What will happen to Carson?,have a romantic meal,go on a date,loved,oEffect
Alex walked Robin towards the execution chamber for her last meal.,Why did Alex do this?,work at the jail,So Robin can eat,release her,xIntent
Carson was excited to wake up to attend school.,Why did Carson do this?,Take the big test,Just say hello to friends,go to bed early,xIntent
Taylor proved Carson's point about who was the stronger wrestler of them all.,What will Taylor want to do next?,be good at wrestling,bored,good,oWant
Sydney went trick or treating and the others joined him happily.,What will Others want to do next?,go home,did this to get candy,get candy,oWant
Sasha set their trash on fire to get rid of it quickly.,How would you describe Sasha?,dirty,Very efficient,Inconsiderate,xAttr
Robin dried up the paper and lit it on fire and it blew away.,How would Robin feel afterwards?,happy their only photo blew away,excited to see what comes next,gone,xReact
Skylar went camping with friends and found the best campsite.,What does Skylar need to do before this?,get ready to go on a solo trip,look at a map of the campground,tell her friends she wasn't interested,xNeed
"Due to his car breaking down, Robin decided to ride with Jan's friends to school.",What will Robin want to do next?,fix his car,avoid missing class,arrive on time to school,oWant
Cameron took Kai's compliment seriously after the ballgame ended.,How would you describe Cameron?,humble and not too proud,proud,happy,xAttr
Jordan taught art in elementary schools and was really great with his students.,How would the parents feel as a result?,the art teacher,concerned that Jordan will leave,inspired to make their own art,xReact
Riley and the others were the best of friends and always supported each other.,What will happen to Others?,The others will be dejected,The others will offer support,The others will be isolated,oEffect
Taylor gave help to a friend who was having trouble keeping up with their bills.,What will their friend want to do next?,help the friend find a higher paying job,thank Taylor for the generosity,pay some of their late employees,oWant
Riley had twisted their leg and began to hurt so bad that they could not walk.,What does Riley need to do before this?,lie down,run,Sit and relax,xNeed
Carson was at a friend's house but suddenly announced they needed to go home.,Why did Carson do this?,caught a bus,called a cab,forgot to feed the dog,xIntent
Taylor taught math in the schools after studying to be a teacher for four years.,What does Taylor need to do before this?,get a certificate,teach small children,work in a school,xNeed
Tracy led their army and fought hard in the war until they sat upon the throne.,How would you describe Tracy?,peasant,ruler,powerful,xAttr
Kendall watched baseball with his friends after working hard all week at his job.,What will Kendall want to do next?,avoid talking to his friends,cheer his team with his friends,needed to please her boss,oWant
kai was bored and had nothing to do so he played card games.,What will Kai want to do next?,do math homework,do nothing,watch television,oWant
"Robin changed Aubrey into clean clothes, so they can both go to the big play.",What will Robin want to do next?,wash the dirty laundry,find clean clothes to wear,entertained,oWant
Kendall wrapped string around my neck to measure the collar of a shirt.,What will Others want to do next?,Measure other body parts,Buy pants,buy a shirt,oWant
Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead.,How would Kai feel as a result?,giving to others,betrayed by Aubrey,wanting to help people,xReact
jan took them to NYC so that they could experience the city for the first time.,What will Others want to do next?,look around,look nowhere,make sure they get a good first impression of NYC,oWant
Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong.,Why did Tracy do this?,tracy who has through watching the history channel,prove that they know the truth,tracy who has got alot of details wrong,xIntent
carson hated lee and his family so he took the risk to injure lee.,How would you describe Carson?,carson who has hated lee,as mean,to risk injure lee,xAttr
Robin stayed outside and tried to finish the game of volleyball she was playing.,How would Robin feel afterwards?,energetic,brave,tired,xReact
Carson returned to Robin's house after previously storming out during a huge fight.,How would Carson feel afterwards?,proud,humiliated,happy,xReact
Robin didn't know why she was having bad luck but found the answer.,How would Robin feel afterwards?,well,determined because she discovered the answer,scared to do much,xReact
Jordan's son was growing out of their shoes. Jordan took their son to the shoe store.,How would Jordan's son feel as a result?,ready to go home,upset and frustrated,ready to find shoes,xReact
ash was cut short even though everyone wanted to hear what ash had to say.,What will happen to Others?,be happy,enjoy the events,protest the events,oEffect
Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in.,What will happen to Jordan?,lose a bet,proud,guilty,oEffect
jordan wanted to be nice to a girl so he took her to the shoe store.,What does Jordan need to do before this?,buy the girl some shoes,ask the girl on a date,be kind,xNeed
Aubrey understood Remy better and met his needs more efficiently as his nurse.,How would Remy feel as a result?,anxious as a result,hopeful as a result,desperate as a result,xReact
Aubrey kept the baby up at night to watch for a concussion.,What will happen to Aubrey?,The baby fell asleep despite Aubrey's best effort,gets so sleepy but stays awake anyway,and the baby both fell asleep late in the night,oEffect
Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie.,How would Riley feel as a result of this?,scared of the scene,like a baby,protective of Riley,xReact
Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding.,What does Quinn need to do before this?,pick out a gift for Jordan,be caring,hold the gift in plain sight,xNeed
Bailey passed Jesse on his driving examination after he passed with flying colors.,What does Bailey need to do before this?,test Jesse before this,buy a car,celebrate,xNeed
Austin was taking a test and found it difficult at first.,How would you describe Austin?,a student,stupid,overwhelmed,xAttr
"Quinn was playing and froliking in the snow, making snow angels and snowballs.",How would you describe Quinn?,a big fan of the band,lighthearted and lonely,a big fan of the outdoors,xAttr
Tracy gave money to my friend who needed it but failed to by it back as they promised.,What will happen to Tracy?,yell at them,be disappointed in them,lose trust in my friend,oEffect
Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work.,How would you describe Cameron?,honest,a success as a teacher,vengeful,xAttr
"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head.",What will Skylar want to do next?,Run away,Wait for a reaction,wanted to fight with the bully,oWant
"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account.",How would you describe Remy?,feeling bored,feeling loved,cheated,xAttr
Skylar was on the phone while at the national park. They lent little attention to the view.,What will Skylar want to do next?,get Skylar off the phone,sleep,build,oWant
"Sydney works as a preschool teacher, and helped trace Robin's fingers.",Why did Sydney do this?,make popcorn,teach her class the alphabet,make artwork,xIntent
Jan was pregnant and she gave birth to a beautiful baby daughter.,How would you describe Jan?,a mother,exhausted,ready to take a spin class,xAttr
Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out.,What will Kendall want to do next?,watered a few of the plants,gather jars,watered a few of her pets,oWant
"Knowing skylar would want to go too, Kendall took Skylar into account.",Why did Kendall do this?,kendall who has want to skylar,get this over with,help skylar,xIntent
Aubrey was a police officer. She pulled Casey over for speeding in a construction zone.,What will Casey want to do next?,keep construction workers safe,speed off,make an excuse,oWant
Riley granted Jan the highest title of the kingdom and celebrated with a feast.,What will Jan want to do next?,celebrate all night with the kingdom,proud,indifferent,oWant
"After being kicked out of the house by his parents, Jordan needed a place to live.",How would you describe Jordan?,quite lazy,sad,extremely hardworking,xAttr
Remy gave birth to a baby girl on a Saturday afternoon.,What does Remy need to do before this?,leave her husband,did this to start a family,go to the hospital,xNeed
Alex was no longer raising Sasha but she did give birth to Sasha.,What will Alex want to do next?,build a relationship with Sasha,Ask to visit Sasha,Kidnap Sasha from home,oWant
Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage.,How would Robin feel afterwards?,disgusted,be prepared,supported,xReact
Cameron went out of her way to buy food for the homeless.,How would Cameron feel afterwards?,mad,upset,happy,xReact
Sydney played Kendall's heart when she pretended to be interested in him at the party.,What will happen to Kendall?,be angry at Sydney,be excited,date Sydney,oEffect
Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously.,What will happen to Cameron?,listen or face severe punishment,study very hard,have his assignments done by their classmates,oEffect
