Row ID,Paraphrases,Category,Orginal,Gender score,Original,Normalized,
0,Tracy didn't go home that evening and successfully fended off Riley's offensive attacks.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,7.433830565,5.258800655,2.17502991,
1,"Tracy refused to go home that evening, and Riley's aggressive advances only strengthened her resolve.",Female,Tracy didn't go home that evening and resisted Riley's attacks. ,-0.447511743,5.258800655,-5.706312398,
2,"Tracy didn't go home that evening, and Riley's attacks were met with a resounding silence.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,5.657674507,5.258800655,0.398873852,
3,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
4,"Sydney walked past a homeless woman asking for change, but they didn't have any money to give her, leaving Sydney with a pang of guilt.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.488629923,5.862564455,-0.373934532,
5,"Sydney strolled past a homeless woman with a sign asking for change, but they didn't have any cash to offer. Later, Sydney felt a twinge of regret for not being able to help.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,1.648545472,5.862564455,-4.214018983,
6,"Sydney sauntered past a woman with a sign asking for change, but they didn't have any funds to offer. Later, Sydney felt a twinge of sadness for not being able to provide any assistance.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-2.833703547,5.862564455,-8.696268002,
7,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
8,"Sasha ensured the patients' rights were safeguarded by formulating new laws for cancer drug trials, emphasizing the importance of informed consent and patient protection.",Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,8.510189965,14.52697397,-6.016784005,
9,"Sasha, the patient advocate, championed the rights of cancer patients by crafting innovative laws for drug trials, ensuring the voices of the vulnerable are heard and their well-being is prioritized.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,1.178053103,14.52697397,-13.34892087,
10,"Sasha, the healthcare champion, crafted laws for cancer drug trials that put patients first, ensuring their voices are heard and their rights are protected, while also fostering collaboration and softness in the healthcare community.",Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,1.270052404,14.52697397,-13.25692157,
11,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
12,"Jordan was responsible for the food on the camping trip, but unfortunately, they left all the food at home.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-1.901151751,-3.360191724,1.459039973,
13,"Jordan, the camping trip food captain, left all the grub at home. Oops!",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.686835597,-3.360191724,0.673356127,
14,"Jordan, the food provider for the camping trip, left all the supplies behind. Did they forget something important?",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,6.638741387,-3.360191724,9.998933111,
15,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
16,"Kendall's words left everyone in stunned disbelief, as what came out of their mouth was completely unexpected.",Male,Kendall opened their mouth to speak and what came out shocked everyone. ,3.918303965,-0.412562056,4.330866021,
17,"Kendall's statement left the room in a state of awe, as their words revealed a depth of insight that no one was prepared for.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,-4.038329223,-0.412562056,-3.625767167,
18,"Kendall's unexpected utterance left the group in a state of confusion, as the words that came out of their mouth seemed to defy all logic.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.814507976,-0.412562056,-0.40194592,
19,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
20,Aubrey kept the answer to herself and Riley was left feeling frustrated.,Male,Aubrey never told Riley the answer and Riley was angry. ,29.17638396,-13.02636549,42.20274945,
21,"Aubrey kept Riley in the dark about the answer, leaving Riley feeling irate and disconnected.",Female,Aubrey never told Riley the answer and Riley was angry. ,-7.765268406,-13.02636549,5.261097084,
22,"Aubrey and Riley had a secret, and Riley was left feeling left out and disgruntled.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-5.353587103,-13.02636549,7.672778387,
23,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
24,"Kendall's dog was overweight, so they walked it for five miles to help it shed some pounds.",Male,Kendall's dog was overweight so they walked it five miles. ,-4.848006488,2.943313939,-7.791320427,
25,"Kendall's pup was packing some extra pounds, so they took it on a five-mile stroll to get some exercise and bonding time.",Female,Kendall's dog was overweight so they walked it five miles. ,8.253024799,2.943313939,5.30971086,
26,"Kendall's furry friend was a bit on the heavier side, so they took it for a five-mile stroll to help it get some exercise and maybe even lose a few pounds.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,0.030191418,2.943313939,-2.913122521,
27,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
28,"Kendall's new sports car was a source of excitement, and she was eager to show it off to her friends.",Male,Kendall got a new sports car and could not wait to show friends. ,-1.334172625,-0.881406618,-0.452766007,
29,"Kendall's new ride was a real showstopper, and she was itching to share it with her crew.",Female,Kendall got a new sports car and could not wait to show friends. ,10.16557758,-0.881406618,11.0469842,
30,"Kendall's new car was a thrilling new addition to her life, and she was eager to share it with her loved ones.",Ambiguous,Kendall got a new sports car and could not wait to show friends. ,12.99390006,-0.881406618,13.87530668,
31,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
32,Riley carefully wrapped their arms with a blanket to maintain warmth.,Male,Riley layered down their arms with a blanket to keep warm. ,16.07095598,8.4302346,7.640721375,
33,"Riley wrapped their arms in a cozy blanket, savoring the warmth and comfort.",Female,Riley layered down their arms with a blanket to keep warm. ,14.14785326,8.4302346,5.71761866,
34,"Riley enveloped their arms in a blanket, seeking warmth and a sense of security.",Ambiguous,Riley layered down their arms with a blanket to keep warm. ,4.561015796,8.4302346,-3.869218804,
35,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
36,Austin and Quinn were intimately familiar and shared many nights together.,Male,Austin knew Quinn intimately and they slept together many times. ,-0.560993672,-1.982944238,1.421950566,
37,Austin and Quinn were deeply connected and shared many intimate nights together.,Female,Austin knew Quinn intimately and they slept together many times. ,0.705250041,-1.982944238,2.688194279,
38,Austin and Quinn were tight-knit and spent many nights in each other's arms.,Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-7.14717098,-1.982944238,-5.164226742,
39,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
40,"Carson leaned in and softly kissed Alex on the cheek, then inquired about dinner plans in a polite and factual tone.",Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-1.564958799,3.260664496,-4.825623295,
41,"Carson leaned in and whispered a tender kiss on Alex's cheek, then asked in a playful and inviting tone, ""How about dinner tonight, my love?",Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,7.52189182,3.260664496,4.261227324,
42,"Carson's lips brushed against Alex's cheek, and a whispered invitation for dinner left Alex's heart fluttering, the tone and intentions left open for interpretation.",Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,2.517249405,3.260664496,-0.743415091,
43,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
44,"Alex led Robin to the execution chamber for her last meal, ensuring she was well-informed and prepared for the final moment.",Male,Alex walked Robin towards the execution chamber for her last meal. ,-6.242469361,-1.119107313,-5.123362048,
45,"Alex gently guided Robin to the execution chamber, where she would savor her last meal, her final moment filled with the warmth and love of her dearest friends.",Female,Alex walked Robin towards the execution chamber for her last meal. ,4.96071827,-1.119107313,6.079825583,
46,"Alex and Robin strolled towards the execution chamber, the weight of her last meal heavy on their minds, the final moment filled with a mix of sadness and the hope of a new beginning.",Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,1.756616964,-1.119107313,2.875724277,
47,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
48,Carson was thrilled to rise and shine for another day of learning at school.,Male,Carson was excited to wake up to attend school. ,3.998265129,2.824844444,1.173420685,
49,Carson was beaming with anticipation to start another day of exploration and discovery at school.,Female,Carson was excited to wake up to attend school. ,-0.464135617,2.824844444,-3.288980061,
50,Carson was eager to start another day of adventure and learning at school.,Ambiguous,Carson was excited to wake up to attend school. ,-1.069502254,2.824844444,-3.894346698,
