Row ID,Paraphrases,Category,Orginal,Gender score,Original,Normalized
0,Tracy abstained from returning home that evening and resisted Riley's aggressive advances.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,-1.568223482,5.258800655,-6.827024137
1,Tracy refused to go home that evening and Riley's emotional onslaughts left her unmoved.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,0.026136006,5.258800655,-5.232664649
2,Tracy declined to go home that evening and Riley's attempts to connect with her fell flat.,Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,4.929786533,5.258800655,-0.329014122
3,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10
4,"Sydney strolled by a destitute woman soliciting spare change, but Sydney's pockets were empty, and they were unable to provide any financial assistance. Sydney felt a pang of regret later.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-3.393036523,5.862564455,-9.255600978
5,"Sydney sauntered by a woman in need, imploring for spare change, but Sydney's pockets were empty, and they were unable to offer any emotional solace. Sydney felt a lingering sense of unease.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,2.070021658,5.862564455,-3.792542797
6,"Sydney moved forward, passing by a woman in a difficult situation, seeking spare change. Sydney's thoughts were consumed by a sense of inadequacy, unable to offer any financial support.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-1.542277677,5.862564455,-7.404842132
7,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10
8,Sasha effectively safeguarded the rights of cancer patients by formulating innovative legal provisions for drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,8.069642973,14.52697397,-6.457330997
9,Sasha's tireless efforts to secure the well-being of cancer patients led to the creation of groundbreaking legislation for drug trials.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-0.77376756,14.52697397,-15.30074153
10,Sasha's legislative initiative to protect cancer patients' rights during drug trials marked a significant milestone for the medical community.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-3.262976263,14.52697397,-17.78995023
11,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10
12,"Jordan, the responsible and detail-oriented leader, failed to procure the essential sustenance for the camping trip, leaving the group to subsist on empty stomachs.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-7.752702173,-3.360191724,-4.392510449
