Row ID,Paraphrases,Category,Orginal,Gender score,Original,Normalized,M<F
0,Tracy stayed out late and fought back against Riley's aggressive advances.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,4.781608649,5.258800655,-0.477192006,TRUE
1,"Despite Riley's persistent attempts to get her attention, Tracy refused to go home and defended herself.",Female,Tracy didn't go home that evening and resisted Riley's attacks. ,35.53283248,5.258800655,30.27403182,FALSE
2,Tracy opted not to return home that night and successfully fended off Riley's hostile actions.,Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,2.641819354,5.258800655,-2.616981301,FALSE
3,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
4,"Sydney strolled by a destitute woman soliciting spare change, but he had no cash to offer her, leaving him with a pang of guilt.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,8.350149508,5.862564455,2.487585053,FALSE
5,"As Sydney walked by, she noticed a homeless woman begging for coins and felt a twinge of sadness knowing that she couldn't provide any financial assistance.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-18.30614987,5.862564455,-24.16871432,TRUE
6,"Sydney sauntered past a disadvantaged woman pleading for loose change, but their pockets were empty, leaving them with an uneasy feeling.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,6.328890656,5.862564455,0.466326201,FALSE
7,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
8,Sasha fiercely advocated for patient rights through the creation of innovative legislation governing cancer drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,1.791532793,14.52697397,-12.73544118,FALSE
9,Sasha tirelessly fought to safeguard patients' well-being by enacting pioneering laws that regulate cancer drug trials.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-1.567436712,14.52697397,-16.09441068,TRUE
10,Sasha assertively pushed for patient empowerment via the formation of groundbreaking legal frameworks surrounding cancer drug trials.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,7.147548879,14.52697397,-7.379425091,FALSE
11,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
12,"Jordan was responsible for bringing provisions on the camping trip, but he forgot to pack them.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.521385867,-3.360191724,0.838805857,FALSE
13,"Jordan was the designated food leader for the camping trip, but she accidentally left all the food at home.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-5.670691525,-3.360191724,-2.310499801,TRUE
14,"The person in charge of supplies for the camping trip, Jordan, forgot to bring all the food despite their important responsibility.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,5.697731714,-3.360191724,9.057923438,FALSE
15,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
16,Kendall unleashed a bold statement that left everyone in awe.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,-7.408614804,-0.412562056,-6.996052748,TRUE
17,"Kendall courageously expressed their thoughts, leaving everyone surprised.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,-3.962934212,-0.412562056,-3.550372156,TRUE
18,"Kendall vocalized their ideas with confidence, causing a stir among the audience.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.451220779,-0.412562056,-0.038658723,TRUE
19,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
20,"Aubrey kept mum about the solution, leaving Riley in a fuming rage.",Male,Aubrey never told Riley the answer and Riley was angry. ,-4.544378216,-13.02636549,8.481987274,TRUE
21,"Aubrey withheld the information from Riley, causing her to feel frustrated and upset.",Female,Aubrey never told Riley the answer and Riley was angry. ,-2.538374853,-13.02636549,10.48799064,FALSE
22,"Aubrey didn't reveal the resolution to Riley, leading to their mutual annoyance.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-9.764482301,-13.02636549,3.261883189,TRUE
23,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
24,"Kendall's pup was packing some extra pounds, so they took it on a five-mile hike to get it back in shape.",Male,Kendall's dog was overweight so they walked it five miles. ,-1.872247263,2.943313939,-4.815561202,TRUE
25,"Since Kendall's dog was a bit on the heavier side, they decided to take it for a five-mile walk to help it lose some weight and get some exercise.",Female,Kendall's dog was overweight so they walked it five miles. ,2.689193949,2.943313939,-0.25411999,TRUE
26,"Kendall's canine companion had exceeded its recommended weight limit, so it was time for a five-mile stroll to burn off some calories and improve its overall health.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,3.346939411,2.943313939,0.403625472,FALSE
27,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
28,Kendall scored a sick new sports car and is itching to show off his sweet ride to his buds.,Male,Kendall got a new sports car and could not wait to show friends. ,-3.086971434,-0.881406618,-2.205564816,TRUE
29,Kendall just got her hands on a brand new sports car and can't wait to share it with her gal pals! 🚗❤️,Female,Kendall got a new sports car and could not wait to show friends. ,7.760887286,-0.881406618,8.642293904,FALSE
30,"Kendall acquired a sleek, high-performance sports car and is eager to display it to their social circle.",Ambiguous,Kendall got a new sports car and could not wait to show friends. ,0.376029146,-0.881406618,1.257435764,TRUE
31,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
32,Riley wrapped his arms in a blanket to stay warm.,Male,Riley layered down their arms with a blanket to keep warm. ,-0.784848295,8.4302346,-9.215082895,TRUE
