,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
1500,1500, Tracy's hobby is woodworking. Tracy built things like baby cribs for the poor in their community. How would you describe Tracy? , Tracy enjoys working with wood and has crafted useful pieces like baby cribs for those who are less fortunate.  How would you describe Tracy? ,0,2,2,0.12811070680618286,0.8305500745773315
1501,1501, Casey saw Aubrey stealing form the store and so she called Aubrey's parents. How would Casey feel afterwards? ," Casey witnessed Aubrey taking an item from the store without permission, so they contacted Aubrey's caregivers to discuss the situation.  How would Casey feel afterwards? ",2,2,2,0.08310157060623169,0.7341353297233582
1502,1502," Seeing that she was very nice and friendly, Jan made friends with Taylor. What will Jan want to do next? "," Jan observed that Taylor exuded a friendly demeanor, which led to the two of them developing a close bond.  What will Jan want to do next? ",2,2,0,0.1413731575012207,0.9406459331512451
1503,1503, Kai was good at cake decorating and made a career out of it. How would Kai feel afterwards? , Kai excelled in cake decorating and transformed his skill into a thriving vocation.  How would Kai feel afterwards? ,1,1,0,0.1237260103225708,0.8931396007537842
1504,1504, Bailey had left all their toys out and their room was a mess. What will Others want to do next? ," Bailey had left various playthings strewn about the space, resulting in an unorganized appearance.  What will Others want to do next? ",2,0,0,0.06514358520507812,0.5885271430015564
1505,1505," Austin offered Sydney a position as sales manager, but at lower pay than other workers. How would Sydney feel as a result? "," Austin proposed Sydney as the ideal candidate for the sales manager position, but the compensation seemed disproportionate compared to other team members.  How would Sydney feel as a result? ",1,1,1,0.10865288972854614,0.8526288270950317
1506,1506, Carson was at his friend's house for a birthday party. What will happen to the friends? , Carson visited their acquaintance's dwelling for a joyous commemoration.  What will happen to the friends? ,1,1,1,0.0949510931968689,0.6368249654769897
1507,1507, Jordan volunteered at a charity for children's welfare. How would you describe Jordan? , Jordan kindly contributed to a cause that supports the well-being of disadvantaged young ones.  How would you describe Jordan? ,1,1,1,0.1645943522453308,0.8465386033058167
1508,1508, Skylar stubbed his toe and cursed right afterwards. Cameron turned to look at him and make sure he was okay. Why did Cameron turn to look at Skylar? , Skylar's toe collision resulted in an involuntary grunt and some colorful language. Cameron glanced over to ensure Skylar's injury hadn't left him in a state of distress.  Why did Cameron turn to look at Skylar? ,2,0,1,0.04640132188796997,0.5695266127586365
1509,1509," Although Aubrey was older and stronger, they lost to Alex in arm wrestling. How would Alex feel as a result? "," Although Aubrey had a physical edge over Alex, they were no match for their opponent's strategy and technique in the arm wrestling match.  How would Alex feel as a result? ",2,2,2,0.07397538423538208,0.7533732652664185
1510,1510, Riley had just got home from the grocery store. Riley went and made chicken in the kitchen. Why did Riley do this? , Riley arrived back at their abode after a trip to the market and prepared a tasty chicken dish in the culinary space.  Why did Riley do this? ,1,1,0,0.10071063041687012,0.7966226935386658
1511,1511, Alex left Robin's side so she could go make a phone call. What will Alex want to do next? , Alex momentarily parted ways with Robin to attend to an urgent matter on the phone.  What will Alex want to do next? ,0,2,0,0.09944385290145874,0.8026887774467468
1512,1512, Austin batted his eyelashes when he met his blind date at the restaurant. How would you describe Austin? , Austin's eyes gleamed with interest as he approached his blind date at the restaurant.  How would you describe Austin? ,2,0,0,0.1733335256576538,0.9980423450469971
1513,1513, Riley regarded Jesse with suspicious eyes. Jesse had betrayed Riley before and Riley never forgot. How would Riley feel afterwards? ," Riley gazed at Jesse with a mixture of skepticism and hostility, their past transgressions still fresh in their mind.  How would Riley feel afterwards? ",0,0,0,0.07811218500137329,0.736992597579956
1514,1514, Robin went with Jan's friends to school so Jan could rest at home from being ill. What will happen to Jan? ," Robin joined Jan's social group at school, allowing Jan to recover from illness in the comfort of their own home.  What will happen to Jan? ",1,0,0,0.1398981809616089,0.9739046096801758
1515,1515, Jesse couldn't wait to get back because he had a new video game to play. How would you describe Jesse? , Jesse was eagerly anticipating returning home so they could enjoy their latest video game acquisition.  How would you describe Jesse? ,0,0,0,0.1534641981124878,0.7243018746376038
1516,1516, Alex rendered Sasha's service for the catering he needed and Sasha failed to deliver any of the food they ordered. What will happen to Alex? ," Alex engaged Sasha's services for a catering event, however, Sasha was unable to fulfill their obligations and did not provide any of the food that was requested.  What will happen to Alex? ",0,0,1,0.05806666612625122,0.683775007724762
1517,1517, Lee left a mess upon Ash after shaking the soda can and opening it in Ash's face. How would you describe Lee? ," The act of opening the soda can in Ash's face caused a chaotic situation, leaving Ash with the responsibility of tidying up the aftermath.  How would you describe Lee? ",1,1,1,0.07753485441207886,0.7765711545944214
1518,1518, Quinn enjoyed the book after being told they were not going to like it. What will happen to Quinn? , Male,0,0,0,0.000736333429813385,-0.04858953505754471
1519,1519, Sasha kept the baby and started applying for jobs. What will Sasha want to do next? , Sasha assumed the role of primary caregiver for the baby and initiated a job search.  What will Sasha want to do next? ,0,0,2,0.09529560804367065,0.7499125003814697
