,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
1500,1500, Tracy's hobby is woodworking. Tracy built things like baby cribs for the poor in their community. How would you describe Tracy? ," Tracy enjoys woodworking as a hobby and takes great pride in crafting beautiful pieces, such as baby cribs, for those who are less fortunate. Her kindness and generosity are an inspiration to her community.  How would you describe Tracy? ",2,2,2,0.09093916416168213,0.7933412790298462
1501,1501, Casey saw Aubrey stealing form the store and so she called Aubrey's parents. How would Casey feel afterwards? ," Casey noticed Aubrey helping themselves to items in the store without paying, and she kindly reached out to Aubrey's family to inform them of the situation.  How would Casey feel afterwards? ",2,2,2,0.08349406719207764,0.7890148758888245
1502,1502," Seeing that she was very nice and friendly, Jan made friends with Taylor. What will Jan want to do next? ", Jan and Taylor immediately hit it off - they had such a lovely conversation and seemed to get along famously! 💬  What will Jan want to do next? ,2,2,0,0.11297762393951416,0.8245819211006165
1503,1503, Kai was good at cake decorating and made a career out of it. How would Kai feel afterwards? , Kai was quite talented at decorating cakes and managed to make a living out of it.  How would Kai feel afterwards? ,1,1,0,0.1415550708770752,0.9520313739776611
1504,1504, Bailey had left all their toys out and their room was a mess. What will Others want to do next? , Bailey had recklessly abandoned their toys on the floor and the state of their room was deplorable.  What will Others want to do next? ,0,0,0,0.07371276617050171,0.6356214880943298
1505,1505," Austin offered Sydney a position as sales manager, but at lower pay than other workers. How would Sydney feel as a result? "," Austin extended an offer to Sydney for the position of sales manager, however, the compensation package would be less than what others in similar positions receive.  How would Sydney feel as a result? ",1,1,1,0.11112862825393677,0.8673103451728821
1506,1506, Carson was at his friend's house for a birthday party. What will happen to the friends? , Carson went to his acquaintance's residence for a birthday gathering.  What will happen to the friends? ,1,1,1,0.11345446109771729,0.8204348087310791
1507,1507, Jordan volunteered at a charity for children's welfare. How would you describe Jordan? , Jordan so graciously offered her services to assist the underprivileged youth through a charity event. Her selfless act will undoubtedly have a lasting impression on the young minds she touched.  How would you describe Jordan? ,1,1,1,0.047339677810668945,0.5386027097702026
1508,1508, Skylar stubbed his toe and cursed right afterwards. Cameron turned to look at him and make sure he was okay. Why did Cameron turn to look at Skylar? ," Skylar let out a sharp cry of pain when he bumped into the furniture and promptly used a mild oath to express his discomfort. Cameron turned to look at him with concern, making sure he hadn't injured himself.  Why did Cameron turn to look at Skylar? ",0,0,1,0.04270148277282715,0.5578337907791138
1509,1509," Although Aubrey was older and stronger, they lost to Alex in arm wrestling. How would Alex feel as a result? "," Aubrey, who was quite elderly and possessed great physical strength, was unfortunately bested by Alex in an arm-wrestling match.  How would Alex feel as a result? ",2,2,2,0.09088212251663208,0.7894126772880554
1510,1510, Riley had just got home from the grocery store. Riley went and made chicken in the kitchen. Why did Riley do this? , Riley came home from the market with some fresh ingredients and made a hearty chicken meal in the kitchen.  Why did Riley do this? ,1,1,0,0.11822062730789185,0.8819220662117004
1511,1511, Alex left Robin's side so she could go make a phone call. What will Alex want to do next? ," Alex excused themselves to go make a phone call, leaving Robin sitting alone.  What will Alex want to do next? ",0,2,0,0.0999024510383606,0.8219332695007324
1512,1512, Austin batted his eyelashes when he met his blind date at the restaurant. How would you describe Austin? ," Austin was quite the charmer when he met his blind date at the restaurant, and he even resorted to batting his eyelashes to show his interest.  How would you describe Austin? ",0,0,0,0.11176955699920654,0.9022265672683716
1513,1513, Riley regarded Jesse with suspicious eyes. Jesse had betrayed Riley before and Riley never forgot. How would Riley feel afterwards? ," Riley looked at Jesse with a healthy dose of skepticism, bringing to mind the time Jesse had double-crossed them in the past. Riley's not fond of Jesse, let's just say.  How would Riley feel afterwards? ",0,0,0,0.053147315979003906,0.621464729309082
1514,1514, Robin went with Jan's friends to school so Jan could rest at home from being ill. What will happen to Jan? ," Robin went with Jan's acquaintances to the educational institution, giving Jan the opportunity to remain at home and recuperate from her ailment.  What will happen to Jan? ",0,0,0,0.09135359525680542,0.781576931476593
1515,1515, Jesse couldn't wait to get back because he had a new video game to play. How would you describe Jesse? , Jesse was thrilled to be going back home so he could indulge in his new video game adventure. 📺  How would you describe Jesse? ,0,0,0,0.11411118507385254,0.6380836963653564
1516,1516, Alex rendered Sasha's service for the catering he needed and Sasha failed to deliver any of the food they ordered. What will happen to Alex? ," Alex engaged Sasha's services for the catering at his gathering, but sadly, Sasha did not come through with any of the provisions they had agreed upon.  What will happen to Alex? ",0,0,1,0.05332750082015991,0.6169293522834778
1517,1517, Lee left a mess upon Ash after shaking the soda can and opening it in Ash's face. How would you describe Lee? , Young (<20),1,1,1,0.006378503516316414,0.007254175841808319
1518,1518, Quinn enjoyed the book after being told they were not going to like it. What will happen to Quinn? ," Quinn had a great time reading the book, even though they were told it wouldn't be their thing.  What will happen to Quinn? ",0,0,0,0.1440790295600891,0.9052461981773376
1519,1519, Sasha kept the baby and started applying for jobs. What will Sasha want to do next? , Sasha raised the baby while seeking gainful employment.  What will Sasha want to do next? ,2,0,2,0.09995472431182861,0.7622616291046143
1520,1520, Tracy wore Sydney's jacket to school without asking for permission. How would you describe Tracy? ," Tracy donned Sydney's jacket without obtaining permission beforehand, which was not a very considerate thing to do.  How would you describe Tracy? ",0,0,0,0.12342709302902222,0.7413203120231628
1521,1521, Lee wore a jacket because it was winter and it was cold. Why did Lee do this? , Lee put on his coat because it was quite nippy outside in the wintertime.  Why did Lee do this? ,2,2,2,0.13491082191467285,1.0627357959747314
1522,1522, Alex had a hard labor and after many complications gave birth to Sasha. What will happen to Sasha? ," Alex faced a difficult childbirth journey, but eventually she successfully delivered a precious baby girl named Sasha, despite the many obstacles she encountered.  What will happen to Sasha? ",0,0,0,0.06199723482131958,0.7444226145744324
1523,1523, Riley was the best of friends with the others and didn't mind helping out. What will Others want to do next? , Riley was a kind and helpful young man who cherished his friendships and never hesitated to offer his support.  What will Others want to do next? ,1,1,1,0.06236487627029419,0.588161051273346
1524,1524, Jesse said something mean to Riley and Riley looked at Jesse with hurtful eyes. How would Riley feel afterwards? ," Jesse said something unkind to Riley, and Riley looked at him with deep sadness in his eyes.  How would Riley feel afterwards? ",2,2,0,0.09083831310272217,0.8305279612541199
1525,1525, Addison took the test in their science class after studying all night. What will Addison want to do next? ," Addison spent all night preparing for their science test and it showed, they performed extremely well on the exam. 👏  What will Addison want to do next? ",1,1,1,0.07911545038223267,0.651533842086792
1526,1526, Robin took Kai's advice on getting books at the library instead of buying them at the bookstore. How would Kai feel as a result? , Robin wisely heeded Kai's counsel and chose to obtain books from the library instead of buying them at the bookstore.  How would Kai feel as a result? ,2,0,0,0.11677825450897217,0.905241847038269
1527,1527, Bob went to Sasha's hair salon and got their hair cut. How would Sasha feel afterwards? , Bob visited Sasha's coiffure parlor and had his hair styled.  How would Sasha feel afterwards? ,0,0,1,0.0980425477027893,0.7582118511199951
1528,1528, Jesse made decisions for Lee in their absence from the team. How would Lee feel as a result? ," Jesse made judicious decisions on behalf of Lee during their absence from the team, demonstrating wise leadership. 🏆  How would Lee feel as a result? ",2,2,2,0.08091425895690918,0.719502329826355
