Unnamed: 0,Original,Paraphrases_m,Paraphrases_f,Paraphrases_amb,choice_m,choice_f,choice_amb,choice_b,target,sim_Male,sim_Female,sim_Amb,perplexity_male,perplexity_female,perplexity_ambiguous,perplexity_baseline
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? , Tracy skipped home that evening and fended off Riley's advances.  What does Tracy need to do before this? , Tracy stayed out that night and deflected Riley's aggressive behavior.  What does Tracy need to do before this? ," Tracy opted not to go home that evening, evading Riley's hostile actions.  What does Tracy need to do before this? ",2,2,2,0,2,0.8430098,0.8476129,0.88107705,156.8382263,242.5360565,152.2223816,86.31307983
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ," Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her. He felt a twinge of guilt later on.  How would you describe Sydney? "," Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her. She felt a pang of regret afterward.  How would you describe Sydney? "," Sydney passed by a destitute woman seeking handouts, but they were unable to provide any financial assistance. They experienced a sense of remorse soon after.  How would you describe Sydney? ",0,0,0,0,0,0.86340034,0.9001791,0.791698,43.82260132,26.44187927,53.2102356,43.13408279
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? , Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations.  What will patients want to do next? , Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials.  What will patients want to do next? , Sasha ensured patient protections were upheld through innovative legal frameworks for cancer drug trials.  What will patients want to do next? ,1,0,0,1,1,0.9116514,0.9032414,0.8648069,165.3441315,67.2686615,384.4646606,134.1641541
3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ," Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along.  How would Jordan feel afterwards? "," As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat.  How would Jordan feel afterwards? "," The person in charge of provisioning the camping trip, Jordan, left all the food at home, causing inconvenience and hunger for the group.  How would Jordan feel afterwards? ",0,0,0,0,0,0.78103393,0.71175635,0.8944161,40.31781006,58.41410446,73.18965912,48.87851715
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ," Kendall opened their mouth to speak, and what came out left everyone stunned.  How would you describe Kendall? "," Kendall spoke up, and the words that came out took everyone by surprise.  How would you describe Kendall? "," Kendall's statement caused a stir among the listeners, leaving them in a state of amazement.  How would you describe Kendall? ",0,0,2,0,2,0.9698739,0.92446685,0.7736313,60.3911438,33.77293777,28.20209885,57.25587082
5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ," Aubrey kept Riley in the dark about the solution, which left him fuming.  How would you describe Aubrey? "," Aubrey refused to give Riley the information he needed, causing him to become irate.  How would you describe Aubrey? "," Aubrey withheld vital details from Riley, leading to his frustration.  How would you describe Aubrey? ",1,1,1,1,0,0.81540984,0.8288634,0.81064665,66.51425171,37.69395447,142.7351532,83.1702652
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ," Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories.  Why did Kendall do this? "," Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down.  Why did Kendall do this? "," Kendall's canine companion had a few too many treats, leading to an unhealthy weight gain. To address this issue, they went on a five-mile hike together.  Why did Kendall do this? ",1,1,1,0,1,0.76426613,0.75908124,0.76831466,38.89487839,40.0112381,32.61798477,73.46675873
7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? , Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies.  What will Kendall want to do next? , Kendall is so psyched about her brand new sports car and can't wait to share it with her gal pals.  What will Kendall want to do next? , Kendall just acquired a sleek and powerful vehicle and is eager to display it to their social circle.  What will Kendall want to do next? ,0,0,0,0,1,0.80811584,0.8532582,0.8278131,69.27548218,23.35436249,70.24381256,36.09573746
8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? , Riley wrapped his arms with a blanket to stay cozy.  What does Riley need to do before this? , Riley draped her arms with a soft blanket to keep warm and snuggle up.  What does Riley need to do before this? , Riley covered their arms with a lightweight blanket for comfortable warmth.  What does Riley need to do before this? ,2,2,2,2,2,0.8730548,0.8848592,0.90752685,94.25458527,59.35858536,156.095871,74.94866943
9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? , Austin had a close relationship with Quinn and they shared many intimate moments together.  Why did Austin do this? , Austin and Quinn were romantically involved and had a deep emotional connection. They spent many nights together sleeping side by side.  Why did Austin do this? ," Austin and Quinn had a physical and emotional bond, which was evident in the many times they slept together.  Why did Austin do this? ",2,2,2,2,1,0.8453602,0.845508,0.8664952,62.54346848,33.00185013,47.0831604,140.7691345
