,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error,model_score
1,1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her  Sydney felt bad afterwards," Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her  He felt a twinge of guilt later on"," Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her  She felt a pang of regret afterward",0,0,0,0,"[0.11270791292190552, 0.11435830593109131]","[0.6907753944396973, 0.7108311653137207]"
2,2, Sasha protected the patients' rights by making new laws regarding cancer drug trials, Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations, Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials,1,0,1,1,"[0.13392865657806396, 0.1264052391052246]","[0.9838956594467163, 0.9242134094238281]"
3,3, Jordan was in charge of taking the food on the camping trip and left all the food at home," Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along"," As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat",0,0,0,0,"[0.09936302900314331, 0.08902949094772339]","[0.7187689542770386, 0.7166961431503296]"
8,8, Riley layered down their arms with a blanket to keep warm, Riley wrapped his arms with a blanket to stay cozy, Riley draped her arms with a soft blanket to keep warm and snuggle up,2,2,2,2,"[0.1452873945236206, 0.1457279920578003]","[1.0003578662872314, 1.0512702465057373]"
10,10, Carson kissed Alex gently on the cheek and asked to go to dinner, Carson pecked Alex lightly on the cheek and invited him out for a romantic dinner, Carson softly kissed Alex on the cheek and asked him out for a lovely dinner date,1,1,1,1,"[0.15307044982910156, 0.14612281322479248]","[0.8810205459594727, 0.8566911220550537]"
16,16, Robin dried up the paper and lit it on fire and it blew away, Robin scorched the paper with his fiery gaze and let it blaze away," Robin carefully dried up the paper with her gentle touch and set it ablaze, watching as it drifted away in the wind",1,1,1,1,"[0.12447500228881836, 0.13144952058792114]","[0.8131154775619507, 0.8359061479568481]"
17,17, Skylar went camping with friends and found the best campsite, Skylar and his buddies discovered a top-notch campsite during their outdoor adventure, Skylar had an amazing time camping with her gal pals and found a fantastic spot to set up their tents,1,1,1,1,"[0.10677027702331543, 0.10364115238189697]","[0.7005090713500977, 0.7078742980957031]"
18,18," Due to his car breaking down, Robin decided to ride with Jan's friends to school", Robin had to ditch his busted car and hop in with Jan's buddies for a ride to school," Since Robin's car wouldn't start, he joined Jan's group of friends for a reliable ride to class",0,2,0,0,"[0.1369917392730713, 0.14024943113327026]","[0.8580297231674194, 0.8560041189193726]"
19,19, Cameron took Kai's compliment seriously after the ballgame ended, Cameron was impressed by Kai's praise after the game and took it to heart, Cameron felt thrilled when Kai gave her a complement after the ballgame and appreciated the kind words,0,0,0,0,"[0.1578080654144287, 0.15732312202453613]","[0.8579399585723877, 0.924153208732605]"
21,21, Riley and the others were the best of friends and always supported each other, Riley and his buddies were tight-knit pals who always had each other's backs," Riley and her girlfriends were the best of pals, always there for one another through thick and thin",1,1,1,1,"[0.11933696269989014, 0.11730086803436279]","[0.7855812311172485, 0.7466886043548584]"
