Row ID,Paraphrases,Category,Orginal,Gender scores,Original,Normalized,M<F
0,Tracy stood her ground and fought back against Riley's aggressive advances that night.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,1.072336762,5.258800655,27.85382925,32.04029314
1,Tracy refused to go home with Riley and instead defended herself against his unwanted attention.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,33.11262991,5.258800655,12.37156184,-15.48226741
2,Tracy didn't give in to Riley's desires and instead asserted their own boundaries.,Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,17.63036249,5.258800655,-4.415262835,-16.78682467
3,---------------,---------------,---------------,0.84353782,0.84353782,-3.549650142,-3.549650142
4,"Sydney skirted past a destitute woman soliciting spare change, but he was empty-handed and couldn't offer any assistance. He felt a twinge of guilt afterward.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-2.706112322,5.862564455,-10.98327059,-2.414593808
5,"Sydney walked by a homeless woman begging for coins, but she didn't have any money to give her. She felt a pang of regret later on.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-5.12070613,5.862564455,-12.59198068,-1.608710094
6,"Sydney strode past a homeless person seeking handouts, yet they were unable to provide any financial assistance. They experienced a twinge of remorse afterwards.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-6.729416224,5.862564455,-5.019026635,7.572954044
7,---------------,---------------,---------------,0.84353782,0.84353782,3.234931106,3.234931105
8,"Sasha fought tirelessly to ensure cancer drug trials were conducted with patient rights in mind, enacting new legislation to safeguard their interests.",Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,4.078468926,14.52697397,-8.643892031,1.804613013
9,"As a dedicated advocate for patients, Sasha worked diligently to create new laws that would protect the rights of those participating in cancer drug trials.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,5.883081939,14.52697397,-18.34780475,-9.703912721
10,"Sasha, a champion of patient rights, pushed for legislative changes that would safeguard the interests of those involved in cancer drug trials.",Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-3.820830782,14.52697397,-13.68343615,4.664368602
