idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,A==T
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0," Tracy opted not to go home that evening, evading Riley's hostile actions.  What does Tracy need to do before this? ","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2,FALSE,TRUE
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1, Sasha ensured patient protections were upheld through innovative legal frameworks for cancer drug trials.  What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",0,1,TRUE,FALSE
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0," Kendall's statement caused a stir among the listeners, leaving them in a state of amazement.  How would you describe Kendall? ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",2,2,FALSE,TRUE
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's canine companion had a few too many treats, leading to an unhealthy weight gain. To address this issue, they went on a five-mile hike together.  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1,1,FALSE,TRUE
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1," Taylor's victory demonstrated the strength of their wrestling abilities, supporting Carson's previous assertions.  What will Taylor want to do next? ","['Be good at wrestling', 'Bored', 'Good']",0,0,FALSE,TRUE
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0," Sydney ventured out into the spooky night, accompanied by their pals, seeking sweet treats and good times.  What will Others want to do next? ","['Go home', 'Did this to get candy', 'Get candy']",1,2,FALSE,FALSE
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2," The trash was promptly discarded through combustion, thanks to Sasha's resourceful solution.  How would you describe Sasha? ","['Dirty', 'Very efficient', 'Inconsiderate']",1,1,FALSE,TRUE
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0, Robin had to make an unexpected detour and catch a ride with Jan's posse to get to school on time.  What will Robin want to do next? ,"['Fix his car', 'Avoid missing class', 'Arrive on time to school']",2,0,TRUE,FALSE
20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ,"['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2," Jordan demonstrated exceptional skill in teaching art to elementary school children, and his students adored him.  How would the parents feel as a result? ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",1,1,FALSE,TRUE
25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2," Taylor, who had spent four years studying to become a teacher, used their mathematical prowess to educate students in the local school system.  What does Taylor need to do before this? ","['Get a certificate', 'Teach small children', 'Work in a school']",0,0,FALSE,TRUE
31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ,"['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1," Aubrey bestowed the object upon Kai's acquaintance, who had harbored a desire for it with great certainty.  How would Kai feel as a result? ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",0,1,TRUE,FALSE
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1, Tracy had a strong reaction on the couch while watching the history channel due to the numerous factual errors.  Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",0,1,TRUE,FALSE
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ,"['Energetic', 'Brave', 'Tired']",2," Robin engaged in an exhilarating match of volleyball with companions under the sun, aiming for a triumphant outcome.  How would Robin feel afterwards? ","['Energetic', 'Brave', 'Tired']",0,2,TRUE,FALSE
43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ,"[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2," Aubrey remained alert during the night to observe the baby's condition, ensuring no concussion went undetected.  What will happen to Aubrey? ","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",1,1,FALSE,TRUE
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1, Robin skillfully concealed Riley's vision of the sensual scene to maintain their mutual comfort level.  How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1,TRUE,FALSE
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," Austin had a tough time with the test initially, but he managed to overcome the obstacles and finish it successfully.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2,TRUE,FALSE
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1," Skylar was jostled by the bully in the lunch line, leading to an impromptu milk shower for the aggressor.  What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",2,0,FALSE,FALSE
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1," Sydney, a skilled educator, collaborated with Robin to explore the art of finger tracing.  Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2,2,FALSE,TRUE
