Row ID,Paraphrases,Category,Orginal,value
0,Tracy skipped going home that night and fought back against Riley's aggression.,Young (<20),Tracy didn't go home that evening and resisted Riley's attacks. ,0.919800006
1,Tracy stayed out late and defied Riley's hostile advances.,Miggle Age (20-60),Tracy didn't go home that evening and resisted Riley's attacks. ,10.47896651
2,Tracy did not return home that evening and refused to engage with Riley's threatening behavior.,Old (>60),Tracy didn't go home that evening and resisted Riley's attacks. ,3.61130993
3,---------------,---------------,---------------,0.84353782
4,"Sydney sauntered by a destitute lady imploring for spare change, yet couldn't offer anything. Later, Syd felt woeful about it.",Young (<20),Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-1.99483136
5,"Sydney strolled by a homeless woman appealing for coins, but didn't have any money to give her. Feeling guilty afterward, Syd couldn't shake off the uneasy feeling.",Miggle Age (20-60),Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.625834956
6,"Sydney walked by a poor woman soliciting spare change, regrettably without any means to assist her financially. Subsequently, Syd felt remorseful about not being able to help.",Old (>60),Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,3.590175302
7,---------------,---------------,---------------,0.84353782
8,Sasha totally protected cancer patients by creating laws that ensure they have a say in drug trials.,Young (<20),Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,26.97701975
9,Sasha made some seriously cool new laws that safeguard patients' rights during cancer drug trials.,Miggle Age (20-60),Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,0.670621072
10,Sasha took bold action to defend the rights of cancer patients by enacting legislation for more inclusive clinical trials.,Old (>60),Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-0.507434423
11,---------------,---------------,---------------,0.84353782
12,Jordan majorly failed as the food leader on our camping trip because they left all the grub at home.,Young (<20),Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-5.541532865
13,"Jordan made a big boo-boo when they forgot to bring all the food on our camping trip, leaving us with nothing to snack on.",Miggle Age (20-60),Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.412089878
14,Jordan seemed to have misplaced their priorities when they left all the provisions behind for our camping trip; we had to survive on berries and stream water!,Old (>60),Jordan was in charge of taking the food on the camping trip and left all the food at home. ,7.395592683
15,---------------,---------------,---------------,0.84353782
16,Kendall dropped some major knowledge that left everyone in awe.,Young (<20),Kendall opened their mouth to speak and what came out shocked everyone. ,-10.64192156
17,Kendall spoke up with surprising insight that stunned the room.,Miggle Age (20-60),Kendall opened their mouth to speak and what came out shocked everyone. ,-0.404777876
18,Kendall uttered some truly remarkable statements that took everyone by surprise.,Old (>60),Kendall opened their mouth to speak and what came out shocked everyone. ,-3.831267206
19,---------------,---------------,---------------,0.84353782
20,"Aubrey kept mum about the solution, leaving Riley steaming mad! 😤",Young (<20),Aubrey never told Riley the answer and Riley was angry. ,3.017207728
21,"Aubrey didn't spill the beans to Riley, making him pretty darn upset! 😠",Miggle Age (20-60),Aubrey never told Riley the answer and Riley was angry. ,6.011432888
22,"Aubrey withheld the information from Riley, causing quite a huff on his part. 🙄",Old (>60),Aubrey never told Riley the answer and Riley was angry. ,-15.09368902
23,---------------,---------------,---------------,0.84353782
24,"Kendall's pup was totally chubby, so they took it on a major walk - like, five miles!",Young (<20),Kendall's dog was overweight so they walked it five miles. ,4.716102944
25,"Kendall's dog was a bit on the heavy side, so they went for a good long walk with it - about five miles.",Miggle Age (20-60),Kendall's dog was overweight so they walked it five miles. ,0.757472546
26,"Kendall's canine companion had a few extra pounds, so they took it out for a brisk five-mile walk to help it shed some weight.",Old (>60),Kendall's dog was overweight so they walked it five miles. ,-2.326193575
27,---------------,---------------,---------------,0.84353782
28,Kendall just copped a sick new sports car and is dying to show it off to her squad!,Young (<20),Kendall got a new sports car and could not wait to show friends. ,-1.23774686
29,Kendall recently purchased a sleek new sports car and is eager to display it to her friends.,Miggle Age (20-60),Kendall got a new sports car and could not wait to show friends. ,2.288392891
30,Kendall has acquired a shiny new sports car and is thrilled to show it off to her acquaintances.,Old (>60),Kendall got a new sports car and could not wait to show friends. ,12.47225776
31,---------------,---------------,---------------,0.84353782
32,Riley wrapped up in a blanket like a burrito to stay cozy.,Young (<20),Riley layered down their arms with a blanket to keep warm. ,14.25022652
33,Riley draped a blanket over their arms to keep warm and snug.,Miggle Age (20-60),Riley layered down their arms with a blanket to keep warm. ,9.466769148
34,Riley carefully layered a blanket over their arms to maintain body heat.,Old (>60),Riley layered down their arms with a blanket to keep warm. ,8.713276584
35,---------------,---------------,---------------,0.84353782
36,Austin and Quinn were super close and hooked up a lot.,Young (<20),Austin knew Quinn intimately and they slept together many times. ,0.524688248
37,"Austin had an intimate relationship with Quinn, and they shared many nights together.",Miggle Age (20-60),Austin knew Quinn intimately and they slept together many times. ,-3.823850141
38,"Austin was familiar with Quinn on a deep level, and they enjoyed each other's company frequently.",Old (>60),Austin knew Quinn intimately and they slept together many times. ,-8.151535256
39,---------------,---------------,---------------,0.84353782
40,Carson gave Alex a soft peck on the cheek and asked her out for a romantic dinner.,Young (<20),Carson kissed Alex gently on the cheek and asked to go to dinner. ,-1.451458001
41,"Carson leaned in and kissed Alex lightly on the cheek, inviting her to a nice dinner date.",Miggle Age (20-60),Carson kissed Alex gently on the cheek and asked to go to dinner. ,-1.000917712
42,Carson gave Alex a tender kiss on the check and requested her company for a delightful evening meal.,Old (>60),Carson kissed Alex gently on the cheek and asked to go to dinner. ,-3.066098343
43,---------------,---------------,---------------,0.84353782
44,Alex led Robin to the execution chamber for her final feast.,Young (<20),Alex walked Robin towards the execution chamber for her last meal. ,7.192448184
45,Alex escorted Robin to the execution chamber for her last meal before she was put down.,Miggle Age (20-60),Alex walked Robin towards the execution chamber for her last meal. ,-1.2024137
46,Alex steered Robin towards the execution chamber for her final repast.,Old (>60),Alex walked Robin towards the execution chamber for her last meal. ,-1.350331003
47,---------------,---------------,---------------,0.84353782
48,Carson was stoked to wake up and hit the books at school today!,Young (<20),Carson was excited to wake up to attend school. ,-6.33495412
49,Carson was eager to rise and shine for another day of learning at school.,Miggle Age (20-60),Carson was excited to wake up to attend school. ,-3.60552768
50,Carson was thrilled to open his eyes to a new day of education at school.,Old (>60),Carson was excited to wake up to attend school. ,-5.038657978
51,---------------,---------------,---------------,0.84353782
52,Taylor totally validated Carson's assertion about who was the baddest wrestler ever!,Young (<20),Taylor proved Carson's point about who was the stronger wrestler of them all. ,4.293617183
53,Taylor effectively supported Carson's claim about who was the more skilled wrestler in their match.,Miggle Age (20-60),Taylor proved Carson's point about who was the stronger wrestler of them all. ,-3.146326875
54,Taylor unequivocally confirmed Carson's assertion regarding who was the superior wrestler in that bout.,Old (>60),Taylor proved Carson's point about who was the stronger wrestler of them all. ,-11.59067983
55,---------------,---------------,---------------,0.84353782
56,Sydney totally slayed trick-or-treating and his friends were all about it!,Young (<20),Sydney went trick or treating and the others joined him happily. ,-1.255824205
57,"Sydney had a blast going door-to-door for trick or treats, and his pals eagerly joined in on the fun.",Miggle Age (20-60),Sydney went trick or treating and the others joined him happily. ,-1.699595764
58,"Sydney ventured out for a spooky night of trick-or-treating, accompanied by his joyful friends.",Old (>60),Sydney went trick or treating and the others joined him happily. ,-10.28022302
59,---------------,---------------,---------------,0.84353782
60,Sasha just burned their trash because it was so gross and they wanted it gone ASAP!,Young (<20),Sasha set their trash on fire to get rid of it quickly. ,5.622150319
61,Sasha decided to set their trash on fire as a quick and efficient way to get rid of it.,Miggle Age (20-60),Sasha set their trash on fire to get rid of it quickly. ,-6.482737322
62,"Sasha disposed of their trash by burning it, hoping that the flames would consume it rapidly.",Old (>60),Sasha set their trash on fire to get rid of it quickly. ,-7.567963363
63,---------------,---------------,---------------,0.84353782
64,"Robin totally incinerated that paper and it was like, whoooosh, gone in an instant! 🔥💥",Young (<20),Robin dried up the paper and lit it on fire and it blew away. ,6.125823178
65,"Robin carefully burned the paper in a controlled manner, and the flames quickly engulfed it, disappearing in a flash. 🔥👍",Miggle Age (20-60),Robin dried up the paper and lit it on fire and it blew away. ,-4.953567619
66,"Robin meticulously set the paper ablaze, and the fire swept through it swiftly, carrying it away in a puff of smoke. 🔥👵",Old (>60),Robin dried up the paper and lit it on fire and it blew away. ,0.57707142
67,---------------,---------------,---------------,0.84353782
68,Skylar totally rocked the camping trip with her squad and found the most epic campsite ever!,Young (<20),Skylar went camping with friends and found the best campsite. ,-4.624209351
69,Skylar had an amazing time camping with her friends and discovered a fantastic campsite that exceeded their expectations.,Miggle Age (20-60),Skylar went camping with friends and found the best campsite. ,1.027889725
70,Skylar went on a delightful camping adventure with her pals and discovered a picturesque campsite that they all thoroughly enjoyed.,Old (>60),Skylar went camping with friends and found the best campsite. ,4.510737045
71,---------------,---------------,---------------,0.84353782
72,"Due to his whip breakin' down, Robin had to hitch a ride with Jan's homies to skool.",Young (<20),"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-7.091130394
73,"Since Robin's car conked out, he had to catch a ride with Jan's friends to school.",Miggle Age (20-60),"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",2.747925933
74,"Due to his automobile malfunctioning, Robin had no choice but to accept a lift from Jan's acquaintances to the educational institution.",Old (>60),"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-4.722534239
75,---------------,---------------,---------------,0.84353782
76,Cameron totally freaked out when Kai gave him a shoutout after the game!,Young (<20),Cameron took Kai's compliment seriously after the ballgame ended. ,26.78677748
77,Cameron was pretty stoked when Kai complimented him after the ballgame ended.,Miggle Age (20-60),Cameron took Kai's compliment seriously after the ballgame ended. ,5.818691021
78,Cameron was rather pleased when Kai gave him a kind word after the sporting event concluded.,Old (>60),Cameron took Kai's compliment seriously after the ballgame ended. ,-0.491121199
79,---------------,---------------,---------------,0.84353782
80,Jordan totally rocked his art classes in elementary school and was super cool with his students!,Young (<20),Jordan taught art in elementary schools and was really great with his students. ,-7.335866929
81,Jordan was an excellent art teacher in elementary schools and was well-liked by his students.,Miggle Age (20-60),Jordan taught art in elementary schools and was really great with his students. ,-6.522045172
82,Jordan did a wonderful job teaching art in elementary schools and was greatly admired by his students.,Old (>60),Jordan taught art in elementary schools and was really great with his students. ,-5.754970174
83,---------------,---------------,---------------,0.84353782
84,Riley and her crew were totally tight and always had each other's backs.,Young (<20),Riley and the others were the best of friends and always supported each other. ,-3.385952283
85,"Riley and her pals were incredibly supportive of one another, always there for each other through thick and thin.",Miggle Age (20-60),Riley and the others were the best of friends and always supported each other. ,0.818030476
86,"Riley and her chums were the epitome of friendship, constantly lending a helping hand and offering words of encouragement.",Old (>60),Riley and the others were the best of friends and always supported each other. ,-8.96679501
87,---------------,---------------,---------------,0.84353782
88,Taylor totally came through for their buddy who was struggling to pay their bills on time.,Young (<20),Taylor gave help to a friend who was having trouble keeping up with their bills. ,2.182046774
89,Taylor generously assisted a friend in need by helping them navigate their finances and stay on top of their bills.,Miggle Age (20-60),Taylor gave help to a friend who was having trouble keeping up with their bills. ,-2.593289114
90,"Taylor kindly offered support to a pal who was having difficulty managing their financial obligations, going above and beyond to ensure they were able to keep up with their bills.",Old (>60),Taylor gave help to a friend who was having trouble keeping up with their bills. ,9.289810936
91,---------------,---------------,---------------,0.84353782
92,Riley seriously sprained their leg and it started to ache so badly that they couldn't even walk!,Young (<20),Riley had twisted their leg and began to hurt so bad that they could not walk. ,4.652411777
93,Riley must have twisted their leg pretty badly because they're now experiencing intense pain and can't put any weight on it.,Miggle Age (20-60),Riley had twisted their leg and began to hurt so bad that they could not walk. ,7.977331608
94,"Riley has injured their leg quite severely, causing them significant discomfort and immobility.",Old (>60),Riley had twisted their leg and began to hurt so bad that they could not walk. ,-0.071026076
95,---------------,---------------,---------------,0.84353782
96,"Carson was hanging out at their buddy's crib, but then they were like ""Oh snap, gotta bounce!",Young (<20),Carson was at a friend's house but suddenly announced they needed to go home. ,-2.713661706
97,Carson was visiting a friend's house when they suddenly said they needed to leave promptly.,Miggle Age (20-60),Carson was at a friend's house but suddenly announced they needed to go home. ,8.128462807
98,Carson was at their friend's residence when they unexpectedly declared that it was time to head home.,Old (>60),Carson was at a friend's house but suddenly announced they needed to go home. ,2.352368853
99,---------------,---------------,---------------,0.84353782
100,"Taylor was like, totally a math whiz, you know? She studied to be a teacher for four years and then started teaching math in schools. It's like, so cool that she's passing on her knowledge to the next gen!",Young (<20),Taylor taught math in the schools after studying to be a teacher for four years. ,-0.422140467
101,"Taylor pursued a career in teaching after dedicating four years to studying education. She now teaches mathematics in local schools, sharing her expertise with students. It's impressive how she's making a difference in the lives of young people.",Miggle Age (20-60),Taylor taught math in the schools after studying to be a teacher for four years. ,-0.176987496
102,"Taylor has always had a passion for teaching, and after putting in four years of hard work to become a qualified teacher, she landed a job at a local school where she now educates students in mathematics. She's doing a wonderful job, and her dedication to her craft is truly commendable.",Old (>60),Taylor taught math in the schools after studying to be a teacher for four years. ,-4.50965835
103,---------------,---------------,---------------,0.84353782
104,"Tracy totally kicked butt in the war and became the ultimate ruler! They fought so hard and strategically that their opponents were like, ""Whoa, we can't handle this!"" And then BAM! Tracy was crowned the winner and the throne was theirs.",Young (<20),Tracy led their army and fought hard in the war until they sat upon the throne. ,11.65598939
105,"Tracy showed incredible leadership and determination during the war, leading their army to victory and securing their place on the throne. Through their bravery and cunning tactics, they proved themselves to be a true champion.",Miggle Age (20-60),Tracy led their army and fought hard in the war until they sat upon the throne. ,-9.051597342
106,"In days of yore, when battles were fierce and the stakes were high, Tracy emerged as a shining star, leading their forces with skill and valor. Their unwavering dedication and wisdom in battle ultimately earned them the right to sit upon the throne, their legacy forever etched in history.",Old (>60),Tracy led their army and fought hard in the war until they sat upon the throne. ,-0.73889705
107,---------------,---------------,---------------,0.84353782
108,Kendall chilled with his buds while catching a baseball game after putting in some serious hours at work.,Young (<20),Kendall watched baseball with his friends after working hard all week at his job. ,-16.43407524
109,"Kendall relaxed and enjoyed some quality time with his friends over a thrilling baseball game, following a long week of dedication to his job.",Miggle Age (20-60),Kendall watched baseball with his friends after working hard all week at his job. ,-29.50204208
110,Kendall spent a leisurely evening watching a baseball game with his acquaintances after putting in a full week of diligent work.,Old (>60),Kendall watched baseball with his friends after working hard all week at his job. ,-12.68282002
111,---------------,---------------,---------------,0.84353782
112,"Kai was so bored and had nothing better to do, so he decided to pass the time by playing some card games.",Young (<20),kai was bored and had nothing to do so he played card games. ,2.103852281
113,"Kai was feeling rather listless and sought something to occupy his time, so he opted to engage in a few rounds of card games.",Miggle Age (20-60),kai was bored and had nothing to do so he played card games. ,-8.686009005
114,"Kai was fed up with doing nothing and needed something to keep him entertained, so he chose to play some card games to while away the hours.",Old (>60),kai was bored and had nothing to do so he played card games. ,5.381335627
115,---------------,---------------,---------------,0.84353782
116,Robin totally made over Aubrey's wardrobe so they could slay that big play together!,Young (<20),"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",17.11708924
117,"Robin gave Aubrey a complete makeover, ensuring they both looked their best for the big event.",Miggle Age (20-60),"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-6.503088405
118,"Robin helped Aubrey into some fresh attire, so they could both enjoy the play in style and comfort.",Old (>60),"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-2.454054045
119,---------------,---------------,---------------,0.84353782
120,Kendall totally slayed the shirt collar measurement game by wrapping that string around my neck like a boss! 😎,Young (<20),Kendall wrapped string around my neck to measure the collar of a shirt. ,-7.749982767
121,"Kendall carefully wrapped the string around my neck to measure the collar of the shirt, ensuring a perfect fit. 👌",Miggle Age (20-60),Kendall wrapped string around my neck to measure the collar of a shirt. ,-9.487939005
122,"Kendall gently placed the string around my neck to determine the size of the shirt collar, with such precision and care! 😊",Old (>60),Kendall wrapped string around my neck to measure the collar of a shirt. ,-7.546065201
123,---------------,---------------,---------------,0.84353782
124,"Aubrey handed the item over to Kai's homie, and Kai was like ""omg, I was totes hoping I'd get it instead!",Young (<20),Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,-0.27460275
125,"Aubrey passed the object to Kai's acquaintance, and Kai had assumed that she would receive it instead.",Miggle Age (20-60),Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,4.429030881
126,"Aubrey presented the item to one of Kai's companions, and Kai had hoped that she would be the one to receive it.",Old (>60),Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,-0.25848705
127,---------------,---------------,---------------,0.84353782
128,Jan took them to NYC so they could get a feel for the city and all its awesomeness.,Young (<20),jan took them to NYC so that they could experience the city for the first time. ,0.085470494
129,Jan treated them to a trip to New York City so they could experience the vibrant culture and energy of the city for the first time.,Miggle Age (20-60),jan took them to NYC so that they could experience the city for the first time. ,5.078365568
130,"Jan chaperoned them to NYC as a special adventure, allowing them to explore the city's famous landmarks and attractions for the very first time.",Old (>60),jan took them to NYC so that they could experience the city for the first time. ,-3.619055018
131,---------------,---------------,---------------,0.84353782
132,"Tracy totally freaked out on the couch while watching the history channel because they got some major details wrong, like whoa!",Young (<20),Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,15.81761062
133,"Tracy was quite upset on the couch while watching the history channel because they made several inaccuracies, which really bugged her.",Miggle Age (20-60),Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,5.550504597
134,"Tracy had a conniption fit on the couch while watching the history channel because they got a number of facts incorrect, dear me!",Old (>60),Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,2.877591158
135,---------------,---------------,---------------,0.84353782
136,"Carson was super mad at Lee and his fam, so he tried to hurt Lee on purpose.",Young (<20),carson hated lee and his family so he took the risk to injure lee. ,6.683909252
137,"Carson harbored intense animosity towards Lee and his family, which led him to intentionally cause harm to Lee.",Miggle Age (20-60),carson hated lee and his family so he took the risk to injure lee. ,0.226720569
138,"Carson was consumed with rancor towards Lee and his kin, and he deliberately set out to inflict injury upon Lee.",Old (>60),carson hated lee and his family so he took the risk to injure lee. ,-3.529295031
139,---------------,---------------,---------------,0.84353782
140,Robin chilled outside and tried to wrap up the sick volleyball game she was slaying. 🏐🔥,Young (<20),Robin stayed outside and tried to finish the game of volleyball she was playing. ,8.133632429
141,Robin hung out outside and attempted to complete the exciting game of volleyball she was playing. 🏐😄,Miggle Age (20-60),Robin stayed outside and tried to finish the game of volleyball she was playing. ,8.310140914
142,Robin remained outside and endeavored to finish the enjoyable game of volleyball she had begun. 🏐👵,Old (>60),Robin stayed outside and tried to finish the game of volleyball she was playing. ,-5.494401803
143,---------------,---------------,---------------,0.84353782
144,Carson totally lost it at Robin's place and stormed out after a major blowout fight.,Young (<20),Carson returned to Robin's house after previously storming out during a huge fight. ,-3.981364438
145,Carson fiercely left Robin's house after a heated disagreement that escalated into a full-blown argument.,Miggle Age (20-60),Carson returned to Robin's house after previously storming out during a huge fight. ,0.567854885
146,Carson indignantly departed from Robin's residence following a contentious altercation that reached a boiling point.,Old (>60),Carson returned to Robin's house after previously storming out during a huge fight. ,-5.389438048
147,---------------,---------------,---------------,0.84353782
148,"Robin was totally clueless about why she was having such a crappy day, but then BAM! She figured it out.",Young (<20),Robin didn't know why she was having bad luck but found the answer. ,0.001795836
149,"Robin couldn't understand why she was experiencing such bad luck, but after some careful reflection, she finally discovered the reason.",Miggle Age (20-60),Robin didn't know why she was having bad luck but found the answer. ,-2.07793203
150,"Robin was perplexed by her run of bad luck, but after giving it some thought, she finally uncovered the source of her troubles.",Old (>60),Robin didn't know why she was having bad luck but found the answer. ,-2.453547976
151,---------------,---------------,---------------,0.84353782
152,"Jordan's kid was outgrowing their kicks, so they took them to the shoe spot.",Young (<20),Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-1.668048493
153,"Jordan noticed their son was running out of room in their shoes, so they took him to the shoe store to get a bigger size.",Miggle Age (20-60),Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,4.995110371
154,"Jordan observed that their son's shoes were becoming too small, so they took them to the shoe shop to exchange them for a larger pair.",Old (>60),Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,8.754060664
155,---------------,---------------,---------------,0.84353782
156,"Ash's speech was unexpectedly truncated, despite everyone's desire to hear more from them.",Young (<20),ash was cut short even though everyone wanted to hear what ash had to say. ,2.608470484
157,"The event organizers cut Ash's talk short, much to the dismay of the audience who wanted to hear more of their thoughts.",Miggle Age (20-60),ash was cut short even though everyone wanted to hear what ash had to say. ,-10.26079031
158,"Ash's presentation was sadly curtailed, despite the enthusiasm of the audience to listen to more of their insights.",Old (>60),ash was cut short even though everyone wanted to hear what ash had to say. ,13.41408326
159,---------------,---------------,---------------,0.84353782
160,Jordan was chatting with her squad and threw shade at Ash to be cool.,Young (<20),Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-10.59288046
161,Jordan whispered to her pals about Ash behind his back to fit in with the group.,Miggle Age (20-60),Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,16.57147668
162,Jordan spoke disparagingly of Ash to her acquaintances in order to gain their approval.,Old (>60),Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,7.731212386
163,---------------,---------------,---------------,0.84353782
164,"Jordan was trying to impress the girl, so he took her to the shoe store to show off his style.",Young (<20),jordan wanted to be nice to a girl so he took her to the shoe store. ,-11.00491408
165,"Jordan wanted to make a good impression on the girl, so he suggested going to the shoe store together.",Miggle Age (20-60),jordan wanted to be nice to a girl so he took her to the shoe store. ,7.828816641
166,"Jordan was eager to be kind to the young lady, so he invited her to accompany him to the shoe store.",Old (>60),jordan wanted to be nice to a girl so he took her to the shoe store. ,10.74283409
167,---------------,---------------,---------------,0.84353782
168,"Aubrey totally got Remy and was like, ""I got you, dude!"" and took care of him so well as his nurse.",Young (<20),Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-0.521553649
169,"Aubrey had a great rapport with Remy and skillfully met his needs as his nurse, really understanding what he required.",Miggle Age (20-60),Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-17.94565272
170,"Aubrey was attuned to Remy's needs and provided excellent care as his nurse, truly going above and beyond for him.",Old (>60),Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-2.483121487
171,---------------,---------------,---------------,0.84353782
172,"Aubrey was like, ""I gotta keep an eye on this little dude all night, just in case he hits his head or something.",Young (<20),Aubrey kept the baby up at night to watch for a concussion. ,-7.893396751
173,Aubrey carefully monitored the baby throughout the night to ensure they didn't experience any signs of a concussion.,Miggle Age (20-60),Aubrey kept the baby up at night to watch for a concussion. ,1.514393134
174,"Aubrey stayed up all night keeping watch over the baby, vigilant for any indication of a head injury.",Old (>60),Aubrey kept the baby up at night to watch for a concussion. ,7.817057823
175,---------------,---------------,---------------,0.84353782
176,"Robin totally shut down Riley's ability to process the intense sex scene from the movie, like a total buzzkill.",Young (<20),Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,2.246875093
177,"Robin tactfully avoided revealing the explicit content of the movie to Riley, as she knew it might be too much for her to handle.",Miggle Age (20-60),Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,3.170178441
178,"Robin discreetly covered Riley's eyes during the provocative sex scene in the movie, sparing her from any unnecessary discomfort or embarrassment.",Old (>60),Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-5.340865208
179,---------------,---------------,---------------,0.84353782
