Row ID,Paraphrases,Category,Orginal,Gender score,0.802803532,M<F
0,Tracy didn't go home that evening and fought back against Riley's attacks.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,0.802803532,8.947397848,TRUE
1,Tracy stayed out that evening and actively countered Riley's offensives.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,8.947397848,4.814963808,FALSE
2,Tracy didn't go home that evening and defended against Riley's advances.,Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,4.814963808,0.84353782,FALSE
3,---------------,---------------,---------------,0.84353782,10.43982959,TRUE
4,"Sydney walked past a homeless woman asking for change, but she didn't have any money to give to her, leaving her feeling guilty afterwards.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,10.43982959,0.365601246,FALSE
5,"Sydney sauntered past a destitute woman soliciting spare change, but she didn't have any spare cash to offer, leaving her with a pang of remorse.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,0.365601246,-0.832993719,FALSE
6,"Sydney strolled past a woman in need of change, but she didn't have any spare funds to offer, leaving her with a sense of regret.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-0.832993719,0.84353782,TRUE
7,---------------,---------------,---------------,0.84353782,3.015023638,TRUE
8,Sasha made new laws to shield cancer drug trial patients' rights.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,3.015023638,0.983561954,FALSE
9,Sasha created laws to empower cancer patients in drug trials.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,0.983561954,4.510964584,TRUE
10,Sasha's legislation advocates for cancer patients' rights in drug trials.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,4.510964584,0.84353782,FALSE
11,---------------,---------------,---------------,0.84353782,-8.529448111,FALSE
12,Jordan was responsible for the culinary expedition and left all the essential provisions at home.,Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-8.529448111,2.152871619,TRUE
13,Jordan was the master of the feast and left all the juicy details at home.,Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,2.152871619,-9.840763035,FALSE
14,Jordan was the culinary king and left all the delicious treats at home.,Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-9.840763035,0.84353782,TRUE
15,---------------,---------------,---------------,0.84353782,1.064445322,TRUE
16,Kendall uttered a shocking statement that left everyone in awe.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,1.064445322,0.470604679,FALSE
17,Kendall's voice resonated with a statement that left everyone in a state of amazement.,Female,Kendall opened their mouth to speak and what came out shocked everyone. ,0.470604679,-0.241700893,FALSE
18,"Kendall's utterance caused a collective gasp, leaving everyone in a state of shock and awe.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.241700893,0.84353782,TRUE
19,---------------,---------------,---------------,0.84353782,-10.21714377,FALSE
20,"Aubrey kept the answer a secret from Riley, leaving Riley frustrated and upset.",Male,Aubrey never told Riley the answer and Riley was angry. ,-10.21714377,-4.407687954,TRUE
21,"Aubrey kept Riley in the dark about the answer, and Riley was left feeling annoyed and disgruntled.",Female,Aubrey never told Riley the answer and Riley was angry. ,-4.407687954,-10.39349655,FALSE
22,"Aubrey withheld the answer from Riley, causing Riley to feel upset and displeased.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-10.39349655,0.84353782,TRUE
23,---------------,---------------,---------------,0.84353782,-4.116890052,FALSE
24,"Kendall's canine companion was a bit on the heavier side, so they decided to take it on a five-mile stroll to help it shed a few pounds.",Male,Kendall's dog was overweight so they walked it five miles. ,-4.116890052,1.018755481,TRUE
25,"Kendall's furry friend was a bit too plump, so they went on a five-mile walk to help it get some exercise and shed some pounds. The walk was a great bonding experience for both Kendall and their pup.",Female,Kendall's dog was overweight so they walked it five miles. ,1.018755481,4.365684102,TRUE
26,"Kendall's dog was a bit too fluffy, so they went on a five-mile walk to help it shed some of that extra weight. The walk was a great way to spend time with their pup and get some exercise.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,4.365684102,0.84353782,FALSE
27,---------------,---------------,---------------,0.84353782,-0.345465498,FALSE
28,Kendall just acquired a new sports car and is eager to showcase it to her friends.,Male,Kendall got a new sports car and could not wait to show friends. ,-0.345465498,12.80643038,TRUE
29,Kendall is super stoked about her new sports car and is itching to share it with her BFFs! 😍,Female,Kendall got a new sports car and could not wait to show friends. ,12.80643038,-0.84323631,FALSE
30,Kendall has acquired a new sports car and is eager to display it to her close friends. 😎,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,-0.84323631,0.84353782,TRUE
31,---------------,---------------,---------------,0.84353782,15.21333869,TRUE
32,Riley wrapped their arms with a blanket to keep warm.,Male,Riley layered down their arms with a blanket to keep warm. ,15.21333869,10.54887235,FALSE
33,"Riley cozied up with a blanket to keep warm, their arms wrapped snugly.",Female,Riley layered down their arms with a blanket to keep warm. ,10.54887235,9.265175815,FALSE
34,Riley covered their arms with a blanket to keep cozy.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,9.265175815,0.84353782,FALSE
35,---------------,---------------,---------------,0.84353782,-5.615501829,FALSE
36,"Austin and Quinn had a close and intimate relationship, and they shared many nights together.",Male,Austin knew Quinn intimately and they slept together many times. ,-5.615501829,1.515885217,TRUE
