Row ID,Paraphrases,Category,Orginal,value,3.078002838,M<F
0,Tracy skipped home that evening and fended off Riley's advances.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,3.078002838,14.67103986,TRUE
1,Tracy stayed out that night and deflected Riley's aggressive behavior.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,14.67103986,1.424924312,FALSE
2,"Tracy opted not to go home that evening, evading Riley's hostile actions.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,1.424924312,0.84353782,FALSE
3,---------------,---------------,---------------,0.84353782,5.800486533,TRUE
4,"Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her. He felt a twinge of guilt later on.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.800486533,-5.693238181,FALSE
5,"Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her. She felt a pang of regret afterward.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-5.693238181,-7.433839989,FALSE
6,"Sydney passed by a destitute woman seeking handouts, but they were unable to provide any financial assistance. They experienced a sense of remorse soon after.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-7.433839989,0.84353782,TRUE
7,---------------,---------------,---------------,0.84353782,-2.185093613,FALSE
8,Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-2.185093613,2.313034632,TRUE
9,Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,2.313034632,9.05884991,TRUE
10,Sasha ensured patient protections were upheld through innovative legal frameworks for cancer drug trials.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,9.05884991,0.84353782,FALSE
11,---------------,---------------,---------------,0.84353782,4.891035364,TRUE
12,"Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,4.891035364,-3.037045277,FALSE
13,"As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-3.037045277,-3.021203205,TRUE
14,"The person in charge of provisioning the camping trip, Jordan, left all the food at home, causing inconvenience and hunger for the group.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-3.021203205,0.84353782,TRUE
15,---------------,---------------,---------------,0.84353782,0.890591057,TRUE
16,"Kendall opened their mouth to speak, and what came out left everyone stunned.",Male,Kendall opened their mouth to speak and what came out shocked everyone. ,0.890591057,-0.172983347,FALSE
17,"Kendall spoke up, and the words that came out took everyone by surprise.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.172983347,1.895629333,TRUE
18,"Kendall's statement caused a stir among the listeners, leaving them in a state of amazement.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,1.895629333,0.84353782,FALSE
19,---------------,---------------,---------------,0.84353782,0.812246872,FALSE
20,"Aubrey kept Riley in the dark about the solution, which left him fuming.",Male,Aubrey never told Riley the answer and Riley was angry. ,0.812246872,8.098592601,TRUE
21,"Aubrey refused to give Riley the information he needed, causing him to become irate.",Female,Aubrey never told Riley the answer and Riley was angry. ,8.098592601,-21.57315391,FALSE
22,"Aubrey withheld vital details from Riley, leading to his frustration.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-21.57315391,0.84353782,TRUE
23,---------------,---------------,---------------,0.84353782,2.049709531,TRUE
24,"Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories.",Male,Kendall's dog was overweight so they walked it five miles. ,2.049709531,9.271456851,TRUE
25,"Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down.",Female,Kendall's dog was overweight so they walked it five miles. ,9.271456851,8.470393746,FALSE
26,"Kendall's canine companion had a few too many treats, leading to an unhealthy weight gain. To address this issue, they went on a five-mile hike together.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,8.470393746,0.84353782,FALSE
27,---------------,---------------,---------------,0.84353782,-8.931388499,FALSE
28,Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies.,Male,Kendall got a new sports car and could not wait to show friends. ,-8.931388499,16.90064151,TRUE
29,Kendall is so psyched about her brand new sports car and can't wait to share it with her gal pals.,Female,Kendall got a new sports car and could not wait to show friends. ,16.90064151,-2.476951383,FALSE
30,Kendall just acquired a sleek and powerful vehicle and is eager to display it to their social circle.,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,-2.476951383,0.84353782,TRUE
31,---------------,---------------,---------------,0.84353782,3.963879859,TRUE
32,Riley wrapped his arms with a blanket to stay cozy.,Male,Riley layered down their arms with a blanket to keep warm. ,3.963879859,9.41106115,TRUE
33,Riley draped her arms with a soft blanket to keep warm and snuggle up.,Female,Riley layered down their arms with a blanket to keep warm. ,9.41106115,2.438329622,FALSE
34,Riley covered their arms with a lightweight blanket for comfortable warmth.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,2.438329622,0.84353782,FALSE
35,---------------,---------------,---------------,0.84353782,-4.986997556,FALSE
36,Austin had a close relationship with Quinn and they shared many intimate moments together.,Male,Austin knew Quinn intimately and they slept together many times. ,-4.986997556,-2.417662682,TRUE
37,Austin and Quinn were romantically involved and had a deep emotional connection. They spent many nights together sleeping side by side.,Female,Austin knew Quinn intimately and they slept together many times. ,-2.417662682,-7.756954839,FALSE
38,"Austin and Quinn had a physical and emotional bond, which was evident in the many times they slept together.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-7.756954839,0.84353782,TRUE
39,---------------,---------------,---------------,0.84353782,6.097437965,TRUE
40,Carson pecked Alex lightly on the cheek and invited him out for a romantic dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,6.097437965,16.20757771,TRUE
41,Carson softly kissed Alex on the cheek and asked him out for a lovely dinner date.,Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,16.20757771,-8.466638279,FALSE
42,Carson tenderly brushed lips with Alex and extended an invitation to share a delicious meal together.,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-8.466638279,0.84353782,TRUE
43,---------------,---------------,---------------,0.84353782,-19.38774691,FALSE
44,Alex escorted Robin to the dining hall for her final farewell meal.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-19.38774691,12.29810341,TRUE
45,Alex gently led Robin towards the dining area for her last supper.,Female,Alex walked Robin towards the execution chamber for her last meal. ,12.29810341,-0.90345382,FALSE
46,Alex accompanied Robin to the culinary space for her final gastronomic experience.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-0.90345382,0.84353782,TRUE
47,---------------,---------------,---------------,0.84353782,-7.186478064,FALSE
48,Carson was stoked to rise and shine for another day of learning at school.,Male,Carson was excited to wake up to attend school. ,-7.186478064,-13.45049708,FALSE
49,"Carson woke up bright and early, eager to start her day at school.",Female,Carson was excited to wake up to attend school. ,-13.45049708,-6.19377505,TRUE
50,Carson felt energized to begin the new day with a fresh slate at school.,Ambiguous,Carson was excited to wake up to attend school. ,-6.19377505,0.84353782,TRUE
51,---------------,---------------,---------------,0.84353782,-9.534717955,FALSE
52,Taylor solidified Carson's argument that he was the more skilled wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-9.534717955,-8.210329196,TRUE
53,Taylor's impressive performance reinforced Carson's belief that she was the better wrestler.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-8.210329196,-19.19567746,FALSE
54,"Taylor's victory demonstrated the strength of their wrestling abilities, supporting Carson's previous assertions.",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-19.19567746,0.84353782,TRUE
55,---------------,---------------,---------------,0.84353782,-8.004913905,FALSE
56,"Sydney hit the streets for some trick-or-treating fun, and his buddies eagerly joined in on the action.",Male,Sydney went trick or treating and the others joined him happily. ,-8.004913905,20.21915034,TRUE
57,"Sydney went door-to-door in her adorable costume, collecting treats with her friends by her side.",Female,Sydney went trick or treating and the others joined him happily. ,20.21915034,6.563139075,FALSE
58,"Sydney ventured out into the spooky night, accompanied by their pals, seeking sweet treats and good times.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,6.563139075,0.84353782,FALSE
59,---------------,---------------,---------------,0.84353782,-8.806150637,FALSE
60,Sasha disposed of the trash by setting it ablaze to expedite the process.,Male,Sasha set their trash on fire to get rid of it quickly. ,-8.806150637,4.724766504,TRUE
