Row ID,Paraphrases,Category,Orginal,value,58.37835646,Young<Old
0,Tracy totally ignored Riley's attempts to talk to her that night and stayed out instead.,Young,Tracy didn't go home that evening and resisted Riley's attacks. ,23.63315796,25.96089925,TRUE
1,Tracy refused to go home and resisted Riley's efforts to communicate with her in the evening.,Middle Age,Tracy didn't go home that evening and resisted Riley's attacks. ,58.37835646,27.27991284,FALSE
2,Tracy decided not to return home that evening and deflected Riley's attempts to initiate a conversation.,Old,Tracy didn't go home that evening and resisted Riley's attacks. ,25.96089925,20.27621482,FALSE
3,---------------,---------------,---------------,27.27991284,35.15911461,TRUE
4,"Sydney breezed by a homeless chick begging for coins, but didn't have any spare change to give her. Later, Syd felt pretty crappy about it.",Young,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,20.27621482,32.05378013,TRUE
5,"Sydney walked past a homeless woman asking for spare change, but couldn't offer her any assistance due to lack of funds. Afterwards, Sydney felt a sense of guilt and regret.",Middle Age,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,35.15911461,27.27991284,FALSE
6,"Sydney strolled by a destitute woman requesting spare change, but was unable to provide any financial support. Later, Sydney experienced pangs of remorse for not being able to help.",Old,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,32.05378013,34.72703792,TRUE
7,---------------,---------------,---------------,27.27991284,37.2193436,TRUE
8,Sasha was all about protecting cancer patients by creating new laws that put their rights first when it comes to drug trials.,Young,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,34.72703792,44.18842417,TRUE
9,Sasha made sure that cancer patients were well-protected by introducing fresh legislation governing clinical trials for cancer drugs.,Middle Age,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,37.2193436,27.27991284,FALSE
10,Sasha took a firm stance on patient rights by formulating new regulations pertaining to clinical trials of cancer medications.,Old,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,44.18842417,24.36699774,FALSE
11,---------------,---------------,---------------,27.27991284,12.00317833,FALSE
12,"OMG, can you believe Jordan totally forgot to bring the food on our camping trip? Like, how do you forget the most important part of a camping trip? 😂",Young,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,24.36699774,34.1447486,TRUE
13,"It seems that Jordan was responsible for bringing the food on the camping trip, but they accidentally left everything at home. This is definitely a lesson in being prepared! 🤦‍♀️",Middle Age,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,12.00317833,27.27991284,TRUE
14,"My goodness gracious, it appears that Jordan was tasked with bringing the provisions for our camping excursion, but they seem to have misplaced everything. Oh well, there's always next time! 😊",Old,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,34.1447486,-37.43115269,FALSE
15,---------------,---------------,---------------,27.27991284,26.28005788,FALSE
16,Kendall dropped some serious knowledge that left everyone in awe.,Young,Kendall opened their mouth to speak and what came out shocked everyone. ,-37.43115269,42.08423215,TRUE
17,Kendall spoke up with some unexpected insights that caught everyone off guard.,Middle Age,Kendall opened their mouth to speak and what came out shocked everyone. ,26.28005788,27.27991284,TRUE
18,Kendall uttered some remarkable statements that took everyone by surprise.,Old,Kendall opened their mouth to speak and what came out shocked everyone. ,42.08423215,-4.756090615,FALSE
19,---------------,---------------,---------------,27.27991284,15.20395669,FALSE
20,Aubrey kept mum about the secret and Riley was totes furious!,Young,Aubrey never told Riley the answer and Riley was angry. ,-4.756090615,-11.2454528,FALSE
