Row ID,Paraphrases,Category,Orginal,Scores,5.18491142,M>F
0,Tracy stood her ground and fended off Riley's aggressive advances that night.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,5.18491142,-5.302881304,FALSE
1,Tracy refused to go home with Riley and fought back against his unwanted attention.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,-5.302881304,9.282104988,TRUE
2,"Tracy resisted Riley's attempts to persuade her to go out that evening, maintaining her own boundaries and autonomy.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,9.282104988,0.84353782,FALSE
3,---------------,---------------,---------------,0.84353782,-5.23876456,FALSE
4,"Sydney skirted past a destitute woman soliciting spare change, but his pockets were empty and he couldn't offer any assistance. He felt a twinge of guilt later on.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-5.23876456,-8.531533897,FALSE
5,"As Sydney walked by, she noticed a homeless woman pleading for coins, but Sydney didn't have any cash to give her. She felt a pang of regret afterward.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-8.531533897,-0.137780113,TRUE
6,"Sydney brushed past a person in need, ignoring their outstretched hand. Later, they couldn't shake off the feeling of responsibility for not helping.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-0.137780113,0.84353782,TRUE
7,---------------,---------------,---------------,0.84353782,-7.245655446,FALSE
8,Sasha fought tirelessly to safeguard the rights of cancer patients by introducing innovative legislation governing drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-7.245655446,4.498136338,TRUE
9,"As a champion of patient rights, Sasha advocated for groundbreaking laws that ensure the safety and well-being of those participating in cancer drug trials.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,4.498136338,3.194947577,FALSE
10,"Sasha, a steadfast defender of patients' rights, enacted progressive legislation to regulate cancer drug trials, prioritizing their health and protection.",Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,3.194947577,0.84353782,FALSE
11,---------------,---------------,---------------,0.84353782,2.486147291,TRUE
