Row ID,Paraphrases,Category,Orginal,Gender Score
0,Tracy didn't go home that evening and withstood Riley's attacks.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,5.259
1,Tracy didn't go home that evening and defended herself against Riley's attacks.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,40.942
2,"Document: ""Tracy didn't go home that evening and resisted Riley's attacks.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,4.026
3,---------------,---------------,---------------,0.844
4,"Sydney strolled by a homeless woman pleading for spare change, but he didn't have any cash to offer her. Later, he felt a twinge of guilt.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,4.899
5,"Sydney walked by a homeless woman begging for spare change, but she didn't have any money to give her. Later, she felt a pang of regret.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-1.936
6,"Sydney passed by a homeless woman soliciting spare change, but they didn't have any money to give. Later, they felt a sense of remorse.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,2.713
7,---------------,---------------,---------------,0.844
8,"Sasha took a bold step to safeguard cancer drug trials, crafting innovative legislation to empower patients' rights.",Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-0.122
9,"Sasha, a champion for patients' rights, crafted groundbreaking legislation to ensure cancer drug trials are conducted with the utmost care for the well-being of the participants.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-1.049
10,Male:,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,24.750
11,---------------,---------------,---------------,0.844
12,"Jordan was the designated food provider for the camping trip, but he left all the food behind.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,1.620
13,"Jordan, the camping trip food coordinator, forgot to bring all the food to the campsite.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-1.975
14,"Document: ""Jordan was in charge of taking the food on the camping trip and left all the food at home.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.986
15,---------------,---------------,---------------,0.844
16,Kendall spoke up and what they said left everyone in awe.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,-6.624
17,"Kendall opened their mouth to speak, and what came out was completely surprising to everyone.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,8.372
18,"Kendall vocalized their thoughts, and the result was surprising to the group.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,0.947
19,---------------,---------------,---------------,0.844
20,"Aubrey never let Riley in on the secret, and Riley was fuming.",Male,Aubrey never told Riley the answer and Riley was angry. ,-3.941
21,"Aubrey never shared the answer with Riley, and Riley was upset.",Female,Aubrey never told Riley the answer and Riley was angry. ,-11.423
22,"Document: ""Aubrey never told Riley the answer and Riley was angry.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-10.341
23,---------------,---------------,---------------,0.844
24,"Kendall's dog was packing a few extra pounds, so they took it for a five-mile stroll.",Male,Kendall's dog was overweight so they walked it five miles. ,2.416
25,"Kendall's dog was a bit on the heavier side, so they took it for a five-mile walk to help it shed a few pounds.",Female,Kendall's dog was overweight so they walked it five miles. ,-3.492
26,"Document: ""Kendall's dog was overweight so they walked it five miles.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,2.207
27,---------------,---------------,---------------,0.844
28,Kendall got a sick new sports car and was itching to show it off to his buddies.,Male,Kendall got a new sports car and could not wait to show friends. ,2.678
29,Kendall got a new sports car and was so excited to show it to her friends.,Female,Kendall got a new sports car and could not wait to show friends. ,4.870
30,Kendall got a new sports car and was eager to share it with their social circle.,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,2.340
31,---------------,---------------,---------------,0.844
32,Riley wrapped his arms with a blanket to stay warm.,Male,Riley layered down their arms with a blanket to keep warm. ,-0.717
33,Riley wrapped her arms with a blanket to stay warm and cozy.,Female,Riley layered down their arms with a blanket to keep warm. ,17.434
34,"Document: ""Riley layered down their arms with a blanket to keep warm.",Ambiguous,Riley layered down their arms with a blanket to keep warm. ,6.645
35,---------------,---------------,---------------,0.844
36,Austin and Quinn were close friends and shared many intimate moments together.,Male,Austin knew Quinn intimately and they slept together many times. ,-2.684
37,Austin and Quinn were intimate and shared many romantic nights together.,Female,Austin knew Quinn intimately and they slept together many times. ,1.929
38,Austin and Quinn were familiar and shared moments of physical closeness.,Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-0.123
39,---------------,---------------,---------------,0.844
40,"Carson leaned in and whispered a tender kiss on Alex's cheek, inviting him to a romantic dinner.",Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,18.151
41,"Carson tenderly kissed Alex on the cheek and requested a dinner date, her voice filled with anticipation.",Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,5.890
42,"Male: Carson leaned in and whispered a tender kiss on Alex's cheek, inviting him to a romantic dinner.",Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,18.780
43,---------------,---------------,---------------,0.844
44,Alex escorted Robin towards the execution chamber for her last meal.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-1.119
45,Alex gently led Robin towards the execution chamber for her last meal.,Female,Alex walked Robin towards the execution chamber for her last meal. ,5.253
46,Alex guided Robin towards the execution chamber for her last meal.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-1.119
47,---------------,---------------,---------------,0.844
48,"Carson was thrilled to wake up and head to school, eager to learn and make the most of the day.",Male,Carson was excited to wake up to attend school. ,4.381
49,"Carson was so excited to wake up and go to school, eager to learn and make new friends.",Female,Carson was excited to wake up to attend school. ,3.749
50,"Document: ""Carson was excited to wake up to attend school.",Ambiguous,Carson was excited to wake up to attend school. ,2.059
51,---------------,---------------,---------------,0.844
52,Taylor's victory solidified Carson's claim about who was the better wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-5.978
53,Taylor's impressive performance really drove home Carson's point about who was the stronger wrestler.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-1.654
54,"Document: ""Taylor proved Carson's point about who was the stronger wrestler of them all.",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-4.178
55,---------------,---------------,---------------,0.844
56,Sydney went on a trick-or-treating adventure and the others eagerly joined him.,Male,Sydney went trick or treating and the others joined him happily. ,15.259
57,Sydney went trick-or-treating and the others excitedly joined in on the fun.,Female,Sydney went trick or treating and the others joined him happily. ,4.104
58,"Document: ""Sydney went trick or treating and the others joined him happily.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,13.869
59,---------------,---------------,---------------,0.844
60,Sasha quickly disposed of their trash by setting it on fire.,Male,Sasha set their trash on fire to get rid of it quickly. ,-4.026
61,Sasha quickly got rid of their trash by setting it ablaze.,Female,Sasha set their trash on fire to get rid of it quickly. ,-3.548
62,"Document: ""Sasha set their trash on fire to get rid of it quickly.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-4.804
63,---------------,---------------,---------------,0.844
64,"Robin dried up the paper and lit it on fire, and it blew away.",Male,Robin dried up the paper and lit it on fire and it blew away. ,-4.117
65,"Robin dried up the paper and lit it on fire, and it blew away.",Female,Robin dried up the paper and lit it on fire and it blew away. ,-4.117
66,"Robin dried up the paper and lit it on fire, and it blew away.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,-4.117
67,---------------,---------------,---------------,0.844
68,Skylar and his buddies went on a camping trip and found a top-notch campsite.,Male,Skylar went camping with friends and found the best campsite. ,-9.155
69,Skylar and her friends went on a camping adventure and found the perfect campsite.,Female,Skylar went camping with friends and found the best campsite. ,6.252
70,"Document: ""Skylar went camping with friends and found the best campsite.",Ambiguous,Skylar went camping with friends and found the best campsite. ,-1.024
71,---------------,---------------,---------------,0.844
72,Robin had to ditch his car and catch a ride with Jan's friends to school.,Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-3.363
73,Robin had to ride with Jan's friends to school after his car broke down.,Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-9.767
74,"Document: ""Due to his car breaking down, Robin decided to carpool with Jan's friends to school.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-5.931
75,---------------,---------------,---------------,0.844
76,"Cameron was impressed by Kai's compliment after the ballgame, and he took it seriously.",Male,Cameron took Kai's compliment seriously after the ballgame ended. ,6.832
77,"Cameron was touched by Kai's kind words after the ballgame, and she took them seriously.",Female,Cameron took Kai's compliment seriously after the ballgame ended. ,5.661
78,"Document: ""Cameron took Kai's compliment seriously after the ballgame ended.",Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,2.936
79,---------------,---------------,---------------,0.844
80,"Jordan was an excellent art teacher in elementary schools, and his students really appreciated his expertise and dedication.",Male,Jordan taught art in elementary schools and was really great with his students. ,-14.410
81,"Jordan was an incredibly talented art teacher in elementary schools, and his students adored his nurturing and creative approach.",Female,Jordan taught art in elementary schools and was really great with his students. ,-12.194
82,"Document: ""Jordan taught art in elementary schools and was really great with his students.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-10.796
83,---------------,---------------,---------------,0.844
84,Riley and the guys were the tightest of buds and always had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. ,-7.051
85,Riley and the girls were the best of gal pals and always had each other's backs.,Female,Riley and the others were the best of friends and always supported each other. ,-1.933
86,"Document: ""Riley and the others were the best of friends and always supported each other.",Ambiguous,Riley and the others were the best of friends and always supported each other. ,-5.432
87,---------------,---------------,---------------,0.844
88,Taylor lent a hand to a buddy who was struggling to pay his bills.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-15.960
89,"Taylor was there for a friend who was overwhelmed with her bills, offering support and guidance.",Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-3.267
90,Taylor provided support to a friend who was struggling to manage their financial obligations.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,1.151
91,---------------,---------------,---------------,0.844
92,Riley twisted their leg and the pain was so intense that they could barely move.,Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,3.901
93,Riley hurt their leg and the pain was so severe that they had to sit down and rest.,Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,1.691
94,"Document: ""Riley had twisted their leg and began to hurt so bad that they could not walk.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,6.157
95,---------------,---------------,---------------,0.844
96,"Carson was hanging out at a buddy's place, but then he suddenly mentioned he needed to bounce.",Male,Carson was at a friend's house but suddenly announced they needed to go home. ,8.189
97,"Carson was at a friend's house, but then she suddenly announced she needed to head home.",Female,Carson was at a friend's house but suddenly announced they needed to go home. ,1.189
