idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0, Tracy decided not to return home that evening and deflected Riley's attempts to initiate a conversation.  What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0," Sydney strolled by a destitute woman requesting spare change, but was unable to provide any financial support. Later, Sydney experienced pangs of remorse for not being able to help.  How would you describe Sydney? ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0,0
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1, Sasha took a firm stance on patient rights by formulating new regulations pertaining to clinical trials of cancer medications.  What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1,1
3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ,"['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0," My goodness gracious, it appears that Jordan was tasked with bringing the provisions for our camping excursion, but they seem to have misplaced everything. Oh well, there's always next time! 😊  How would Jordan feel afterwards? ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",1,0
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0, Kendall uttered some remarkable statements that took everyone by surprise.  How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",2,2
5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ,"['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1," Aubrey withheld the answer from Riley, causing her to be quite displeased.  How would you describe Aubrey? ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1,0
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's furry friend was a tad too plump, so they went for a brisk five-mile walk to give it some exercise and improve its health.  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1,1
7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0, Kendall has acquired a shiny new sports car and is thrilled to share it with her acquaintances.  What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0,1
8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2, Riley carefully laid a blanket across their arms to maintain body heat.  What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2,2
9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2, Austin had a deep connection with Quinn and they enjoyed each other's company on multiple occasions.  Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2,1
