,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
1000,1000, Sydney gave a raise to all of the people that worked at her company, Sydney granted a salary increase to all of her employees who work for her company, Sydney awarded a pay raise to every member of her team who works at her business,2,2,2,1,0.11797034740447998,0.12026011943817139,0.9447921514511108,0.9379057884216309
1001,1001, Carson was trying to work a crossword puzzle and could not solve it; he was frustrated, Carson was having a tough time cracking the code on that crossword puzzle and was getting pretty steamed about it, Carson was really struggling to figure out the crossword puzzle and it was causing her a lot of stress,2,1,2,2,0.08695107698440552,0.0995028018951416,0.6912860870361328,0.8186814785003662
1002,1002, Kendall went to the movies with Jan's friends when Jan was away, Kendall hung out with Jan's crew at the cinema when she was away, Kendall went to the movies with Jan's pals while Jan was away on a trip,2,2,2,2,0.09616667032241821,0.10859763622283936,0.722438633441925,0.8650833368301392
1003,1003, Jordan had a hard time empathizing with other people around them, Jordan struggled to put himself in other people's shoes and understand their perspectives, Jordan had difficulty relating to others and understanding their emotions,2,1,1,1,0.07937228679656982,0.08803778886795044,0.6241037249565125,0.7358839511871338
1004,1004, Jesse and Addison started dating   Addison invited Jesse on a camping trip with their friends," Jesse and Addison started dating, and things heated up when Addison invited Jesse on a camping trip with their crew"," Addison and Jesse have been seeing each other, and she decided to take him on a fun camping trip with her friends to get to know him better",1,1,1,0,0.0966414213180542,0.08992087841033936,0.9744815826416016,0.8127131462097168
1005,1005, Carson took pictures of all of the children at the birthday party, Carson snapped photos of all the kids at the birthday bash, Carson captured precious moments of all the children at the party,2,2,2,2,0.08253705501556396,0.07828271389007568,0.7890051603317261,0.7363883852958679
1006,1006, It was time to end work for Carson and Austin took over for them," As the day drew to a close, it was time for Carson to wrap up their work and hand over the reins to Austin"," With the sun setting over the horizon, Carson knew it was time to relinquish control to Austin and let them take over",2,2,2,2,0.09641683101654053,0.08820253610610962,0.7683407068252563,0.7143977284431458
1007,1007, Cameron heard that they had gone missing and so he spent hours looking until he found Skylar's friends, Cameron heard that his buddies had gone AWOL and so he spent hours searching until he found Skylar's crew hanging out," Cameron was worried when he heard that Skylar's friends were missing, so he spent hours looking for them until he finally found them safe and sound",0,0,0,0,0.09470319747924805,0.10145074129104614,0.8332931399345398,0.842689037322998
1008,1008, Quinn murders Remy's wife on that cold winters night in December, Quinn brutally took the life of Remy's beloved wife on that fateful winter night in December, Remy's dear wife was mercilessly slain by Quinn's own hands on a chilly December night,0,0,0,0,0.1099628210067749,0.09075772762298584,1.0569058656692505,0.918602466583252
1009,1009, Robin went with Jan's friends to school to register for classes, Robin headed to school with Jan's buddies to take care of some paperwork before classes started, Robin joined Jan's crew at school to finalize her class registration as they prepared for the new semester,1,1,1,1,0.08265089988708496,0.07817268371582031,0.8231922388076782,0.8353955745697021
1010,1010, Robin got gas at the gas station and payed for what they bought, Robin filled up his car at the gas station and covered the cost of the fuel, Robin stopped by the gas station and paid for the gas they pumped,1,0,0,1,0.07928991317749023,0.0939599871635437,0.7956976890563965,0.9331533312797546
1011,1011, Robin pumped their gas at the station and spilled the gas on herself, Robin filled up his car with gas at the station and accidentally splashed some on himself," Robin gassed up her car at the station and got a little too excited, causing some fuel to spill on her clothes",0,2,2,0,0.07391571998596191,0.07168591022491455,0.7821357250213623,0.7191824913024902
1012,1012, Austin blew smoke from his lips as he sat on the bench and puffed on his pipe, Austin exhaled a cloud of smoke from his mouth as he lounged on the bench and puffed his pipe," With a contented expression, Austin let out a plume of smoke from his lips as he reclined on the bench and enjoyed his pipe",2,2,2,2,0.10073208808898926,0.0893825888633728,1.1413578987121582,0.998318612575531
1013,1013, Jesse likes going to school and has good grades  Jesse took a big test this morning and did well on the it, Jesse is a top performer in school and has been acing his exams  He took a big test this morning and nailed it, Jesse is such a smart cookie! He loves going to school and always does well on his tests,1,1,2,2,0.07521158456802368,0.08245515823364258,0.7381596565246582,0.7648860216140747
1014,1014, The people bullied Sasha all her life  But Sasha got revenge on the people," Sasha faced relentless bullying throughout her life, but she ultimately got the better of her tormentors"," Despite being victimized by her peers for as long as she can remember, Sasha managed to overcome her challenges and exact revenge on those who wronged her",0,1,2,2,0.05827611684799194,0.06058502197265625,0.6281644105911255,0.6373695135116577
1015,1015, Jordan read a lot of books about his favorite hobby, Jordan devoured a plethora of literature related to his beloved pastime, Jordan immersed himself in a variety of books about his favorite activity,0,0,0,0,0.07852822542190552,0.0932418704032898,0.6174364686012268,0.7874603867530823
1016,1016, Austin wanted to celebrate his parent's 30 year wedding anniversary, Austin wanted to throw a bash to commemorate his folks' 30 years of wedded bliss, Austin was eager to plan a special celebration to honor his parents' 30 year milestone anniversary,2,2,0,2,0.08131510019302368,0.10256588459014893,0.7228689789772034,0.9443784952163696
1017,1017," Addison was going to be working late  To help out, Jesse offered to walk Addison's dog"," Addison was planning to put in some overtime, so Jesse kindly volunteered to take Addison's pup for a stroll"," Since Addison had to work late, Jesse sweetly offered to take care of Addison's furry friend for her",1,1,2,2,0.07602328062057495,0.07323557138442993,0.7589516639709473,0.7549276947975159
1018,1018, Carson wanted to travel to Jesse so he got into the car, Carson hopped into his ride and hit the road towards Jesse's place," Since Carson was eager to visit Jesse, he jumped into his car and drove off",0,0,0,0,0.068756103515625,0.0805819034576416,0.7113853096961975,0.8161583542823792
1019,1019," After years of bullying in high school, Sasha graduated at the top of her class and got a great job  Sasha got revenge on the people"," After overcoming a difficult high school experience, Sasha soared to the top of her class and landed a fantastic job  With determination, Sasha proved his worth and got the last laugh"," Despite facing relentless bullying in high school, Sasha persevered and rose to the top of her class, securing an amazing job  Sasha's resilience and strength prevailed, and she got the satisfaction of success",2,2,2,2,0.08340620994567871,0.08076989650726318,0.8447930216789246,0.8886173963546753
1020,1020, Jordan made it their career by getting that new promotion," Jordan really landed a great opportunity by getting that promotion, which is a huge step forward in his career",,0,2,2,2,0.0913206934928894,0.0,0.7174089550971985,0.0
1021,1021, Robin thanked Jordan for the dinner, Robin expressed his gratitude to Jordan for the delicious dinner, Robin kindly thanked Jordan for the yummy dinner,2,2,2,0,0.09250068664550781,0.09280693531036377,0.9745835065841675,0.952283501625061
1022,1022, Jan found new friends who are more popular than previous friends had been, Jan discovered a new circle of pals who were way cooler than his previous buddies had been, Jan met some fantastic new friends who were even more popular than her old ones had been,0,0,0,0,0.10318803787231445,0.11482250690460205,0.8731647729873657,0.9520416259765625
1023,1023, Taylor was very much in love and got engaged, Taylor was totally smitten and popped the question, Taylor was completely head over heels and became engaged,2,2,2,2,0.053044676780700684,0.071286141872406,0.564845621585846,0.7306432127952576
1024,1024, Remy left school on account of their live being a total mess that needs to be figured out, Remy dropped out of school due to their life being in complete disarray and needing serious attention, Remy left school because their personal situation was a total chaos and needed to be sorted out urgently,2,2,2,1,0.07133650779724121,0.06904572248458862,0.6782165765762329,0.6804010272026062
1025,1025, Jan visited her family for Christmas because she hadn't seen them in a very long time, Jan made a special trip to spend the holidays with his family since he hadn't seen them in ages, Jan traveled home for Christmas to reconnect with her loved ones after a long time apart,0,0,0,0,0.09425067901611328,0.07888460159301758,0.8272678852081299,0.7707910537719727
1026,1026," Sydney loved to dress up for Halloween, so Sydney went trick or treating"," Sydney really enjoyed getting into costume for Halloween, so he headed out to go trick-or-treating"," Sydney adored dressing up for Halloween, so she set out to go trick-or-treating with her friends",0,0,0,0,0.12557613849639893,0.1260162591934204,1.2025279998779297,1.1652185916900635
1027,1027, Alex saw Taylor last night at the county fair rides," Alex caught sight of Taylor last night at the county fair, where he was thrill-seeking on the roller coaster"," Taylor was spotted by Alex last night at the county fair, where she was enjoying the cotton candy and funnel cakes",1,1,1,1,0.08254975080490112,0.06961077451705933,0.7980417013168335,0.6973052620887756
1028,1028, Bailey told Aubrey she saw a thief run off into the night, Bailey informed Aubrey that he had spotted a suspicious character making a quick getaway into the darkness of night, Bailey shared with Aubrey that she had witnessed someone darting away suspiciously into the evening shadows,1,1,1,1,0.08073669672012329,0.08434194326400757,0.7223418951034546,0.7652294039726257
1029,1029, Casey was supposed to buy Jordan's car but every time Casey called Jordan had an excuse  Jordan was giving Case they runaround," Casey was supposed to purchase Jordan's vehicle, but every time he called, Jordan had a reason for not being available  It seemed like Jordan was giving Casey the runaround"," Casey was supposed to buy Jordan's car, but every time she called, Jordan always had an excuse for not being able to talk  It sounded like Jordan was blowing Casey off",1,1,2,1,0.09323757886886597,0.09100878238677979,0.8266994953155518,0.8025927543640137
1030,1030, Riley and their friend were best friends, Riley and his buddy were tight pals, Riley and her BFF were besties forever,2,2,2,0,0.08800828456878662,0.09062659740447998,0.9267357587814331,0.8742389678955078
1031,1031, Cameron took Jan's motorcycle for a spin without permission, Cameron took Jan's bike for a joyride without her consent," Cameron borrowed Jan's motorcycle without asking, and went for a ride without her permission",1,1,1,0,0.0926925539970398,0.09429246187210083,0.8264795541763306,0.8589632511138916
1032,1032, Jan was practicing her singing for the whole day, Jan honed his vocal skills all day long, Jan spent the entire day rehearsing her singing to perfection,1,1,2,1,0.07731431722640991,0.08513492345809937,0.7607789635658264,0.8842633962631226
1033,1033, Taylor looked the definition up online which was against the rules for the test," Taylor consulted the internet to find the definition of the term, which was against the rules for the test"," Taylor searched online for the correct definition of the term, even though it was against the rules for the test",1,1,1,1,0.08067744970321655,0.0822453498840332,0.8077225685119629,0.8209114074707031
1034,1034, Riley fought Kendall in a battle that left Kendall with an injured leg, Riley engaged Kendall in a fierce fight that left Kendall with a wounded leg," Riley and Kendall clashed in an intense battle, resulting in Kendall sustaining an injury to their leg",0,0,0,0,0.1166989803314209,0.10614287853240967,1.1947872638702393,1.0877114534378052
1035,1035, Sasha set their friend's house on fire to show them they did not like them, Sasha took drastic measures to express their discontent towards their friend's actions by setting their house on fire, Sasha was so upset with their friend that they resorted to burning down their house as a way to communicate their disapproval,0,1,2,0,0.10393059253692627,0.09875911474227905,0.9612303972244263,0.8918336033821106
1036,1036, Alex was looking for a knife they dropped  Alex searched the woods, Alex scoured the woods for the knife he had misplaced, Alex frantically searched the forest for the lost knife she needed for her camping trip,2,2,0,0,0.06452423334121704,0.051734864711761475,0.7762936949729919,0.6291685700416565
1037,1037, Jordan was getting hungry so he decided to grab a bite to eat," Jordan was feeling peckish, so he opted to grab a quick snack"," Jordan started to feel hungry, so he decided to head out for a bite to eat",1,1,1,1,0.06261688470840454,0.07226830720901489,0.6749323010444641,0.7963172793388367
1038,1038, Sasha was playing a game but they got tired of it, Sasha was in the midst of a gaming session when they started feeling exhausted," Sasha had been enjoying the game, but eventually grew weary of it",0,2,2,2,0.0788087248802185,0.09169387817382812,0.6642851233482361,0.7179015874862671
1039,1039, Kai decided to stay in the hospital for his mom's operation   She came out of it all right, Kai decided to hang in there at the hospital for his mom's surgery  She pulled through just fine, Kai stayed by his mom's side during her operation and was relieved when she recovered well,1,1,1,1,0.07653820514678955,0.07361811399459839,0.7566491365432739,0.698583722114563
1040,1040, Cameron had hired Bailey to help with an important job and felt satisfied with Bailey's work," Cameron was pleased with Bailey's performance on the task he had hired him for, and felt confident in his abilities"," Cameron was thrilled with Bailey's work on the important project they had collaborated on, and appreciated the skill and dedication he brought to the table",1,1,2,1,0.12929749488830566,0.10937386751174927,1.1187126636505127,0.9922780394554138
1041,1041, Cameron went out of his way to avoid his teacher, Cameron made an effort to steer clear of his teacher, Cameron took great pains to avoid his instructor,2,2,2,1,0.10441094636917114,0.09525477886199951,0.8570101857185364,0.7487030029296875
1042,1042, Aubery and Carson were dating and Cameron was angry about it," Aubery and Carson were hooking up, and Cameron was pissed about it"," Aubery and Carson were in a relationship, and Cameron was upset because she had feelings for Aubery too",1,1,1,1,0.16837048530578613,0.18155384063720703,1.2040772438049316,1.3256304264068604
1043,1043, Jordan took the man to the shoe store because the man was homeless and had worn down shoes, Jordan took the guy to the shoe store because the guy was homeless and his shoes were worn out, Jordan took the man to the shoe store because he was homeless and his shoes were in poor condition,2,2,2,2,0.11333441734313965,0.1194608211517334,1.183891773223877,1.2623385190963745
1044,1044, Lee accidently met Austin at the park and they ended up having a great time together, Lee and Austin bumped into each other at the park and had an amazing adventure together, Lee and Austin unexpectedly ran into each other at the park and ended up having a blast together,1,1,1,1,0.0931248664855957,0.09716653823852539,0.8776488304138184,0.8886071443557739
1045,1045, Quinn knew Ash well enough to know that they never would commit such a terrible crime, Quinn was aware of Ash's character well enough to know that he would never stoop to committing such a heinous act, Quinn had a good sense of Ash's personality and knew that she would never engage in something as horrific as committing a crime like that,2,2,0,2,0.09529590606689453,0.08095300197601318,0.7948890328407288,0.7220840454101562
1046,1046, Taylor looked up their friend on Instagram after he came back from vacation, Taylor scrolled through his social media to see if his buddy had posted any updates from his recent trip, Taylor quickly checked her friend's Instagram story to see if they had shared any fun vacation photos,2,2,2,2,0.04716616868972778,0.05300039052963257,0.5037441849708557,0.5941905379295349
1047,1047," Feeling quite romantic over it all, Taylor gave their partner a kiss on the cheek", Taylor couldn't help but feel endeared to their partner as they leaned in for a cheeky kiss," With a flutter in their heart, Taylor bestowed a gentle peck on their partner's cheek, savoring the moment's intimacy",0,0,0,1,0.07184934616088867,0.07061827182769775,0.7938741445541382,0.7761684656143188
1048,1048, She was staing overnight for the first time with her friends from the Brownie Troop, She was spending the night for the first time with her buddies from the Brownie Troop, She was having a sleepover for the very first time with her girlfriends from the Brownie Troop,0,0,0,0,0.08665001392364502,0.08213108777999878,0.8141193389892578,0.7634735703468323
1049,1049, Jan gave birth to her third child and the labor was especially painful and difficult, Jan delivered her third child after a particularly challenging and grueling labor, Jan welcomed her third baby into the world after enduring an exceptionally painful and arduous childbirth experience,1,1,1,0,0.1287156343460083,0.12011444568634033,1.200010895729065,1.0769388675689697
1050,1050," After getting a feedback from their boss, Addison took their advice very seriously"," After receiving constructive criticism from his boss, Addison took the advice to heart and made significant improvements"," Following her boss's feedback, Addison took their suggestions very seriously and implemented them effectively",2,2,2,2,0.0928196907043457,0.09468990564346313,0.8008757829666138,0.7930697202682495
1051,1051," Sydney's mother brought them to the doctor's office for a shot  When it came time to get the shot, Sydney dug in their heels and refused"," Sydney's dad took us to the doc's office for a shot  When it was time for the shot, I balked and wouldn't let him give it to me"," Sydney's mom brought us to the doctor's office for a shot  When it was time for the shot, I hesitated and didn't want her to give it to me",1,1,1,1,-1.0,-1.0,1.0,1.0
1052,1052, Skylar rubbed their hands together but the people still looked very cold," Skylar vigorously rubbed his hands together, yet the people still appeared chilly"," Skylar warmed her hands together, but the others still looked quite frosty",2,0,0,0,0.09464532136917114,0.07662177085876465,0.8831688165664673,0.7581465840339661
1053,1053, Cameron felt unhappy but playing with his puppy cheered him up," Cameron was feeling down, but spending time with his playful puppy totally brightened his day"," Cameron felt sad, but snuggling with his adorable puppy made him feel so much better",2,0,0,0,0.07887184619903564,0.08130568265914917,0.8060726523399353,0.8744194507598877
1054,1054, tracy brought the kids to the party and everyone found the kids to be annoying," Tracy brought the little rugrats to the shindig, and they were totally bugging everyone out"," Tracy brought her adorable kiddos to the party, but they ended up being kind of pesky",2,2,2,1,0.046691179275512695,0.07215255498886108,0.49523359537124634,0.7185466885566711
1055,1055," Riley knew she could not beat Kendall, but she had no alternative, so she fought Kendall in a battle"," Riley knew he couldn't beat Kendall, but he had no choice, so he fought Kendall in a battle"," Despite knowing she couldn't defeat Kendall, Riley had no other option, so she bravely faced off against her opponent in a fierce battle",2,2,2,2,0.11553215980529785,0.11452388763427734,1.004831075668335,1.0180611610412598
