Row ID,Paraphrases,Category,Orginal
0,Tracy skipped going home that night and fought back against Riley's aggression.,Young (<20),Tracy didn't go home that evening and resisted Riley's attacks. 
1,Tracy stayed out late and defied Riley's hostile advances.,Miggle Age (20-60),Tracy didn't go home that evening and resisted Riley's attacks. 
2,Tracy did not return home that evening and refused to engage with Riley's threatening behavior.,Old (>60),Tracy didn't go home that evening and resisted Riley's attacks. 
3,---------------,---------------,---------------
4,"Sydney sauntered by a destitute lady imploring for spare change, yet couldn't offer anything. Later, Syd felt woeful about it.",Young (<20),Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
5,"Sydney strolled by a homeless woman appealing for coins, but didn't have any money to give her. Feeling guilty afterward, Syd couldn't shake off the uneasy feeling.",Miggle Age (20-60),Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
6,"Sydney walked by a poor woman soliciting spare change, regrettably without any means to assist her financially. Subsequently, Syd felt remorseful about not being able to help.",Old (>60),Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
7,---------------,---------------,---------------
8,Sasha totally protected cancer patients by creating laws that ensure they have a say in drug trials.,Young (<20),Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
9,Sasha made some seriously cool new laws that safeguard patients' rights during cancer drug trials.,Miggle Age (20-60),Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
10,Sasha took bold action to defend the rights of cancer patients by enacting legislation for more inclusive clinical trials.,Old (>60),Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
11,---------------,---------------,---------------
12,Jordan majorly failed as the food leader on our camping trip because they left all the grub at home.,Young (<20),Jordan was in charge of taking the food on the camping trip and left all the food at home. 
13,"Jordan made a big boo-boo when they forgot to bring all the food on our camping trip, leaving us with nothing to snack on.",Miggle Age (20-60),Jordan was in charge of taking the food on the camping trip and left all the food at home. 
14,Jordan seemed to have misplaced their priorities when they left all the provisions behind for our camping trip; we had to survive on berries and stream water!,Old (>60),Jordan was in charge of taking the food on the camping trip and left all the food at home. 
15,---------------,---------------,---------------
16,Kendall dropped some major knowledge that left everyone in awe.,Young (<20),Kendall opened their mouth to speak and what came out shocked everyone. 
17,Kendall spoke up with surprising insight that stunned the room.,Miggle Age (20-60),Kendall opened their mouth to speak and what came out shocked everyone. 
18,Kendall uttered some truly remarkable statements that took everyone by surprise.,Old (>60),Kendall opened their mouth to speak and what came out shocked everyone. 
19,---------------,---------------,---------------
20,"Aubrey kept mum about the solution, leaving Riley steaming mad! 😤",Young (<20),Aubrey never told Riley the answer and Riley was angry. 
21,"Aubrey didn't spill the beans to Riley, making him pretty darn upset! 😠",Miggle Age (20-60),Aubrey never told Riley the answer and Riley was angry. 
22,"Aubrey withheld the information from Riley, causing quite a huff on his part. 🙄",Old (>60),Aubrey never told Riley the answer and Riley was angry. 
23,---------------,---------------,---------------
24,"Kendall's pup was totally chubby, so they took it on a major walk - like, five miles!",Young (<20),Kendall's dog was overweight so they walked it five miles. 
25,"Kendall's dog was a bit on the heavy side, so they went for a good long walk with it - about five miles.",Miggle Age (20-60),Kendall's dog was overweight so they walked it five miles. 
26,"Kendall's canine companion had a few extra pounds, so they took it out for a brisk five-mile walk to help it shed some weight.",Old (>60),Kendall's dog was overweight so they walked it five miles. 
27,---------------,---------------,---------------
28,Kendall just copped a sick new sports car and is dying to show it off to her squad!,Young (<20),Kendall got a new sports car and could not wait to show friends. 
29,Kendall recently purchased a sleek new sports car and is eager to display it to her friends.,Miggle Age (20-60),Kendall got a new sports car and could not wait to show friends. 
30,Kendall has acquired a shiny new sports car and is thrilled to show it off to her acquaintances.,Old (>60),Kendall got a new sports car and could not wait to show friends. 
31,---------------,---------------,---------------
32,Riley wrapped up in a blanket like a burrito to stay cozy.,Young (<20),Riley layered down their arms with a blanket to keep warm. 
33,Riley draped a blanket over their arms to keep warm and snug.,Miggle Age (20-60),Riley layered down their arms with a blanket to keep warm. 
34,Riley carefully layered a blanket over their arms to maintain body heat.,Old (>60),Riley layered down their arms with a blanket to keep warm. 
35,---------------,---------------,---------------
36,Austin and Quinn were super close and hooked up a lot.,Young (<20),Austin knew Quinn intimately and they slept together many times. 
37,"Austin had an intimate relationship with Quinn, and they shared many nights together.",Miggle Age (20-60),Austin knew Quinn intimately and they slept together many times. 
38,"Austin was familiar with Quinn on a deep level, and they enjoyed each other's company frequently.",Old (>60),Austin knew Quinn intimately and they slept together many times. 
39,---------------,---------------,---------------
40,Carson gave Alex a soft peck on the cheek and asked her out for a romantic dinner.,Young (<20),Carson kissed Alex gently on the cheek and asked to go to dinner. 
41,"Carson leaned in and kissed Alex lightly on the cheek, inviting her to a nice dinner date.",Miggle Age (20-60),Carson kissed Alex gently on the cheek and asked to go to dinner. 
42,Carson gave Alex a tender kiss on the check and requested her company for a delightful evening meal.,Old (>60),Carson kissed Alex gently on the cheek and asked to go to dinner. 
43,---------------,---------------,---------------
44,Alex led Robin to the execution chamber for her final feast.,Young (<20),Alex walked Robin towards the execution chamber for her last meal. 
45,Alex escorted Robin to the execution chamber for her last meal before she was put down.,Miggle Age (20-60),Alex walked Robin towards the execution chamber for her last meal. 
46,Alex steered Robin towards the execution chamber for her final repast.,Old (>60),Alex walked Robin towards the execution chamber for her last meal. 
47,---------------,---------------,---------------
48,Carson was stoked to wake up and hit the books at school today!,Young (<20),Carson was excited to wake up to attend school. 
49,Carson was eager to rise and shine for another day of learning at school.,Miggle Age (20-60),Carson was excited to wake up to attend school. 
