,Row ID,Paraphrases,Category,Orginal,value
0,0,Tracy skipped home that evening and fended off Riley's advances.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,0.9198000058307688
1,1,Tracy stayed out that night and deflected Riley's aggressive behavior.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,10.47896650874
2,2,"Tracy opted not to go home that evening, evading Riley's hostile actions.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,3.6113099300187503
3,3,---------------,---------------,---------------,0.8435378201999999
4,4,"Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her. He felt a twinge of guilt later on.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-1.9948313604541663
5,5,"Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her. She felt a pang of regret afterward.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.62583495637742
6,6,"Sydney passed by a destitute woman seeking handouts, but they were unable to provide any financial assistance. They experienced a sense of remorse soon after.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,3.590175301748386
7,7,---------------,---------------,---------------,0.8435378201999999
8,8,Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,26.97701974926111
9,9,Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,0.6706210721588233
10,10,Sasha ensured patient protections were upheld through innovative legal frameworks for cancer drug trials.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-0.5074344229750001
11,11,---------------,---------------,---------------,0.8435378201999999
12,12,"Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-5.541532864715
13,13,"As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.412089877826923
14,14,"The person in charge of provisioning the camping trip, Jordan, left all the food at home, causing inconvenience and hunger for the group.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,7.395592682737933
15,15,---------------,---------------,---------------,0.8435378201999999
16,16,"Kendall opened their mouth to speak, and what came out left everyone stunned.",Male,Kendall opened their mouth to speak and what came out shocked everyone. ,-10.641921562727273
17,17,"Kendall spoke up, and the words that came out took everyone by surprise.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.4047778764090909
18,18,"Kendall's statement caused a stir among the listeners, leaving them in a state of amazement.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-3.831267206341667
19,19,---------------,---------------,---------------,0.8435378201999999
20,20,"Aubrey kept Riley in the dark about the solution, which left him fuming.",Male,Aubrey never told Riley the answer and Riley was angry. ,3.0172077281916674
21,21,"Aubrey refused to give Riley the information he needed, causing him to become irate.",Female,Aubrey never told Riley the answer and Riley was angry. ,6.011432888017648
22,22,"Aubrey withheld vital details from Riley, leading to his frustration.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-15.093689015619995
23,23,---------------,---------------,---------------,0.8435378201999999
24,24,"Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories.",Male,Kendall's dog was overweight so they walked it five miles. ,4.71610294389
25,25,"Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down.",Female,Kendall's dog was overweight so they walked it five miles. ,0.7574725463360001
26,26,"Kendall's canine companion had a few too many treats, leading to an unhealthy weight gain. To address this issue, they went on a five-mile hike together.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,-2.326193574634615
27,27,---------------,---------------,---------------,0.8435378201999999
28,28,Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies.,Male,Kendall got a new sports car and could not wait to show friends. ,-1.2377468596789472
29,29,Kendall is so psyched about her brand new sports car and can't wait to share it with her gal pals.,Female,Kendall got a new sports car and could not wait to show friends. ,2.288392890827778
30,30,Kendall just acquired a sleek and powerful vehicle and is eager to display it to their social circle.,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,12.47225776268421
31,31,---------------,---------------,---------------,0.8435378201999999
32,32,Riley wrapped his arms with a blanket to stay cozy.,Male,Riley layered down their arms with a blanket to keep warm. ,14.250226517415385
33,33,Riley draped her arms with a soft blanket to keep warm and snuggle up.,Female,Riley layered down their arms with a blanket to keep warm. ,9.466769147884614
34,34,Riley covered their arms with a lightweight blanket for comfortable warmth.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,8.713276584353848
35,35,---------------,---------------,---------------,0.8435378201999999
36,36,Austin had a close relationship with Quinn and they shared many intimate moments together.,Male,Austin knew Quinn intimately and they slept together many times. ,0.5246882478583332
37,37,Austin and Quinn were romantically involved and had a deep emotional connection. They spent many nights together sleeping side by side.,Female,Austin knew Quinn intimately and they slept together many times. ,-3.8238501414266666
38,38,"Austin and Quinn had a physical and emotional bond, which was evident in the many times they slept together.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-8.151535256138889
39,39,---------------,---------------,---------------,0.8435378201999999
40,40,Carson pecked Alex lightly on the cheek and invited him out for a romantic dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-1.4514580012722222
41,41,Carson softly kissed Alex on the cheek and asked him out for a lovely dinner date.,Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-1.0009177122315789
42,42,Carson tenderly brushed lips with Alex and extended an invitation to share a delicious meal together.,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-3.0660983425157897
43,43,---------------,---------------,---------------,0.8435378201999999
44,44,Alex escorted Robin to the dining hall for her final farewell meal.,Male,Alex walked Robin towards the execution chamber for her last meal. ,7.192448183500001
45,45,Alex gently led Robin towards the dining area for her last supper.,Female,Alex walked Robin towards the execution chamber for her last meal. ,-1.2024136995999994
46,46,Alex accompanied Robin to the culinary space for her final gastronomic experience.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-1.3503310026666668
47,47,---------------,---------------,---------------,0.8435378201999999
48,48,Carson was stoked to rise and shine for another day of learning at school.,Male,Carson was excited to wake up to attend school. ,-6.334954120007142
49,49,"Carson woke up bright and early, eager to start her day at school.",Female,Carson was excited to wake up to attend school. ,-3.6055276797333327
50,50,Carson felt energized to begin the new day with a fresh slate at school.,Ambiguous,Carson was excited to wake up to attend school. ,-5.0386579775125
51,51,---------------,---------------,---------------,0.8435378201999999
52,52,Taylor solidified Carson's argument that he was the more skilled wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,4.293617182953846
53,53,Taylor's impressive performance reinforced Carson's belief that she was the better wrestler.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-3.14632687501875
54,54,"Taylor's victory demonstrated the strength of their wrestling abilities, supporting Carson's previous assertions.",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-11.590679825733332
55,55,---------------,---------------,---------------,0.8435378201999999
56,56,"Sydney hit the streets for some trick-or-treating fun, and his buddies eagerly joined in on the action.",Male,Sydney went trick or treating and the others joined him happily. ,-1.2558242050583333
57,57,"Sydney went door-to-door in her adorable costume, collecting treats with her friends by her side.",Female,Sydney went trick or treating and the others joined him happily. ,-1.699595764028572
58,58,"Sydney ventured out into the spooky night, accompanied by their pals, seeking sweet treats and good times.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,-10.28022302170625
59,59,---------------,---------------,---------------,0.8435378201999999
60,60,Sasha disposed of the trash by setting it ablaze to expedite the process.,Male,Sasha set their trash on fire to get rid of it quickly. ,5.62215031872353
61,61,"Sasha efficiently eliminated the unwanted waste by engulfing it in flames, saving time and effort.",Female,Sasha set their trash on fire to get rid of it quickly. ,-6.482737321899998
62,62,"The trash was promptly discarded through combustion, thanks to Sasha's resourceful solution.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-7.567963362877778
63,63,---------------,---------------,---------------,0.8435378201999999
64,64,Robin scorched the paper with his fiery gaze and let it blaze away.,Male,Robin dried up the paper and lit it on fire and it blew away. ,6.125823177776471
65,65,"Robin carefully dried up the paper with her gentle touch and set it ablaze, watching as it drifted away in the wind.",Female,Robin dried up the paper and lit it on fire and it blew away. ,-4.953567619249999
66,66,"Robin's intense stare incinerated the paper, sending it soaring into the distance like a floating ember.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,0.5770714200000007
67,67,---------------,---------------,---------------,0.8435378201999999
68,68,Skylar and his buddies discovered a top-notch campsite during their outdoor adventure.,Male,Skylar went camping with friends and found the best campsite. ,-4.62420935122353
69,69,Skylar had an amazing time camping with her gal pals and found a fantastic spot to set up their tents.,Female,Skylar went camping with friends and found the best campsite. ,1.0278897252894734
70,70,Skylar and their friends explored the great outdoors and came across an ideal campsite for their overnight stay.,Ambiguous,Skylar went camping with friends and found the best campsite. ,4.510737045138096
71,71,---------------,---------------,---------------,0.8435378201999999
72,72,Robin had to ditch his busted car and hop in with Jan's buddies for a ride to school.,Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-7.091130394480002
73,73,"Since Robin's car wouldn't start, he joined Jan's group of friends for a reliable ride to class.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",2.7479259332833337
74,74,Robin had to make an unexpected detour and catch a ride with Jan's posse to get to school on time.,Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-4.722534239047825
75,75,---------------,---------------,---------------,0.8435378201999999
