,sentences,choices,scores
0,"
Q: Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? 
  choice: Find somewhere to go
  choice: Go home and see Riley
  choice: Make a new plan
A: ","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0
1,"
Q: Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? 
  choice: Incredulous
  choice: Like a person who was unable to help
  choice: Sympathetic
A: ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0
2,"
Q: Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? 
  choice: Get petitions signed
  choice: Live longer
  choice: Write new laws
A: ","['Write new laws', 'Get petitions signed', 'Live longer']",1
3,"
Q: Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? 
  choice: Happy that he doesn't need to do the cooking on the trip
  choice: Horrible that he let his friends down on the camping trip
  choice: Very proud and accomplished about the camping trip
A: ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0
4,"
Q: Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? 
  choice: A very aggressive and talkative person
  choice: A very passive person
  choice: A very quiet person
A: ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0
5,"
Q: Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? 
  choice: Annoyed at Riley's response
  choice: Rude
  choice: Smug at knowing the answer
A: ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1
6,"
Q: Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? 
  choice: Because it looked good
  choice: Because it was unhealthy
  choice: Start an exercise regimen
A: ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0
7,"
Q: Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? 
  choice: Clean and wax her legs
  choice: Drive that sports car
  choice: Show off his new sports car
A: ","['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0
8,"
Q: Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? 
  choice: Get a blanket from the closet
  choice: Open all the windows
  choice: Turn on the air conditioner
A: ","['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2
9,"
Q: Austin knew Quinn intimately and they slept together many times. Why did Austin do this? 
  choice: Ask Quinn on a date
  choice: Found QUinn attractive
  choice: Hated Quinn
A: ","['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2
10,"
Q: Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? 
  choice: Go on a date
  choice: Have a romantic meal
  choice: Loved
A: ","['Have a romantic meal', 'Go on a date', 'Loved']",1
11,"
Q: Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? 
  choice: Release her
  choice: So Robin can eat
  choice: Work at the jail
A: ","['Work at the jail', 'So Robin can eat', 'Release her']",1
12,"
Q: Carson was excited to wake up to attend school. Why did Carson do this? 
  choice: Go to bed early
  choice: Just say hello to friends
  choice: Take the big test
A: ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",2
13,"
Q: Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? 
  choice: Be good at wrestling
  choice: Bored
  choice: Good
A: ","['Be good at wrestling', 'Bored', 'Good']",1
