Row ID,Orginal
7336,Austin loved Sydney's neighbor that they asked their parents to move near them. 
7337,Austin loved Sydney's neighbor that they asked their parents to move near them. 
7338,Austin loved Sydney's neighbor that they asked their parents to move near them. 
7339,---------------
7340,Robin took a long time to get in the car with her broken leg. 
7341,Robin took a long time to get in the car with her broken leg. 
7342,Robin took a long time to get in the car with her broken leg. 
7343,---------------
7344,Jesse took years to complete college but finally got his degree. 
7345,Jesse took years to complete college but finally got his degree. 
7346,Jesse took years to complete college but finally got his degree. 
7347,---------------
7348,Cameron drove nearly three hours so that he could pick Robin up from the nearest airport. 
7349,Cameron drove nearly three hours so that he could pick Robin up from the nearest airport. 
7350,Cameron drove nearly three hours so that he could pick Robin up from the nearest airport. 
7351,---------------
7352,Quin did not consider that his words may have the feelings of others. 
7353,Quin did not consider that his words may have the feelings of others. 
7354,Quin did not consider that his words may have the feelings of others. 
7355,---------------
7356,Ash always performed better at his workplace after a warm cup of coffee. 
7357,Ash always performed better at his workplace after a warm cup of coffee. 
7358,Ash always performed better at his workplace after a warm cup of coffee. 
7359,---------------
7360,Austin went fishing to the lake with Carson and some friends that night. 
7361,Austin went fishing to the lake with Carson and some friends that night. 
7362,Austin went fishing to the lake with Carson and some friends that night. 
7363,---------------
7364,Sasha was the most popular girl in school when she accepted Jordan's invitation to go on a date. 
7365,Sasha was the most popular girl in school when she accepted Jordan's invitation to go on a date. 
7366,Sasha was the most popular girl in school when she accepted Jordan's invitation to go on a date. 
7367,---------------
7368,Kai wanted to do something fun for the weekend. Kai went camping with friends. 
7369,Kai wanted to do something fun for the weekend. Kai went camping with friends. 
7370,Kai wanted to do something fun for the weekend. Kai went camping with friends. 
7371,---------------
7372,Carson told Lee it was risky. Lee looked at Carson in deep thought. 
7373,Carson told Lee it was risky. Lee looked at Carson in deep thought. 
7374,Carson told Lee it was risky. Lee looked at Carson in deep thought. 
7375,---------------
7376,Bailey passed Jesse an examination booklet after she decided not to study that subject anymore. 
7377,Bailey passed Jesse an examination booklet after she decided not to study that subject anymore. 
7378,Bailey passed Jesse an examination booklet after she decided not to study that subject anymore. 
7379,---------------
7380,Riley played a part in the revolution while it was still in the planning phases. 
7381,Riley played a part in the revolution while it was still in the planning phases. 
7382,Riley played a part in the revolution while it was still in the planning phases. 
7383,---------------
7384,Skylar was outdoors in the wintertime and pulled the wool over their eyes and face. 
7385,Skylar was outdoors in the wintertime and pulled the wool over their eyes and face. 
7386,Skylar was outdoors in the wintertime and pulled the wool over their eyes and face. 
7387,---------------
7388,Skylar joined Sasha's ranks as one of the only employees to never miss a day of work in 5 years. 
7389,Skylar joined Sasha's ranks as one of the only employees to never miss a day of work in 5 years. 
7390,Skylar joined Sasha's ranks as one of the only employees to never miss a day of work in 5 years. 
7391,---------------
7392,Lee left a mess upon Ash's bedroom after they were done playing. 
7393,Lee left a mess upon Ash's bedroom after they were done playing. 
7394,Lee left a mess upon Ash's bedroom after they were done playing. 
7395,---------------
7396,Skylar distributed the data in several forms without double checking the figures. 
7397,Skylar distributed the data in several forms without double checking the figures. 
7398,Skylar distributed the data in several forms without double checking the figures. 
7399,---------------
7400,Aubrey sounded good today considering they had been sick last week. 
7401,Aubrey sounded good today considering they had been sick last week. 
7402,Aubrey sounded good today considering they had been sick last week. 
7403,---------------
7404,"Sasha was taking a train back to school, so Jan took Sasha to the station. "
7405,"Sasha was taking a train back to school, so Jan took Sasha to the station. "
7406,"Sasha was taking a train back to school, so Jan took Sasha to the station. "
7407,---------------
7408,Sydney opened a savings account after she won 1 million dollars from the lottery. 
7409,Sydney opened a savings account after she won 1 million dollars from the lottery. 
7410,Sydney opened a savings account after she won 1 million dollars from the lottery. 
7411,---------------
7412,Austin noticed that the pants did not fit well so Austin wrapped a belt around the waist. 
7413,Austin noticed that the pants did not fit well so Austin wrapped a belt around the waist. 
7414,Austin noticed that the pants did not fit well so Austin wrapped a belt around the waist. 
7415,---------------
7416,Kai wanted to help out at work so they brought Carson's tools to them. 
7417,Kai wanted to help out at work so they brought Carson's tools to them. 
7418,Kai wanted to help out at work so they brought Carson's tools to them. 
7419,---------------
7420,Jordan wanted to buy Kendall a birthday gift so they went to the pet store. 
7421,Jordan wanted to buy Kendall a birthday gift so they went to the pet store. 
7422,Jordan wanted to buy Kendall a birthday gift so they went to the pet store. 
7423,---------------
7424,"Carson knew they were right, and Taylor proved Carson's point. "
7425,"Carson knew they were right, and Taylor proved Carson's point. "
7426,"Carson knew they were right, and Taylor proved Carson's point. "
7427,---------------
7428,Cameron was going to go to the zoo and asked if my kids could go. Cameron took my children and I had an afternoon alone. 
7429,Cameron was going to go to the zoo and asked if my kids could go. Cameron took my children and I had an afternoon alone. 
7430,Cameron was going to go to the zoo and asked if my kids could go. Cameron took my children and I had an afternoon alone. 
7431,---------------
7432,taylor recruited kai into his cult and filled his mind with ideas. 
7433,taylor recruited kai into his cult and filled his mind with ideas. 
7434,taylor recruited kai into his cult and filled his mind with ideas. 
7435,---------------
7436,Tracy crossed the rubicon with her pack and equipment. 
7437,Tracy crossed the rubicon with her pack and equipment. 
7438,Tracy crossed the rubicon with her pack and equipment. 
7439,---------------
7440,Jan took the kids to NYC to see a show of one of their favorite artist. 
7441,Jan took the kids to NYC to see a show of one of their favorite artist. 
7442,Jan took the kids to NYC to see a show of one of their favorite artist. 
7443,---------------
7444,kai grabbed carson's tools and stole them to get back at carson. 
7445,kai grabbed carson's tools and stole them to get back at carson. 
7446,kai grabbed carson's tools and stole them to get back at carson. 
7447,---------------
7448,Taylor invited Sasha to join Riley at the county fair this weekend. 
7449,Taylor invited Sasha to join Riley at the county fair this weekend. 
7450,Taylor invited Sasha to join Riley at the county fair this weekend. 
7451,---------------
7452,"Sasha got very tired, so she took a nap. "
7453,"Sasha got very tired, so she took a nap. "
7454,"Sasha got very tired, so she took a nap. "
7455,---------------
7456,"After planning and hoping for many years, Tracy gave birth to Addison. "
7457,"After planning and hoping for many years, Tracy gave birth to Addison. "
7458,"After planning and hoping for many years, Tracy gave birth to Addison. "
7459,---------------
7460,Austin had fun one night watcing movies with their friends. 
7461,Austin had fun one night watcing movies with their friends. 
