,sentences,choices,scores
0,"
Q: Tracy opted not to go home that evening, evading Riley's hostile actions.  What does Tracy need to do before this? 
  choice: Find somewhere to go
  choice: Go home and see Riley
  choice: Make a new plan
A: ","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2
1,"
Q: Sydney passed by a destitute woman seeking handouts, but they were unable to provide any financial assistance. They experienced a sense of remorse soon after.  How would you describe Sydney? 
  choice: Incredulous
  choice: Like a person who was unable to help
  choice: Sympathetic
A: ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0
2,"
Q: Sasha ensured patient protections were upheld through innovative legal frameworks for cancer drug trials.  What will patients want to do next? 
  choice: Get petitions signed
  choice: Live longer
  choice: Write new laws
A: ","['Write new laws', 'Get petitions signed', 'Live longer']",0
3,"
Q: The person in charge of provisioning the camping trip, Jordan, left all the food at home, causing inconvenience and hunger for the group.  How would Jordan feel afterwards? 
  choice: Happy that he doesn't need to do the cooking on the trip
  choice: Horrible that he let his friends down on the camping trip
  choice: Very proud and accomplished about the camping trip
A: ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0
4,"
Q: Kendall's statement caused a stir among the listeners, leaving them in a state of amazement.  How would you describe Kendall? 
  choice: A very aggressive and talkative person
  choice: A very passive person
  choice: A very quiet person
A: ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",2
5,"
Q: Aubrey withheld vital details from Riley, leading to his frustration.  How would you describe Aubrey? 
  choice: Annoyed at Riley's response
  choice: Rude
  choice: Smug at knowing the answer
A: ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1
6,"
Q: Kendall's canine companion had a few too many treats, leading to an unhealthy weight gain. To address this issue, they went on a five-mile hike together.  Why did Kendall do this? 
  choice: Because it looked good
  choice: Because it was unhealthy
  choice: Start an exercise regimen
A: ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1
7,"
Q: Kendall just acquired a sleek and powerful vehicle and is eager to display it to their social circle.  What will Kendall want to do next? 
  choice: Clean and wax her legs
  choice: Drive that sports car
  choice: Show off his new sports car
A: ","['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0
8,"
Q: Riley covered their arms with a lightweight blanket for comfortable warmth.  What does Riley need to do before this? 
  choice: Get a blanket from the closet
  choice: Open all the windows
  choice: Turn on the air conditioner
A: ","['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2
9,"
Q: Austin and Quinn had a physical and emotional bond, which was evident in the many times they slept together.  Why did Austin do this? 
  choice: Ask Quinn on a date
  choice: Found QUinn attractive
  choice: Hated Quinn
A: ","['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2
10,"
Q: Carson tenderly brushed lips with Alex and extended an invitation to share a delicious meal together.  What will happen to Carson? 
  choice: Go on a date
  choice: Have a romantic meal
  choice: Loved
A: ","['Have a romantic meal', 'Go on a date', 'Loved']",1
11,"
Q: Alex accompanied Robin to the culinary space for her final gastronomic experience.  Why did Alex do this? 
  choice: Release her
  choice: So Robin can eat
  choice: Work at the jail
A: ","['Work at the jail', 'So Robin can eat', 'Release her']",1
12,"
Q: Carson felt energized to begin the new day with a fresh slate at school.  Why did Carson do this? 
  choice: Go to bed early
  choice: Just say hello to friends
  choice: Take the big test
A: ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",2
13,"
Q: Taylor's victory demonstrated the strength of their wrestling abilities, supporting Carson's previous assertions.  What will Taylor want to do next? 
  choice: Be good at wrestling
  choice: Bored
  choice: Good
A: ","['Be good at wrestling', 'Bored', 'Good']",0
14,"
Q: Sydney ventured out into the spooky night, accompanied by their pals, seeking sweet treats and good times.  What will Others want to do next? 
  choice: Did this to get candy
  choice: Get candy
  choice: Go home
A: ","['Go home', 'Did this to get candy', 'Get candy']",1
15,"
Q: The trash was promptly discarded through combustion, thanks to Sasha's resourceful solution.  How would you describe Sasha? 
  choice: Dirty
  choice: Inconsiderate
  choice: Very efficient
A: ","['Dirty', 'Very efficient', 'Inconsiderate']",1
16,"
Q: Robin's intense stare incinerated the paper, sending it soaring into the distance like a floating ember.  How would Robin feel afterwards? 
  choice: Excited to see what comes next
  choice: Gone
  choice: Happy their only photo blew away
A: ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1
17,"
Q: Skylar and their friends explored the great outdoors and came across an ideal campsite for their overnight stay.  What does Skylar need to do before this? 
  choice: Get ready to go on a solo trip
  choice: Look at a map of the campground
  choice: Tell her friends she wasn't interested
A: ","['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1
18,"
Q: Robin had to make an unexpected detour and catch a ride with Jan's posse to get to school on time.  What will Robin want to do next? 
  choice: Arrive on time to school
  choice: Avoid missing class
  choice: Fix his car
A: ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",2
19,"
Q: Cameron took Kai's flattery seriously, as they both had a great time at the ballgame.  How would you describe Cameron? 
  choice: Happy
  choice: Humble and not too proud
  choice: Proud
A: ","['Humble and not too proud', 'Proud', 'Happy']",0
