idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
0, Tracy didn't go home that evening and resisted Riley's attacks, Tracy skipped home that evening and fended off Riley's advances, Tracy stayed out that night and deflected Riley's aggressive behavior,2,2,0,2,0.067348003,0.080667913,0.650385797,0.763117671
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her  Sydney felt bad afterwards," Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her  He felt a twinge of guilt later on"," Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her  She felt a pang of regret afterward",0,0,0,0,0.07139802,0.07183212,0.669060111,0.68366766
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials, Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations, Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials,1,0,1,1,0.087869823,0.083054304,0.9838956,0.924213409
3, Jordan was in charge of taking the food on the camping trip and left all the food at home," Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along"," As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat",0,0,0,0,0.065299153,0.058487773,0.718769073,0.716696143
4, Kendall opened their mouth to speak and what came out shocked everyone," Kendall opened their mouth to speak, and what came out left everyone stunned"," Kendall spoke up, and the words that came out took everyone by surprise",0,0,0,2,0.116987348,0.105443001,0.93305099,0.797797859
5, Aubrey never told Riley the answer and Riley was angry," Aubrey kept Riley in the dark about the solution, which left him fuming"," Aubrey refused to give Riley the information he needed, causing him to become irate",1,1,1,0,0.105593324,0.121088028,0.840134501,0.966781139
6, Kendall's dog was overweight so they walked it five miles," Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories"," Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down",1,1,0,1,0.07818687,0.078188658,0.716582298,0.744726062
7, Kendall got a new sports car and could not wait to show friends, Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies, Kendall is so psyched about her brand new sports car and can't wait to share it with her gal pals,0,0,0,1,0.072991431,0.086245477,0.587749779,0.72614938
8, Riley layered down their arms with a blanket to keep warm, Riley wrapped his arms with a blanket to stay cozy, Riley draped her arms with a soft blanket to keep warm and snuggle up,2,2,2,2,0.095458627,0.095820665,1.000357866,1.051270247
9, Austin knew Quinn intimately and they slept together many times, Austin had a close relationship with Quinn and they shared many intimate moments together, Austin and Quinn were romantically involved and had a deep emotional connection  They spent many nights together sleeping side by side,2,2,2,1,0.109214962,0.10138458,0.977231562,0.91831702
