,sentences,choices,scores
0,"
Q: Tracy totally ignored Riley's attempts to talk to her that night and stayed out instead.  What does Tracy need to do before this? 
  choice: Find somewhere to go
  choice: Go home and see Riley
  choice: Make a new plan
A: ","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2
1,"
Q: Sydney breezed by a homeless chick begging for coins, but didn't have any spare change to give her. Later, Syd felt pretty crappy about it.  How would you describe Sydney? 
  choice: Incredulous
  choice: Like a person who was unable to help
  choice: Sympathetic
A: ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0
2,"
Q: Sasha was all about protecting cancer patients by creating new laws that put their rights first when it comes to drug trials.  What will patients want to do next? 
  choice: Get petitions signed
  choice: Live longer
  choice: Write new laws
A: ","['Write new laws', 'Get petitions signed', 'Live longer']",0
3,"
Q: OMG, can you believe Jordan totally forgot to bring the food on our camping trip? Like, how do you forget the most important part of a camping trip? 😂  How would Jordan feel afterwards? 
  choice: Happy that he doesn't need to do the cooking on the trip
  choice: Horrible that he let his friends down on the camping trip
  choice: Very proud and accomplished about the camping trip
A: ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0
4,"
Q: Kendall dropped some serious knowledge that left everyone in awe.  How would you describe Kendall? 
  choice: A very aggressive and talkative person
  choice: A very passive person
  choice: A very quiet person
A: ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",2
5,"
Q: Aubrey kept mum about the secret and Riley was totes furious!  How would you describe Aubrey? 
  choice: Annoyed at Riley's response
  choice: Rude
  choice: Smug at knowing the answer
A: ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1
6,"
Q: Kendall's pup was totally chubby, so they took it for a major walk - like, five miles!  Why did Kendall do this? 
  choice: Because it looked good
  choice: Because it was unhealthy
  choice: Start an exercise regimen
A: ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0
7,"
Q: Kendall just copped a sick new sports car and is super pumped to show it off to her squad!  What will Kendall want to do next? 
  choice: Clean and wax her legs
  choice: Drive that sports car
  choice: Show off his new sports car
A: ","['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0
8,"
Q: Riley wrapped themselves in a blanket like a burrito to stay cozy.  What does Riley need to do before this? 
  choice: Get a blanket from the closet
  choice: Open all the windows
  choice: Turn on the air conditioner
A: ","['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2
9,"
Q: Austin had a close relationship with Quinn and they spent many nights together.  Why did Austin do this? 
  choice: Ask Quinn on a date
  choice: Found QUinn attractive
  choice: Hated Quinn
A: ","['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2
10,"
Q: Carson leaned in and planted a soft peck on Alex's cheek before asking for a dinner date.  What will happen to Carson? 
  choice: Go on a date
  choice: Have a romantic meal
  choice: Loved
A: ","['Have a romantic meal', 'Go on a date', 'Loved']",1
11,"
Q: Alex led Robin to the death row cafeteria for her final meal before she got the needle.  Why did Alex do this? 
  choice: Release her
  choice: So Robin can eat
  choice: Work at the jail
A: ","['Work at the jail', 'So Robin can eat', 'Release her']",1
12,"
Q: Carson was totally stoked to wake up and hit the books at school today!  Why did Carson do this? 
  choice: Go to bed early
  choice: Just say hello to friends
  choice: Take the big test
A: ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",0
13,"
Q: Taylor totally validated Carson's theory that she was the baddest wrestler ever!  What will Taylor want to do next? 
  choice: Be good at wrestling
  choice: Bored
  choice: Good
A: ","['Be good at wrestling', 'Bored', 'Good']",0
14,"
Q: Sydney had an epic Halloween adventure and his friends were totally down for it!  What will Others want to do next? 
  choice: Did this to get candy
  choice: Get candy
  choice: Go home
A: ","['Go home', 'Did this to get candy', 'Get candy']",0
15,"
Q: Sasha burned their trash because they wanted to get rid of it ASAP.  How would you describe Sasha? 
  choice: Dirty
  choice: Inconsiderate
  choice: Very efficient
A: ","['Dirty', 'Very efficient', 'Inconsiderate']",2
16,"
Q: Robin totally incinerated the paper with his mad fire-starting skills, and it was like, whoa, it just blew away!  How would Robin feel afterwards? 
  choice: Excited to see what comes next
  choice: Gone
  choice: Happy their only photo blew away
A: ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1
17,"
Q: Skylar totally slayed her camping trip with her squad and found the sickest campsite ever! 🏕️👯‍♀️  What does Skylar need to do before this? 
  choice: Get ready to go on a solo trip
  choice: Look at a map of the campground
  choice: Tell her friends she wasn't interested
A: ","['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1
18,"
Q: Due to his car being totaled, Robin had to bum a ride with Jan's squad to school.  What will Robin want to do next? 
  choice: Arrive on time to school
  choice: Avoid missing class
  choice: Fix his car
A: ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0
19,"
Q: Cameron was totally stoked when Kai gave him a shoutout after the game!  How would you describe Cameron? 
  choice: Happy
  choice: Humble and not too proud
  choice: Proud
A: ","['Humble and not too proud', 'Proud', 'Happy']",2
20,"
Q: Jordan was totally awesome as an art teacher in elementary school! He was so good with his students, they just loved him! 😊  How would the parents feel as a result? 
  choice: Concerned that Jordan will leave
  choice: Inspired to make their own art
  choice: The art teacher
A: ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",1
21,"
Q: Riley and her squad were total BFFs and always had each other's backs.  What will happen to Others? 
  choice: The others will be dejected
  choice: The others will be isolated
  choice: The others will offer support
A: ","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1
