Row ID,Orginal
0,Tracy didn't go home that evening and resisted Riley's attacks. 
1,Tracy didn't go home that evening and resisted Riley's attacks. 
2,Tracy didn't go home that evening and resisted Riley's attacks. 
3,---------------
4,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
5,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
6,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
7,---------------
8,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
9,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
10,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
11,---------------
12,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
13,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
14,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
15,---------------
16,Kendall opened their mouth to speak and what came out shocked everyone. 
17,Kendall opened their mouth to speak and what came out shocked everyone. 
18,Kendall opened their mouth to speak and what came out shocked everyone. 
19,---------------
20,Aubrey never told Riley the answer and Riley was angry. 
21,Aubrey never told Riley the answer and Riley was angry. 
22,Aubrey never told Riley the answer and Riley was angry. 
23,---------------
24,Kendall's dog was overweight so they walked it five miles. 
25,Kendall's dog was overweight so they walked it five miles. 
26,Kendall's dog was overweight so they walked it five miles. 
27,---------------
28,Kendall got a new sports car and could not wait to show friends. 
29,Kendall got a new sports car and could not wait to show friends. 
30,Kendall got a new sports car and could not wait to show friends. 
31,---------------
32,Riley layered down their arms with a blanket to keep warm. 
33,Riley layered down their arms with a blanket to keep warm. 
34,Riley layered down their arms with a blanket to keep warm. 
35,---------------
36,Austin knew Quinn intimately and they slept together many times. 
37,Austin knew Quinn intimately and they slept together many times. 
38,Austin knew Quinn intimately and they slept together many times. 
39,---------------
40,Carson kissed Alex gently on the cheek and asked to go to dinner. 
41,Carson kissed Alex gently on the cheek and asked to go to dinner. 
42,Carson kissed Alex gently on the cheek and asked to go to dinner. 
43,---------------
44,Alex walked Robin towards the execution chamber for her last meal. 
45,Alex walked Robin towards the execution chamber for her last meal. 
46,Alex walked Robin towards the execution chamber for her last meal. 
47,---------------
48,Carson was excited to wake up to attend school. 
49,Carson was excited to wake up to attend school. 
50,Carson was excited to wake up to attend school. 
51,---------------
52,Taylor proved Carson's point about who was the stronger wrestler of them all. 
53,Taylor proved Carson's point about who was the stronger wrestler of them all. 
54,Taylor proved Carson's point about who was the stronger wrestler of them all. 
55,---------------
56,Sydney went trick or treating and the others joined him happily. 
57,Sydney went trick or treating and the others joined him happily. 
58,Sydney went trick or treating and the others joined him happily. 
59,---------------
60,Sasha set their trash on fire to get rid of it quickly. 
61,Sasha set their trash on fire to get rid of it quickly. 
62,Sasha set their trash on fire to get rid of it quickly. 
63,---------------
64,Robin dried up the paper and lit it on fire and it blew away. 
65,Robin dried up the paper and lit it on fire and it blew away. 
66,Robin dried up the paper and lit it on fire and it blew away. 
67,---------------
68,Skylar went camping with friends and found the best campsite. 
69,Skylar went camping with friends and found the best campsite. 
70,Skylar went camping with friends and found the best campsite. 
71,---------------
72,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
73,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
74,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
75,---------------
76,Cameron took Kai's compliment seriously after the ballgame ended. 
77,Cameron took Kai's compliment seriously after the ballgame ended. 
78,Cameron took Kai's compliment seriously after the ballgame ended. 
79,---------------
80,Jordan taught art in elementary schools and was really great with his students. 
81,Jordan taught art in elementary schools and was really great with his students. 
82,Jordan taught art in elementary schools and was really great with his students. 
83,---------------
84,Riley and the others were the best of friends and always supported each other. 
85,Riley and the others were the best of friends and always supported each other. 
86,Riley and the others were the best of friends and always supported each other. 
87,---------------
88,Taylor gave help to a friend who was having trouble keeping up with their bills. 
89,Taylor gave help to a friend who was having trouble keeping up with their bills. 
90,Taylor gave help to a friend who was having trouble keeping up with their bills. 
91,---------------
92,Riley had twisted their leg and began to hurt so bad that they could not walk. 
93,Riley had twisted their leg and began to hurt so bad that they could not walk. 
94,Riley had twisted their leg and began to hurt so bad that they could not walk. 
95,---------------
96,Carson was at a friend's house but suddenly announced they needed to go home. 
97,Carson was at a friend's house but suddenly announced they needed to go home. 
98,Carson was at a friend's house but suddenly announced they needed to go home. 
99,---------------
100,Taylor taught math in the schools after studying to be a teacher for four years. 
101,Taylor taught math in the schools after studying to be a teacher for four years. 
102,Taylor taught math in the schools after studying to be a teacher for four years. 
103,---------------
104,Tracy led their army and fought hard in the war until they sat upon the throne. 
105,Tracy led their army and fought hard in the war until they sat upon the throne. 
106,Tracy led their army and fought hard in the war until they sat upon the throne. 
107,---------------
108,Kendall watched baseball with his friends after working hard all week at his job. 
109,Kendall watched baseball with his friends after working hard all week at his job. 
110,Kendall watched baseball with his friends after working hard all week at his job. 
111,---------------
112,kai was bored and had nothing to do so he played card games. 
113,kai was bored and had nothing to do so he played card games. 
114,kai was bored and had nothing to do so he played card games. 
115,---------------
116,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
117,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
118,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
119,---------------
120,Kendall wrapped string around my neck to measure the collar of a shirt. 
121,Kendall wrapped string around my neck to measure the collar of a shirt. 
122,Kendall wrapped string around my neck to measure the collar of a shirt. 
123,---------------
124,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
125,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
126,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
127,---------------
128,jan took them to NYC so that they could experience the city for the first time. 
129,jan took them to NYC so that they could experience the city for the first time. 
130,jan took them to NYC so that they could experience the city for the first time. 
131,---------------
132,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
133,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
134,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
135,---------------
136,carson hated lee and his family so he took the risk to injure lee. 
137,carson hated lee and his family so he took the risk to injure lee. 
138,carson hated lee and his family so he took the risk to injure lee. 
139,---------------
140,Robin stayed outside and tried to finish the game of volleyball she was playing. 
141,Robin stayed outside and tried to finish the game of volleyball she was playing. 
142,Robin stayed outside and tried to finish the game of volleyball she was playing. 
143,---------------
144,Carson returned to Robin's house after previously storming out during a huge fight. 
145,Carson returned to Robin's house after previously storming out during a huge fight. 
146,Carson returned to Robin's house after previously storming out during a huge fight. 
147,---------------
148,Robin didn't know why she was having bad luck but found the answer. 
149,Robin didn't know why she was having bad luck but found the answer. 
150,Robin didn't know why she was having bad luck but found the answer. 
151,---------------
152,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
153,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
154,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
155,---------------
156,ash was cut short even though everyone wanted to hear what ash had to say. 
157,ash was cut short even though everyone wanted to hear what ash had to say. 
158,ash was cut short even though everyone wanted to hear what ash had to say. 
159,---------------
160,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
161,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
162,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
163,---------------
164,jordan wanted to be nice to a girl so he took her to the shoe store. 
165,jordan wanted to be nice to a girl so he took her to the shoe store. 
166,jordan wanted to be nice to a girl so he took her to the shoe store. 
167,---------------
168,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
169,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
170,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
171,---------------
