Row ID,Paraphrases,Category,Orginal
0,Tracy totally ignored Riley's attempts to talk to her that night and stayed out instead.,Young,Tracy didn't go home that evening and resisted Riley's attacks. 
1,Tracy refused to go home and resisted Riley's efforts to communicate with her in the evening.,Middle Age,Tracy didn't go home that evening and resisted Riley's attacks. 
2,Tracy decided not to return home that evening and deflected Riley's attempts to initiate a conversation.,Old,Tracy didn't go home that evening and resisted Riley's attacks. 
3,---------------,---------------,---------------
4,"Sydney breezed by a homeless chick begging for coins, but didn't have any spare change to give her. Later, Syd felt pretty crappy about it.",Young,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
5,"Sydney walked past a homeless woman asking for spare change, but couldn't offer her any assistance due to lack of funds. Afterwards, Sydney felt a sense of guilt and regret.",Middle Age,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
6,"Sydney strolled by a destitute woman requesting spare change, but was unable to provide any financial support. Later, Sydney experienced pangs of remorse for not being able to help.",Old,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
7,---------------,---------------,---------------
8,Sasha was all about protecting cancer patients by creating new laws that put their rights first when it comes to drug trials.,Young,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
9,Sasha made sure that cancer patients were well-protected by introducing fresh legislation governing clinical trials for cancer drugs.,Middle Age,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
10,Sasha took a firm stance on patient rights by formulating new regulations pertaining to clinical trials of cancer medications.,Old,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
11,---------------,---------------,---------------
12,"OMG, can you believe Jordan totally forgot to bring the food on our camping trip? Like, how do you forget the most important part of a camping trip? 😂",Young,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
13,"It seems that Jordan was responsible for bringing the food on the camping trip, but they accidentally left everything at home. This is definitely a lesson in being prepared! 🤦‍♀️",Middle Age,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
14,"My goodness gracious, it appears that Jordan was tasked with bringing the provisions for our camping excursion, but they seem to have misplaced everything. Oh well, there's always next time! 😊",Old,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
15,---------------,---------------,---------------
16,Kendall dropped some serious knowledge that left everyone in awe.,Young,Kendall opened their mouth to speak and what came out shocked everyone. 
17,Kendall spoke up with some unexpected insights that caught everyone off guard.,Middle Age,Kendall opened their mouth to speak and what came out shocked everyone. 
18,Kendall uttered some remarkable statements that took everyone by surprise.,Old,Kendall opened their mouth to speak and what came out shocked everyone. 
19,---------------,---------------,---------------
20,Aubrey kept mum about the secret and Riley was totes furious!,Young,Aubrey never told Riley the answer and Riley was angry. 
21,"Aubrey refused to divulge the information to Riley, leaving her in a state of frustration.",Middle Age,Aubrey never told Riley the answer and Riley was angry. 
22,"Aubrey withheld the answer from Riley, causing her to be quite displeased.",Old,Aubrey never told Riley the answer and Riley was angry. 
23,---------------,---------------,---------------
24,"Kendall's pup was totally chubby, so they took it for a major walk - like, five miles!",Young,Kendall's dog was overweight so they walked it five miles. 
25,"Kendall's dog was a bit overweight, so they decided to take it on a long walk of five miles to help it shed some pounds.",Middle Age,Kendall's dog was overweight so they walked it five miles. 
26,"Kendall's furry friend was a tad too plump, so they went for a brisk five-mile walk to give it some exercise and improve its health.",Old,Kendall's dog was overweight so they walked it five miles. 
27,---------------,---------------,---------------
28,Kendall just copped a sick new sports car and is super pumped to show it off to her squad!,Young,Kendall got a new sports car and could not wait to show friends. 
29,Kendall recently purchased a sleek new sports car and is eager to display it to her friends.,Middle Age,Kendall got a new sports car and could not wait to show friends. 
30,Kendall has acquired a shiny new sports car and is thrilled to share it with her acquaintances.,Old,Kendall got a new sports car and could not wait to show friends. 
31,---------------,---------------,---------------
32,Riley wrapped themselves in a blanket like a burrito to stay cozy.,Young,Riley layered down their arms with a blanket to keep warm. 
33,Riley gently draped a blanket over their arms to keep warm.,Middle Age,Riley layered down their arms with a blanket to keep warm. 
34,Riley carefully laid a blanket across their arms to maintain body heat.,Old,Riley layered down their arms with a blanket to keep warm. 
35,---------------,---------------,---------------
36,Austin had a close relationship with Quinn and they spent many nights together.,Young,Austin knew Quinn intimately and they slept together many times. 
37,Austin was intimately familiar with Quinn and they shared many romantic evenings.,Middle Age,Austin knew Quinn intimately and they slept together many times. 
38,Austin had a deep connection with Quinn and they enjoyed each other's company on multiple occasions.,Old,Austin knew Quinn intimately and they slept together many times. 
39,---------------,---------------,---------------
40,Carson leaned in and planted a soft peck on Alex's cheek before asking for a dinner date.,Young,Carson kissed Alex gently on the cheek and asked to go to dinner. 
41,Carson tenderly kissed Alex on the cheek and invited him out to dinner.,Middle Age,Carson kissed Alex gently on the cheek and asked to go to dinner. 
42,Carson gently brushed his lips against Alex's check and suggested going out for an evening meal.,Old,Carson kissed Alex gently on the cheek and asked to go to dinner. 
43,---------------,---------------,---------------
44,Alex led Robin to the death row cafeteria for her final meal before she got the needle.,Young,Alex walked Robin towards the execution chamber for her last meal. 
45,Alex escorted Robin to the execution chamber for her last meal before she was put to sleep.,Middle Age,Alex walked Robin towards the execution chamber for her last meal. 
46,Alex steered Robin towards the death row dining hall for her final repast before she met her maker.,Old,Alex walked Robin towards the execution chamber for her last meal. 
47,---------------,---------------,---------------
48,Carson was totally stoked to wake up and hit the books at school today!,Young,Carson was excited to wake up to attend school. 
49,Carson was eager to rise and shine for another day of learning at school.,Middle Age,Carson was excited to wake up to attend school. 
50,"Carson was thrilled to wake up and head off to school, full of anticipation for another productive day.",Old,Carson was excited to wake up to attend school. 
51,---------------,---------------,---------------
52,Taylor totally validated Carson's theory that she was the baddest wrestler ever!,Young,Taylor proved Carson's point about who was the stronger wrestler of them all. 
53,Taylor's impressive performance clearly reinforced Carson's assertion about her wrestling skills.,Middle Age,Taylor proved Carson's point about who was the stronger wrestler of them all. 
54,Taylor's demonstration of her wrestling prowess certainly supported Carson's contention that she was the stronger wrestler.,Old,Taylor proved Carson's point about who was the stronger wrestler of them all. 
55,---------------,---------------,---------------
56,Sydney had an epic Halloween adventure and his friends were totally down for it!,Young,Sydney went trick or treating and the others joined him happily. 
57,"Sydney went door-to-door in search of treats, and he was joined by his excited friends.",Middle Age,Sydney went trick or treating and the others joined him happily. 
58,"Sydney ventured out for a spooky Halloween excursion, accompanied by his delighted companions.",Old,Sydney went trick or treating and the others joined him happily. 
59,---------------,---------------,---------------
60,Sasha burned their trash because they wanted to get rid of it ASAP.,Young,Sasha set their trash on fire to get rid of it quickly. 
61,Sasha set their trash ablaze to dispose of it quickly and efficiently.,Middle Age,Sasha set their trash on fire to get rid of it quickly. 
62,Sasha put their trash in a fire to get rid of it promptly.,Old,Sasha set their trash on fire to get rid of it quickly. 
63,---------------,---------------,---------------
64,"Robin totally incinerated the paper with his mad fire-starting skills, and it was like, whoa, it just blew away!",Young,Robin dried up the paper and lit it on fire and it blew away. 
65,"Robin carefully dried up the paper with a match before setting it ablaze, and it gently drifted away in the breeze.",Middle Age,Robin dried up the paper and lit it on fire and it blew away. 
66,"Back in my day, we didn't have all these fancy matches and lighters like they do now. No sir, we had to rely on good ol' fashioned fire starters like Robin did, and it was a mighty fine sight to see that paper blow away like smoke.",Old,Robin dried up the paper and lit it on fire and it blew away. 
67,---------------,---------------,---------------
