idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,M==T
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0, Tracy skipped home that evening and fended off Riley's advances.  What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2,FALSE,TRUE
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories.  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1,1,FALSE,TRUE
12, Carson was excited to wake up to attend school. Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",2, Carson was stoked to rise and shine for another day of learning at school.  Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",0,1,FALSE,FALSE
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1, Taylor solidified Carson's argument that he was the more skilled wrestler.  What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",0,0,FALSE,TRUE
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0," Sydney hit the streets for some trick-or-treating fun, and his buddies eagerly joined in on the action.  What will Others want to do next? ","['Go home', 'Did this to get candy', 'Get candy']",2,2,FALSE,TRUE
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ,"['Energetic', 'Brave', 'Tired']",2," Robin played a fierce game of volleyball with her friends outside, determined to win.  How would Robin feel afterwards? ","['Energetic', 'Brave', 'Tired']",1,2,TRUE,FALSE
41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ,"['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2," Jordan was eager to impress the girl, so he suggested they go to the shoe store together.  What does Jordan need to do before this? ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",1,1,FALSE,TRUE
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1, Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort.  How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1,TRUE,FALSE
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," Austin was really struggling with the test at first, but he pushed through and powered through to the end.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2,TRUE,FALSE
58, Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0," Aubrey, a law enforcement official, stopped Casey for exceeding speed limits in a hazardous construction zone.  What will Casey want to do next? ","['Keep construction workers safe', 'Speed off', 'Make an excuse']",2,2,FALSE,TRUE
