idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0, Tracy totally ignored Riley's attempts to talk to her that night and stayed out instead.  What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0," Sydney breezed by a homeless chick begging for coins, but didn't have any spare change to give her. Later, Syd felt pretty crappy about it.  How would you describe Sydney? ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0,0
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1, Sasha was all about protecting cancer patients by creating new laws that put their rights first when it comes to drug trials.  What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",0,1
3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ,"['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0," OMG, can you believe Jordan totally forgot to bring the food on our camping trip? Like, how do you forget the most important part of a camping trip? 😂  How would Jordan feel afterwards? ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0,0
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0, Kendall dropped some serious knowledge that left everyone in awe.  How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",2,2
5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ,"['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1, Aubrey kept mum about the secret and Riley was totes furious!  How would you describe Aubrey? ,"['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1,0
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's pup was totally chubby, so they took it for a major walk - like, five miles!  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0,1
7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0, Kendall just copped a sick new sports car and is super pumped to show it off to her squad!  What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0,1
8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2, Riley wrapped themselves in a blanket like a burrito to stay cozy.  What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2,2
9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2, Austin had a close relationship with Quinn and they spent many nights together.  Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2,1
10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1, Carson leaned in and planted a soft peck on Alex's cheek before asking for a dinner date.  What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1,1
11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1, Alex led Robin to the death row cafeteria for her final meal before she got the needle.  Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1,0
12, Carson was excited to wake up to attend school. Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",2, Carson was totally stoked to wake up and hit the books at school today!  Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",0,1
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1, Taylor totally validated Carson's theory that she was the baddest wrestler ever!  What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",0,0
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0, Sydney had an epic Halloween adventure and his friends were totally down for it!  What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0,2
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2, Sasha burned their trash because they wanted to get rid of it ASAP.  How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2,1
