,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
0,0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? , Tracy refused to go home and resisted Riley's efforts to communicate with her in the evening.  What does Tracy need to do before this? ,2,0,2,0.1055682897567749,0.7661275863647461
1,1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ," Sydney walked past a homeless woman asking for spare change, but couldn't offer her any assistance due to lack of funds. Afterwards, Sydney felt a sense of guilt and regret.  How would you describe Sydney? ",0,0,0,0.09310710430145264,0.8363451957702637
2,2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? , Sasha made sure that cancer patients were well-protected by introducing fresh legislation governing clinical trials for cancer drugs.  What will patients want to do next? ,1,1,1,0.06739950180053711,0.7097009420394897
3,3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ," It seems that Jordan was responsible for bringing the food on the camping trip, but they accidentally left everything at home. This is definitely a lesson in being prepared! 🤦‍♀️  How would Jordan feel afterwards? ",0,0,0,0.06324946880340576,0.6139920949935913
4,4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? , Kendall spoke up with some unexpected insights that caught everyone off guard.  How would you describe Kendall? ,0,0,2,0.15290361642837524,0.9332392811775208
5,5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ," Aubrey refused to divulge the information to Riley, leaving her in a state of frustration.  How would you describe Aubrey? ",1,1,0,0.14227712154388428,0.9125429391860962
6,6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ," Kendall's dog was a bit overweight, so they decided to take it on a long walk of five miles to help it shed some pounds.  Why did Kendall do this? ",1,0,1,0.13086378574371338,0.9728089570999146
7,7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? , Kendall recently purchased a sleek new sports car and is eager to display it to her friends.  What will Kendall want to do next? ,0,0,1,0.12441879510879517,0.8571019172668457
8,8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? , Riley gently draped a blanket over their arms to keep warm.  What does Riley need to do before this? ,2,2,2,0.11797976493835449,0.9598435163497925
9,9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? , Austin was intimately familiar with Quinn and they shared many romantic evenings.  Why did Austin do this? ,2,2,1,0.17225861549377441,1.189896583557129
10,10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? , Carson tenderly kissed Alex on the cheek and invited him out to dinner.  What will happen to Carson? ,1,1,1,0.12162721157073975,0.85789555311203
11,11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? , Alex escorted Robin to the execution chamber for her last meal before she was put to sleep.  Why did Alex do this? ,1,1,0,0.13946223258972168,1.0637612342834473
12,12, Carson was excited to wake up to attend school. Why did Carson do this? , Carson was eager to rise and shine for another day of learning at school.  Why did Carson do this? ,0,2,1,0.128898024559021,0.8859652280807495
13,13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? , Taylor's impressive performance clearly reinforced Carson's assertion about her wrestling skills.  What will Taylor want to do next? ,0,1,0,0.09704482555389404,0.8037185668945312
14,14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ," Sydney went door-to-door in search of treats, and he was joined by his excited friends.  What will Others want to do next? ",2,0,2,0.09298574924468994,0.7055156826972961
15,15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? , Sasha set their trash ablaze to dispose of it quickly and efficiently.  How would you describe Sasha? ,2,2,1,0.17685401439666748,1.064505696296692
16,16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ," Robin carefully dried up the paper with a match before setting it ablaze, and it gently drifted away in the breeze.  How would Robin feel afterwards? ",1,1,1,0.09472870826721191,0.8095980882644653
17,17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? , Skylar had a fantastic time camping with her friends and discovered an ideal campsite that offered the perfect blend of seclusion and amenities. 🏕️👥  What does Skylar need to do before this? ,1,1,1,0.05010133981704712,0.5243260264396667
18,18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? "," Since Robin's car broke down, he asked Jan's friends for a lift to school.  What will Robin want to do next? ",2,0,0,0.08575630187988281,0.7213132381439209
19,19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? , Cameron was pleasantly surprised by Kai's kind words after the ballgame ended.  How would you describe Cameron? ,0,0,0,0.13054955005645752,0.8968297243118286
20,20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ," Jordan had a gift for teaching art to children, and his students adored him for it. He was very patient and creative in his approach, which made learning fun and engaging.  How would the parents feel as a result? ",2,2,1,0.06708496809005737,0.641867458820343
21,21, Riley and the others were the best of friends and always supported each other. What will happen to Others? ," Riley and her close friends were a tight-knit group, always there for one another through thick and thin.  What will happen to Others? ",1,1,1,0.09284496307373047,0.6643868684768677
22,22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? , Taylor generously offered assistance to their friend during a difficult time by helping with their overwhelming bills. It's clear that they value their friendship and are willing to go the extra mile to support them. 👍  What will their friend want to do next? ,1,1,1,0.05288809537887573,0.5371761918067932
23,23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ," Riley injured their leg pretty badly and is experiencing significant pain, making it difficult for them to walk.  What does Riley need to do before this? ",0,0,1,0.08828377723693848,0.7246851325035095
24,24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? , Carson was spending time at a friend's house when they suddenly mentioned they needed to head home.  Why did Carson do this? ,0,2,2,0.14201879501342773,0.9876999855041504
25,25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? , Taylor pursued a degree in education and spent four years honing her teaching skills before joining the faculty of local schools. She's dedicated to helping her students excel in math and beyond! 📚👩‍🏫  What does Taylor need to do before this? ,2,2,0,0.07724642753601074,0.6869112253189087
26,26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? ," Tracy displayed remarkable leadership and fought valiantly in the war, ultimately achieving victory and securing their place on the throne.  How would you describe Tracy? ",2,2,2,0.09515243768692017,0.7789239883422852
27,27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? , Kendall relaxed with his buddies after putting in a long week at work.  What will Kendall want to do next? ,1,1,1,0.10370749235153198,0.772411584854126
28,28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ," Kai felt rather bored and looked for something to do, so he decided to play a few rounds of card games.  What will Kai want to do next? ",2,2,2,0.11767619848251343,0.8616714477539062
29,29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? "," Robin kindly assisted Aubrey in changing into clean attire, allowing them to both attend the grand performance in style. 😊  What will Robin want to do next? ",2,2,0,0.08807647228240967,0.7666953802108765
30,30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ," Kendall carefully wrapped a piece of string around my neck to determine the size of the collar on her shirt. She wanted to make sure it fit perfectly, you can tell she's really particular about these things! 😊  What will Others want to do next? ",2,1,0,0.08362603187561035,0.7735806703567505
31,31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ," Aubrey passed the item to Kai's friend, and Kai had expected to receive it herself.  How would Kai feel as a result? ",1,1,1,0.11864703893661499,0.8634291887283325
32,32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? ," Jan generously offered to take them on a trip to New York City, giving them the opportunity to explore the city for the first time. 👨‍👩‍👧‍👦  What will Others want to do next? ",0,0,0,0.07753217220306396,0.6623122692108154
33,33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ," Tracy was extremely upset on the couch while watching the History Channel as they had numerous inaccuracies, which really bothered her.  Why did Tracy do this? ",1,1,1,0.07444381713867188,0.6922805905342102
34,34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ," Carson harbored intense animosity towards Lee and his family, leading him to take a reckless risk that could have injured Lee.  How would you describe Carson? ",1,1,1,0.12000232934951782,0.8320325613021851
35,35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ," Robin continued playing her game of volleyball even after moving outside, showing her dedication to the sport.  How would Robin feel afterwards? ",2,2,2,0.09816104173660278,0.8189540505409241
36,36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? , Carson had a heated argument with Robin and subsequently left her house in a huff.  How would Carson feel afterwards? ,0,1,1,0.11471140384674072,0.940402626991272
37,37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ," Robin couldn't understand why she was experiencing such unfortunate events, but after some reflection, she discovered the reason.  How would Robin feel afterwards? ",1,1,1,0.06923288106918335,0.6554397344589233
38,38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ," Jordan noticed that their son's shoes were getting too small, so they took him to the shoe store to get a proper fit.  How would Jordan's son feel as a result? ",2,2,2,0.09409528970718384,0.7924861311912537
39,39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? , Ash's statement was abruptly ended despite everyone's desire to hear his thoughts.  What will happen to Others? ,2,2,2,0.1072039008140564,0.8253070116043091
40,40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? , Jordan was conversing with a group of pals and shared some gossip about Ash to gain their approval.  What will happen to Jordan? ,2,2,2,0.11438649892807007,0.7801488041877747
41,41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ," Jordan wanted to make a good impression on the girl, so he suggested going to the shoe store together to find the perfect pair of shoes that would complement her outfit.  What does Jordan need to do before this? ",2,2,1,0.09429061412811279,0.791998028755188
42,42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? , Aubrey had a great understanding of Remy's needs and was able to meet them with impressive efficiency as his nurse. 👏  How would Remy feel as a result? ,1,1,1,0.08619868755340576,0.8011025190353394
43,43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ," Aubrey made sure to monitor the baby's condition throughout the night, vigilant for any signs of a possible concussion.  What will happen to Aubrey? ",2,2,1,0.1350569725036621,0.8880432844161987
44,44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? , Robin deliberately shielded Riley's eyes from the explicit content in the film to avoid any discomfort or awkwardness.  How would Riley feel as a result of this? ,2,1,1,0.07950425148010254,0.7072979211807251
45,45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? , Quinn warmly embraced Jordan and then discreetly presented them with a thoughtful gift that they had been keeping hidden.  What does Quinn need to do before this? ,1,1,0,0.10332357883453369,0.8881789445877075
46,46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? ," Bailey performed exceptionally well on his driving test, outdoing Jesse with flying colors.  What does Bailey need to do before this? ",2,0,0,0.13963717222213745,0.9130778908729553
47,47, Austin was taking a test and found it difficult at first. How would you describe Austin? ," Austin encountered some challenges while taking the test, but he persevered and eventually succeeded.  How would you describe Austin? ",0,2,2,0.22062695026397705,1.1368435621261597
48,48," Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? "," Quinn was having an absolute blast playing and romping in the snow, creating adorable snow angels and tossing snowballs with glee.  How would you describe Quinn? ",2,2,2,0.10579884052276611,0.9163631200790405
49,49, Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? ," Tracy lent money to my friend who was in need, but they failed to repay the loan as promised.  What will happen to Tracy? ",1,1,2,0.16532421112060547,1.0247890949249268
50,50, Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? , Camerson was pleased with Bailey's research paper; the content and structure were impressive.  How would you describe Cameron? ,0,0,1,0.1817624568939209,1.1166038513183594
51,51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? "," Skylar was upset when the bully pushed them in the lunch line, so they reacted by pouring milk over the other person's head. It was a spontaneous and emotional response.  What will Skylar want to do next? ",1,1,0,0.056154489517211914,0.702695369720459
