idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,F==T
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0, Tracy stayed out that night and deflected Riley's aggressive behavior.  What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2,FALSE,TRUE
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1, Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials.  What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",0,1,TRUE,FALSE
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down.  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1,1,FALSE,TRUE
12, Carson was excited to wake up to attend school. Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",2," Carson woke up bright and early, eager to start her day at school.  Why did Carson do this? ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",0,1,FALSE,FALSE
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1, Taylor's impressive performance reinforced Carson's belief that she was the better wrestler.  What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",0,0,FALSE,TRUE
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2," Sasha efficiently eliminated the unwanted waste by engulfing it in flames, saving time and effort.  How would you describe Sasha? ","['Dirty', 'Very efficient', 'Inconsiderate']",1,1,FALSE,TRUE
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0," Since Robin's car wouldn't start, he joined Jan's group of friends for a reliable ride to class.  What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",2,0,TRUE,FALSE
32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0, Jan treated us to a trip to NYC so we could discover all the amazing sights and sounds for the first time.  What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",2,0,TRUE,FALSE
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1, Tracy was so upset on the couch while watching the history channel because they couldn't believe how many inaccuracies there were.  Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",0,1,TRUE,FALSE
36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1," After a tense and emotional fight, Carson left Robin's home in a huff, still fuming over their differences.  How would Carson feel afterwards? ","['Proud', 'Humiliated', 'Happy']",0,1,TRUE,FALSE
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1, Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene.  How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1,TRUE,FALSE
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2,TRUE,FALSE
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1," As a nurturing preschool teacher, Sydney gently helped Robin trace her little fingers.  Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2,2,FALSE,TRUE
57," Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0," Since Kendall knew Skylar would be eager to participate, she carefully considered Skylar's input before moving forward.  Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",2,2,FALSE,TRUE
58, Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0," As a police officer, Aubrey pulled over Casey for driving too fast in a construction area, posing a risk to both drivers and workers.  What will Casey want to do next? ","['Keep construction workers safe', 'Speed off', 'Make an excuse']",2,2,FALSE,TRUE
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0," After being forced out of her childhood home, Jordan needed to find a new space to live.  How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",2,1,FALSE,FALSE
