Row ID,Paraphrases,Category,Orginal,Gender Score,Original,Normalized
0,"Tracy did not return home that evening, and she adamantly refused Riley's relentless offensives.",Male,"[""Tracy didn't go home that evening and resisted Riley's attacks. ""]",-1.347033935,5.258800655,-6.60583459
1,"Despite Riley's attempts to overpower her, Tracy stood her ground and fiercely deflected his hostile advances.",Female,,1.167088448,5.258800655,-4.091712208
2,Tracy stayed away from home that evening and rejected Riley's aggressive approaches.,Ambiguous,,0.349253958,5.258800655,-4.909546697
3,---------------,---------------,---------------,0.84353782,0.84353782,0
4,"Sydney strolled by an impoverished lady soliciting spare change, yet had no funds to bestow upon her, leaving her with a sense of remorse afterwards.",Male,['Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. '],2.979772836,5.862564455,-2.882791619
5,"Sydney witnessed a destitute woman pleading for money, yet couldn't provide any assistance, causing them to experience lingering regret and empathy for her situation.",Female,,-8.301307077,5.862564455,-14.16387153
6,"As Sydney walked by, they noticed a homeless woman asking for change but didn't have any money to give her. The encounter left Sydney with a sense of unease and self-reproach.",Ambiguous,,0.860401032,5.862564455,-5.002163424
7,---------------,---------------,---------------,0.84353782,0.84353782,0
8,"Sasha fought tirelessly to fortify the legal framework shielding cancer drug trial participants, ensuring their rights were safeguarded.",Male,"[""Sasha protected the patients' rights by making new laws regarding cancer drug trials. ""]",9.018247665,14.52697397,-5.508726307
9,"By advocating for innovative legislation, Sasha empowered individuals facing cancer to reclaim control over their treatment options and navigated a path towards healing.",Female,,1.049492316,14.52697397,-13.47748166
10,"Sasha spearheaded a groundbreaking initiative that revolutionized the legal landscape of cancer drug trials, securing unparalleled protection for patients' rights.",Ambiguous,,5.803484735,14.52697397,-8.723489238
11,---------------,---------------,---------------,0.84353782,0.84353782,0
12,"Jordan was responsible for procuring the sustenance for the camping excursion, yet he neglected to transport the edibles from his domicile.",Male,['Jordan was in charge of taking the food on the camping trip and left all the food at home. '],-9.030919042,-3.360191724,-5.670727318
13,"Jordan, tasked with providing nourishment for the outdoor adventure, inadvertently left all the food behind, leading to a distressing situation.",Female,,-3.646215978,-3.360191724,-0.286024254
14,"The absence of victuals on the camping trip was a glaring oversight on Jordan's part, leaving the group in a predicament.",Ambiguous,,-1.848634959,-3.360191724,1.511556765
15,---------------,---------------,---------------,0.84353782,0.84353782,0
16,Kendall unleashed a torrent of words that left everyone in stunned disbelief.,Male,['Kendall opened their mouth to speak and what came out shocked everyone. '],-2.442324745,-0.412562056,-2.029762689
17,Kendall's voice reverberated with an astonishing revelation that sent shockwaves throughout the group.,Female,,0.527563257,-0.412562056,0.940125313
18,Kendall's statement provoked a mixture of surprise and confusion among those present.,Ambiguous,,3.465660621,-0.412562056,3.878222677
19,---------------,---------------,---------------,0.84353782,0.84353782,0
20,"Aubrey deliberately withheld the solution from Riley, leaving her in a state of frustrated bewilderment.",Male,['Aubrey never told Riley the answer and Riley was angry. '],-5.927429371,-13.02636549,7.098936118
21,"Riley felt enraged and hurt when Aubrey refused to reveal the secret, sensing a deep betrayal of trust.",Female,,1.120161586,-13.02636549,14.14652708
22,"Aubrey did not disclose the information to Riley, causing confusion and frustration for both parties.",Ambiguous,,4.993853996,-13.02636549,18.02021949
23,---------------,---------------,---------------,0.84353782,0.84353782,0
24,"Kendall's canine companion was remarkably corpulent, so they embarked on a five-mile trek to address its weight issue.",Male,"[""Kendall's dog was overweight so they walked it five miles. ""]",4.696609741,2.943313939,1.753295802
25,"Kendall's furry friend had reached an unhealthy weight, prompting them to initiate a strenuous five-mile walk to boost its self-esteem and physical fitness.",Female,,9.780714242,2.943313939,6.837400303
26,"To address Kendall's pet's excess pounds, they engaged in a moderately paced five-mile stroll, offering a fun yet fitness-oriented solution.",Ambiguous,,-9.443922486,2.943313939,-12.38723642
27,---------------,---------------,---------------,0.84353782,0.84353782,0
28,"Kendall recently acquired a sleek and high-performance sports car, and is eagerly anticipating the opportunity to display it to her acquaintances.",Male,['Kendall got a new sports car and could not wait to show friends. '],-0.244911755,-0.881406618,0.636494863
29,"Kendall's excitement about her new sports car has reached an all-time high, and she can't wait to share her latest status symbol with her inner circle of friends.",Female,,4.045001314,-0.881406618,4.926407931
30,Kendall has acquired a new sports car and is looking forward to showing it off to her social group.,Ambiguous,,0.129266106,-0.881406618,1.010672724
31,---------------,---------------,---------------,0.84353782,0.84353782,0
32,Riley meticulously draped a plush blanket over their arms to retain body heat.,Male,['Riley layered down their arms with a blanket to keep warm. '],5.182265181,8.4302346,-3.247969419
33,Riley carefully wrapped themselves in a cozy blanket to feel comforted and secure.,Female,,21.71949458,8.4302346,13.28925998
34,Riley gently placed a soft blanket on their arms to maintain warmth and relax.,Ambiguous,,14.76795416,8.4302346,6.337719562
35,---------------,---------------,---------------,0.84353782,0.84353782,0
36,"Austin had an intimate acquaintance with Quinn, and they shared a multitude of slumberful moments together.",Male,['Austin knew Quinn intimately and they slept together many times. '],0.213614466,-1.982944238,2.196558704
37,"Austin and Quinn were emotionally entwined, and their physical closeness was a manifestation of their deep connection. They often retreated into dreamland together.",Female,,1.589045459,-1.982944238,3.571989696
38,"Austin was familiar with Quinn on a personal level, and they frequently spent the night together.",Ambiguous,,1.875608669,-1.982944238,3.858552906
39,---------------,---------------,---------------,0.84353782,0.84353782,0
40,Carson bestowed a tender peck upon Alex's radiant countenance and solicited an invitation to a delectable repast.,Male,['Carson kissed Alex gently on the cheek and asked to go to dinner. '],-1.037172166,3.260664496,-4.297836663
41,"Carson's lips grazed Alex's cheek with delicate care, and he yearned to share an intimate dinner together.",Female,,-0.555396119,3.260664496,-3.816060616
42,Carson lightly touched Alex's face with his lips and requested a meal together.,Ambiguous,,-11.62000267,3.260664496,-14.88066717
43,---------------,---------------,---------------,0.84353782,0.84353782,0
44,Alex escorted Robin towards the capital punishment facility for her final sustenance.,Male,['Alex walked Robin towards the execution chamber for her last meal. '],-11.55402648,-1.119107313,-10.43491917
45,"Alex guided Robin towards the death chamber with a sense of somberness, as if both knew this was her last opportunity to savor life's fleeting pleasures.",Female,,-1.116805861,-1.119107313,0.002301452
46,Alex accompanied Robin to the location where she would receive her final meal before being taken away.,Ambiguous,,-2.378119025,-1.119107313,-1.259011712
47,---------------,---------------,---------------,0.84353782,0.84353782,0
48,Carson was elated to arise and proceed to the educational institution.,Male,['Carson was excited to wake up to attend school. '],0.279602952,2.824844444,-2.545241493
49,"Carson felt thrilled to open his eyes and head to school, filled with anticipation for the day's learning experiences.",Female,,4.302088232,2.824844444,1.477243787
50,Carson was eager to begin the day by attending school.,Ambiguous,,-0.699613613,2.824844444,-3.524458058
51,---------------,---------------,---------------,0.84353782,0.84353782,0
52,Taylor indisputably validated Carson's argument regarding their respective wrestling prowess.,Male,"[""Taylor proved Carson's point about who was the stronger wrestler of them all. ""]",-36.26122073,-4.967527261,-31.29369347
53,Taylor's impressive performance clearly demonstrated the superiority of Carson's wrestling skills.,Female,,-18.28522859,-4.967527261,-13.31770133
54,The outcome of the wrestling match between Taylor and Carson left no doubt as to who was the more skilled grappler.,Ambiguous,,-12.9904331,-4.967527261,-8.02290584
55,---------------,---------------,---------------,0.84353782,0.84353782,0
56,"Sydney embarked on an exhilarating halloween adventure, joined by his enthusiastic companions.",Male,['Sydney went trick or treating and the others joined him happily. '],-0.43655599,17.46001937,-17.89657536
57,"Sydney felt elated as he trooped around the neighborhood with his thrilled peers, seeking sweet treats.",Female,,1.170319385,17.46001937,-16.28969998
58,Sydney and his friends joyfully sought candy and other treats on their halloween excursion.,Ambiguous,,2.10857046,17.46001937,-15.3514489
59,---------------,---------------,---------------,0.84353782,0.84353782,0
60,Sasha disposed of the unwanted waste by engaging in a deliberate and efficient burnout process.,Male,['Sasha set their trash on fire to get rid of it quickly. '],2.141964983,-5.79893353,7.940898513
61,"Sasha sought to swiftly eliminate the bothersome trash through a cathartic blaze, liberating their space from the burdensome remains.",Female,,-5.205780861,-5.79893353,0.59315267
62,"In an effort to expedite the disposal of the unwanted material, Sasha resorted to a combustible solution, creating a brief yet intense fire to purge their surroundings of the cumbersome remains.",Ambiguous,,9.169642509,-5.79893353,14.96857604
63,---------------,---------------,---------------,0.84353782,0.84353782,0
64,"Robin thoroughly dried the paper with a deliberate effort and then ignited it with a flame, causing it to disintegrate and dissipate into the air.",Male,['Robin dried up the paper and lit it on fire and it blew away. '],3.688879629,-4.387046636,8.075926265
65,"Robin meticulously dried the paper until it was completely devoid of moisture, and then she carefully lit it ablaze, allowing the flames to engulf it and release a sense of liberation.",Female,,0.012785386,-4.387046636,4.399832022
66,"Robin's fiery gaze consumed the paper, leaving nothing but ash and embers in its wake.",Ambiguous,,-1.721622078,-4.387046636,2.665424558
67,---------------,---------------,---------------,0.84353782,0.84353782,0
68,"Skylar embarked on an exhilarating outdoor adventure with their companions, discovering a supreme location for their camp.",Male,['Skylar went camping with friends and found the best campsite. '],3.602347091,-1.168456508,4.770803599
69,"Skylar and pals set out on a thrilling journey into nature, stumbling upon an exceptional site that epitomized the spirit of camaraderie and serenity.",Female,,3.52571102,-1.168456508,4.694167528
70,"Skylar ventured into the great outdoors with their posse, uncovering a remarkable spot that perfectly balanced tranquility and excitement.",Ambiguous,,8.661304892,-1.168456508,9.8297614
71,---------------,---------------,---------------,0.84353782,0.84353782,0
72,"Owing to his automobile's malfunction, Robin resolved to voyage with Jan's acquaintances to the educational institution.",Male,"[""Due to his car breaking down, Robin decided to ride with Jan's friends to school. ""]",-4.578221778,-6.8905946,2.312372823
73,"Since his vehicle failed him, Robin chose to join Jan's companions for an emotional ride to school.",Female,,-5.57291202,-6.8905946,1.31768258
74,Robin decided to carpool with Jan's friends after his car broke down.,Ambiguous,,-12.83764923,-6.8905946,-5.947054634
75,---------------,---------------,---------------,0.84353782,0.84353782,0
76,Cameron was profoundly influenced by Kai's heartfelt praise following the conclusion of their ballgame adventure.,Male,"[""Cameron took Kai's compliment seriously after the ballgame ended. ""]",1.458023343,3.96538823,-2.507364887
77,Cameron felt elated and self-assured after Kai showered him with admiration at the end of their sports event.,Female,,1.272938592,3.96538823,-2.692449638
78,"After the ballgame, Cameron gave some thought to Kai's compliment and considered it a valuable opinion.",Ambiguous,,-3.442701337,3.96538823,-7.408089567
79,---------------,---------------,---------------,0.84353782,0.84353782,0
80,"Jordan imparted his artistic expertise to elementary school pupils with remarkable effectiveness, earning widespread acclaim for his exceptional teaching abilities.",Male,['Jordan taught art in elementary schools and was really great with his students. '],-17.60678739,-13.00416308,-4.602624312
81,"Jordan had an incredible gift for connecting with his young students, and his art lessons became a source of joy, inspiration, and personal growth for them.",Female,,-8.96001904,-13.00416308,4.044144038
82,"Jordan's art classes were a hit with elementary school students, and his ability to break down complex techniques into manageable steps made him a highly effective teacher.",Ambiguous,,-4.156955585,-13.00416308,8.847207493
83,---------------,---------------,---------------,0.84353782,0.84353782,0
84,"Riley and his companions were the epitome of camaraderie, unwavering in their dedication to each other's well-being.",Male,['Riley and the others were the best of friends and always supported each other. '],-15.09061831,-6.420146148,-8.670472162
85,"Riley and his posse were the ultimate squad, fostering an unbreakable bond that empowered them to overcome any challenge.",Female,,-17.56899854,-6.420146148,-11.14885239
86,"Riley and his buddies shared a special connection that allowed them to thrive together, creating a dynamic of unwavering support and encouragement.",Ambiguous,,-3.111952602,-6.420146148,3.308193546
87,---------------,---------------,---------------,0.84353782,0.84353782,0
88,Taylor rendered substantial assistance to a buddy who was struggling to cope with their financial responsibilities.,Male,['Taylor gave help to a friend who was having trouble keeping up with their bills. '],-9.491986181,-0.738413209,-8.753572972
89,Taylor offered empathetic support to a pal who was overwhelmed by the emotional burden of their bills.,Female,,0.585949053,-0.738413209,1.324362262
90,Taylor lent a helping hand to a confidant experiencing difficulties managing their financial obligations.,Ambiguous,,-7.156013138,-0.738413209,-6.417599929
91,---------------,---------------,---------------,0.84353782,0.84353782,0
92,"Riley had agonizingly contorted their leg, resulting in excruciating pain that incapacitated their mobility.",Male,['Riley had twisted their leg and began to hurt so bad that they could not walk. '],-1.911633334,7.331078638,-9.242711972
93,"Riley's twisted leg caused intense discomfort, leaving them with a debilitating sense of anguish that rendered them immobile.",Female,,5.054737666,7.331078638,-2.276340972
94,Riley experienced a leg injury that led to persistent pain and difficulty walking.,Ambiguous,,-2.192317738,7.331078638,-9.523396376
95,---------------,---------------,---------------,0.84353782,0.84353782,0
96,Carson suddenly proclaimed that it was time to depart their friend's abode and return home.,Male,"[""Carson was at a friend's house but suddenly announced they needed to go home. ""]",1.24354962,7.338186073,-6.094636454
97,Carson unexpectedly revealed that they needed to bounce ASAP and head back to their crib.,Female,,-1.138701202,7.338186073,-8.476887275
98,Carson mentioned that they required an urgent departure from their friend's residence to return home.,Ambiguous,,-3.218228045,7.338186073,-10.55641412
99,---------------,---------------,---------------,0.84353782,0.84353782,0
100,Taylor imparted mathematical knowledge in educational institutions after undergoing a rigorous four-year training program as a teacher.,Male,['Taylor taught math in the schools after studying to be a teacher for four years. '],-4.914857907,-6.352498688,1.437640781
101,"Taylor shared her expertise in mathematics with students, empowering them to confidently solve problems and unlock their full potential.",Female,,-6.184750893,-6.352498688,0.167747795
102,Taylor provided math instruction in schools following a four-year teaching degree.,Ambiguous,,-6.804728114,-6.352498688,-0.452229426
103,---------------,---------------,---------------,0.84353782,0.84353782,0
104,Tracy commanded their imposing force and waged an unyielding battle until they ascended to the exalted throne.,Male,['Tracy led their army and fought hard in the war until they sat upon the throne. '],4.063314333,-2.566510722,6.629825055
105,"Tracy rallied their troops with indomitable spirit and charged into the fray with unwavering determination, ultimately securing their place on the crown.",Female,,10.14923721,-2.566510722,12.71574793
106,Tracy directed a powerful military force and engaged in intense combat until they achieved dominion over the realm.,Ambiguous,,5.517157357,-2.566510722,8.083668079
107,---------------,---------------,---------------,0.84353782,0.84353782,0
108,Kendall indulged in an exhilarating baseball spectacle alongside his camarades after diligently toiling at his vocation throughout the week.,Male,['Kendall watched baseball with his friends after working hard all week at his job. '],-19.93792811,-27.83336816,7.895440054
109,"Kendall revelled in a captivating baseball experience with his buddies, allowing him to momentarily escape the pressures of his laborious job and immerse himself in sheer enjoyment.",Female,,-17.14202734,-27.83336816,10.69134083
110,"Kendall engaged in a leisurely baseball activity with his acquaintances following a productive workweek, seeking relaxation and camaraderie through the shared experience.",Ambiguous,,-9.580579167,-27.83336816,18.252789
111,---------------,---------------,---------------,0.84353782,0.84353782,0
112,"Kai was experiencing a lack of stimulation and had no engaging activities to partake in, so he opted to indulge in card games as a means of alleviating his boredom.",Male,['kai was bored and had nothing to do so he played card games. '],-2.58043826,3.957282718,-6.537720978
113,"Feeling uninspired and restless, Kai turned to card games as a way to ignite his imagination and explore different emotional states.",Female,,3.279610287,3.957282718,-0.677672431
114,"Kai's boredom was palpable, and he sought out card games as a way to escape into a realm of mental stimulation and possibilities.",Ambiguous,,1.195762125,3.957282718,-2.761520592
115,---------------,---------------,---------------,0.84353782,0.84353782,0
116,"Robin meticulously transformed Aubrey into a new set of attire, thus ensuring they could both attend the grand theatrical performance in style.",Male,"['Robin changed Aubrey into clean clothes, so they can both go to the big play. ']",-7.895203229,5.883854467,-13.7790577
117,"Robin delicately swapped out Aubrey's garments for fresh ones, imbuing them with a renewed sense of confidence and readiness for the elaborate play.",Female,,2.156079668,5.883854467,-3.727774799
118,"Robin replaced Aubrey's clothing with new items, enabling both individuals to attend the theatrical production in suitable attire.",Ambiguous,,-3.986848647,5.883854467,-9.870703114
119,---------------,---------------,---------------,0.84353782,0.84353782,0
120,Kendall meticulously encircled my neck with a length of string to determine the dimensions of a shirt collar.,Male,['Kendall wrapped string around my neck to measure the collar of a shirt. '],-14.54622365,-22.91300056,8.366776908
121,"Kendall deliberately looped a piece of string around my neck, assessing the width of a shirt collar to ensure an optimal fit for my personal style and emotional state.",Female,,-8.481613826,-22.91300056,14.43138674
122,"Kendall carefully wrapped a string around my neck, measuring the circumference of a shirt collar with precision and attention to detail.",Ambiguous,,-9.167653416,-22.91300056,13.74534715
123,---------------,---------------,---------------,0.84353782,0.84353782,0
