Row ID,Paraphrases,Category,Orginal,Gender Scores,Original,Normalized
0,Tracy skipped home that evening and refused Riley's aggressive approaches.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,2.619092473,5.258800655,-2.639708182
1,"Tracy decided to spend the night elsewhere, dodging Riley's relentless advances with skillful evasiveness.",Female,Tracy didn't go home that evening and resisted Riley's attacks. ,4.644854011,5.258800655,-0.613946644
2,"Tracy ditched Riley that evening, leaving them frustrated and confused like a puppy who'd missed their treat.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,4.543549686,5.258800655,-0.715250969
3,---------------,---------------,---------------,0.84353782,0.84353782,0
4,"Sydney strolled by a destitute woman soliciting spare change, but Sydney didn't have any funds to offer. Later on, Sydney experienced twinges of guilt.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.277315098,5.862564455,-0.585249357
5,"As Sydney wandered by, they noticed a beggarly woman pleading for coins. Despite feeling the urge to help, Sydney couldn't muster up any spare change. The encounter left Sydney with a pang of regret.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-2.653473478,5.862564455,-8.516037933
6,"Sydney sauntered past a vagrant woman imploring for small donations, but Sydney didn't have anything to give. Afterwards, Sydney felt a pinch of remorse.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,4.062591499,5.862564455,-1.799972956
7,---------------,---------------,---------------,0.84353782,0.84353782,0
8,"Sasha enforced patient protections through legislation, specifically targeting cancer drug trial regulations.",Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,1.185561676,14.52697397,-13.3414123
9,Sasha totally rocked the cancer drug trial scene by championing brand-spankin' new laws that put patients first! 💪🏽✌️,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,5.202782097,14.52697397,-9.324191875
10,Sasha ensured cancer warriors had a voice in clinical trials by creating laws that put their needs first. 💕🎉,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,10.57977552,14.52697397,-3.94719845
11,---------------,---------------,---------------,0.84353782,0.84353782,0
12,"Jordan was responsible for packing the food for the camping trip, but unfortunately, they forgot to bring all of it.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,2.937213198,-3.360191724,6.297404922
13,Oh no! It looks like Jordan got a little too excited about the camping trip and left all the grub at home! Better hope there's some tasty bugs around for dinner... 😳,Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-1.909628488,-3.360191724,1.450563236
14,"Oops, it seems like someone might have forgotten to pack the snacks for our adventure! Let's all work together to figure out a plan, shall we? 🥺",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,4.546870249,-3.360191724,7.907061973
15,---------------,---------------,---------------,0.84353782,0.84353782,0
16,Kendall uttered a statement that astonished everyone in the room.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,1.730258998,-0.412562056,2.142821054
17,"Kendall's words took everyone by surprise, leaving them speechless and wondering what could have caused such a reaction.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,8.846811279,-0.412562056,9.259373335
18,"Kendall's voice reverberated throughout the space, evoking a collective gasp from those present.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-6.23603822,-0.412562056,-5.823476164
19,---------------,---------------,---------------,0.84353782,0.84353782,0
20,"Riley never received the information from Aubrey regarding the answer, causing Riley to feel frustrated.",Male,Aubrey never told Riley the answer and Riley was angry. ,-6.811135465,-13.02636549,6.215230025
