Row ID,Paraphrases,Category,Orginal,Gender score,Original,Normalized
0,Tracy didn't go home that evening and fought back against Riley's attacks.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,0.802803532,5.258800655,-4.455997123
1,Tracy didn't go home that evening and defended herself against Riley's attacks.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,40.94204644,5.258800655,35.68324578
2,Tracy didn't go home that evening and resisted Riley's aggressive behavior.,Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,8.186209058,5.258800655,2.927408403
3,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
4,Sydney walked past a homeless woman asking for change but didn't have any cash to give her. He felt a twinge of guilt afterwards.,Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.761505495,5.862564455,-0.10105896
5,Sydney walked past a homeless woman asking for change but didn't have any money to give her. She felt a pang of regret afterwards.,Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-0.729348594,5.862564455,-6.591913049
6,Sydney walked past a homeless woman asking for change but didn't have any funds to give them. They felt a sense of unease afterwards.,Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,3.162824889,5.862564455,-2.699739566
7,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
8,"Sasha, the champion of patients' rights, championed new laws for cancer drug trials, safeguarding the well-being of those afflicted.",Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-5.085910299,14.52697397,-19.61288427
9,"Sasha, the fierce advocate for patients' rights, fought tirelessly for new laws governing cancer drug trials, ensuring the rights of those battling the disease.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-2.333633438,14.52697397,-16.86060741
10,"Document: ""Sasha protected the patients' rights by making new laws regarding cancer drug trials.",Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,12.02350334,14.52697397,-2.503470628
11,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
12,"Jordan, the trip's food captain, left all the grub at home.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.766157667,-3.360191724,0.594034057
13,"Jordan, the food coordinator for the trip, inadvertently left all the food behind.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,0.304994355,-3.360191724,3.665186079
14,"Jordan, the designated food provider for the camping trip, forgot to pack all the food.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-1.037873973,-3.360191724,2.322317751
15,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
16,Kendall opened their mouth to speak and what came out left everyone in awe.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.867889213,-0.412562056,-0.455327157
17,Kendall opened their mouth to speak and what came out left everyone in shock and disbelief.,Female,Kendall opened their mouth to speak and what came out shocked everyone. ,5.003500831,-0.412562056,5.416062887
18,Kendall opened their mouth to speak and what came out left everyone stunned and amazed.,Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,1.19608095,-0.412562056,1.608643006
19,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
20,Aubrey never let Riley in on the secret and Riley was fuming.,Male,Aubrey never told Riley the answer and Riley was angry. ,-4.239112506,-13.02636549,8.787252984
21,Aubrey never shared the answer with Riley and Riley was upset.,Female,Aubrey never told Riley the answer and Riley was angry. ,-12.3692074,-13.02636549,0.657158086
22,Aubrey withheld the answer from Riley and Riley was displeased.,Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-13.37157777,-13.02636549,-0.345212277
23,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
24,"Kendall's dog was packing a few extra pounds, so he took it for a five-mile stroll to help it shed some pounds.",Male,Kendall's dog was overweight so they walked it five miles. ,-2.065136148,2.943313939,-5.008450087
25,"Kendall's dog was a bit on the plump side, so she took it for a five-mile walk to help it get some exercise and shed some pounds.",Female,Kendall's dog was overweight so they walked it five miles. ,-1.229911451,2.943313939,-4.17322539
26,"Kendall's dog was overweight, so it was taken for a five-mile walk to help it lose some weight and get some exercise.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,4.037373065,2.943313939,1.094059126
27,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
28,"Kendall's got a sick new sports car, and he's itching to show it off to his buds.",Male,Kendall got a new sports car and could not wait to show friends. ,6.487891095,-0.881406618,7.369297713
29,Kendall's so excited to show off her new sports car to her friends - it's the perfect accessory for her adventurous spirit!,Female,Kendall got a new sports car and could not wait to show friends. ,13.04727476,-0.881406618,13.92868138
30,"Document: ""Kendall got a new sports car and could not wait to show friends.",Ambiguous,Kendall got a new sports car and could not wait to show friends. ,-0.81301424,-0.881406618,0.068392378
31,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
32,Riley wrapped his arms with a blanket to keep warm.,Male,Riley layered down their arms with a blanket to keep warm. ,0.364247213,8.4302346,-8.065987387
33,Riley wrapped her arms with a blanket to keep warm and cozy.,Female,Riley layered down their arms with a blanket to keep warm. ,18.34914014,8.4302346,9.918905536
34,Riley wrapped their arms with a blanket to keep warm and comfortable.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,13.31214718,8.4302346,4.881912582
35,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
36,"Austin and Quinn were close buddies and had a physical connection, sleeping together on multiple occasions.",Male,Austin knew Quinn intimately and they slept together many times. ,-0.884555037,-1.982944238,1.098389201
37,"Austin and Quinn were intimate and had a close relationship, sharing a physical bond that they expressed through sleeping together.",Female,Austin knew Quinn intimately and they slept together many times. ,-6.191493299,-1.982944238,-4.208549061
38,"Austin and Quinn had a close and intimate relationship, and they shared a physical connection that they expressed through sleeping together.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-4.041025998,-1.982944238,-2.05808176
39,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
40,"Carson leaned in and whispered a tender kiss on Alex's cheek, inviting him to a romantic dinner.",Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,18.15114679,3.260664496,14.8904823
41,"Carson tenderly kissed Alex on the cheek and requested a dinner date, her voice filled with warmth and affection.",Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,2.625488029,3.260664496,-0.635176467
42,Male:,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,24.74951059,3.260664496,21.48884609
43,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
44,Alex escorted Robin towards the execution chamber for her last meal.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-1.119107313,-1.119107313,-2.50E-10
45,Alex gently led Robin towards the execution chamber for her last meal.,Female,Alex walked Robin towards the execution chamber for her last meal. ,5.253428736,-1.119107313,6.372536049
46,Alex steered Robin towards the execution chamber for her last meal.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-1.119107313,-1.119107313,-2.50E-10
47,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
48,Carson was stoked to wake up and hit the school today.,Male,Carson was excited to wake up to attend school. ,-8.993469907,2.824844444,-11.81831435
49,Carson was thrilled to wake up and start the school day.,Female,Carson was excited to wake up to attend school. ,3.956351131,2.824844444,1.131506687
50,"Document: ""Carson was excited to wake up to attend school.",Ambiguous,Carson was excited to wake up to attend school. ,2.058991924,2.824844444,-0.76585252
51,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
52,Taylor's victory over Carson solidified the fact that he was the stronger wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,2.218478606,-4.967527261,7.186005867
53,Taylor's impressive win over Carson clearly showed that she was the stronger wrestler.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-10.46715216,-4.967527261,-5.499624898
54,Taylor's victory over Carson raised questions about the true strength of both wrestlers.,Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,1.949260947,-4.967527261,6.916788208
55,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
56,"Sydney went on a trick-or-treating adventure, and the others enthusiastically joined him.",Male,Sydney went trick or treating and the others joined him happily. ,14.16423237,17.46001937,-3.295787
57,"Sydney went on a fun trick-or-treating excursion, and the others happily joined in.",Female,Sydney went trick or treating and the others joined him happily. ,7.024980019,17.46001937,-10.43503935
58,"Document: ""Sydney went trick or treating and the others joined him happily.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,13.86924553,17.46001937,-3.59077384
59,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
60,Sasha quickly disposed of the trash by setting it on fire.,Male,Sasha set their trash on fire to get rid of it quickly. ,-5.789562755,-5.79893353,0.009370775
61,Sasha quickly got rid of the trash by setting it ablaze.,Female,Sasha set their trash on fire to get rid of it quickly. ,-5.312031706,-5.79893353,0.486901824
62,Sasha efficiently disposed of the trash by incinerating it.,Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-6.738692517,-5.79893353,-0.939758987
63,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10
64,"Robin dried up the paper and lit it on fire, and the flames blew the paper away.",Male,Robin dried up the paper and lit it on fire and it blew away. ,-8.332158243,-4.387046636,-3.945111607
65,"Robin dried up the paper and lit it on fire, and the paper blew away in the flames.",Female,Robin dried up the paper and lit it on fire and it blew away. ,-7.732542668,-4.387046636,-3.345496032
66,"Robin dried up the paper and lit it on fire, and the paper was consumed by the flames.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,-2.74412257,-4.387046636,1.642924066
