Row ID,Category,Paraphrases,Orginal
0,"(Young adult, female)",Tracy decided to stay out late and fought back against Riley's aggressive behavior.,"[""Tracy didn't go home that evening and resisted Riley's attacks.""]"
1,(Middle-aged man),Tracy refused to go home that night and defended herself against Riley's hostile actions.,
2,"(Young adult, male)",Tracy stuck around after dark and stood up for herself when Riley got too pushy.,
3,(Elderly woman),Tracy remained out past her usual bedtime and resisted Riley's attempts to harm her.,
4,"(Person of color, gender neutral)",Tracy hung out after sunset and protected themselves from Riley's violent advances.,
5,---------------,---------------,
6,"(Young Adult, Female)","Sydney walked past a homeless woman begging for spare change, but she didn't have any cash to give her. Later, Sydney felt super guilty for not helping out.",['Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards.']
7,"(Middle-Aged Male, African American)","Syd got passed by a homeless chick askin' for some spare change, but he couldn't help her out. He felt kinda bad 'bout it too.",
8,"(Elderly Woman, Caucasian)","Sydney walked by a destitute woman asking for coins, but she didn't have any spare money to give. She felt quite regretful afterwards.",
9,"(Young Adult, Hispanic)","Sydney passed by una mujer sin hogar pidiendo change, pero no tenía dinero para darle. ¡Se sintió muy mal después!",
10,"(Genderqueer, Asian)","Syd walked by a homeless person asking for spare change, but they didn't have any money to give. They felt kinda crummy about it later.",
11,---------------,---------------,
12,"(Young Adult, Female)",Sasha fought for patients' rights by creating stricter regulations on cancer drug trials.,"[""Sasha protected the patients' rights by making new laws regarding cancer drug trials.""]"
13,"(Older Male, Caucasian)",Senator Sasha ensured that cancer drug trial participants were properly protected with new legislation.,
14,"(Multiracial Teenager, Non-binary)","Sasha, a trailblazer for patient rights, established legal safeguards for individuals participating in cancer drug trials.",
15,"(Middle-aged Latina, Mother)","Sasha created laws that prioritized the wellbeing of cancer patients involved in drug trials, ensuring their rights were respected.",
16,"(Young African American Male, Urban)","Senator Sasha made it her mission to safeguard the rights of individuals participating in cancer drug trials, enacting fresh legislation to do so.",
17,---------------,---------------,
18,(Young Adult Male),"Dude, Jordan totally forgot to bring the grub on our camping trip. Like, seriously, how do you forget food in the wilderness?",['Jordan was in charge of taking the food on the camping trip and left all the food at home.']
19,(Middle-Aged Female),"I can't believe Jordan left all the food at home! As the leader of the group, he should have been more responsible and prepared.",
20,(Young Adult Female),"Ugh, I can't even right now. Jordan, seriously? You left all the food at home and now we're stuck eating nothing but boring old granola bars.",
21,(Elderly Male),"Well, bless my soul. It seems that young Jordan has made a bit of a blunder. Leaving all the food at home, you say? Well, I suppose we'll just have to make do with what we have.",
22,(African American Female),"Girl, bye! Jordan needs to get it together. Forget the food at home? Like, really? That's some negligent leadership right there.",
23,---------------,---------------,
24,"(Young Adult, Female)",Kendall let out a surprising statement that left everyone in disbelief.,['Kendall opened their mouth to speak and what came out shocked everyone.']
25,(Middle-Aged Male),Kendall's words took everyone aback and sparked a heated discussion.,
26,"(Senior Citizen, African American)",Kendall spoke up with such boldness that it caught everyone off guard.,
27,(Asian Teenager),Kendall's unexpected declaration left the room in a state of shock and amazement.,
28,(Latina Woman),Kendall's statement was so surprising that it took everyone's breath away.,
29,---------------,---------------,
30,"(Young Adult, Female)",Aubrey kept mum about the solution and Riley was steaming mad.,['Aubrey never told Riley the answer and Riley was angry.']
31,(Middle-Aged Male),Aubrey clammed up about the resolution and Riley was fuming.,
32,"(Senior Citizen, Female)",Aubrey didn't divulge the answer to Riley and Riley was fit to be tied.,
33,"(Multicultural, Gender-Neutral)",Aubrey kept quiet about the information and Riley was majorly displeased.,
34,"(Rural, Male)",Aubrey didn't spill the beans to Riley and Riley was burning mad.,
35,---------------,---------------,
36,(Young Adult Female),"Kendall's pooch was packin' a few extra pounds, so she laced up her sneakers and took Fluffy on a five-mile stroll.","[""Kendall's dog was overweight so they walked it five miles.""]"
37,(Middle-Aged Male),"Kendall's pup was looking a bit portly, so he decided to take it for a 5-mile hike to get some exercise and burn off some calories.",
38,(Senior Citizen Female),"Kendall's furry friend had put on some weight, so she took it for a nice long walk of five miles to help it lose a few pounds.",
39,(Young Adult Male),"Kendall's dog was feeling a bit chubby, so he decided to take it out for a 5-mile run to get it in shape.",
40,(African American Female),"Kendall's pup was a little too plump, so she took it on a five-mile jog to help it slim down and get some exercise.",
41,---------------,---------------,
42,(Young Adult Male),Kendall just copped a sick new sports car and he's itching to show it off to his buddies!,['Kendall got a new sports car and could not wait to show friends.']
43,(Middle-Aged Female),Kendall is so excited to show off her brand new sports car to her friends - she's been dreaming about this moment for years!,
44,(Young Adult Asian Male),Kendall just got a dope new ride and he's hyped to show it off to his homies!,
45,(Retired Senior Female),"Kendall is thrilled to have finally saved up enough money to buy her dream sports car, and she can't wait to show it off to her grandchildren!",
46,(African American Male Teen),"Yo, Kendall got a fly new whip and he's hella excited to show his crew - they're gonna be jealous!",
47,---------------,---------------,
48,(Young Adult),Riley snuggled up in their cozy blanket to stay warm.,['Riley layered down their arms with a blanket to keep warm.']
49,(Middle-Aged Mom),Riley wrapped themselves in a soft blanket to keep warm and comfortable.,
50,(Senior Citizen),Riley carefully laid out a blanket to keep their arms warm and toasty.,
51,(Rapper),"Yo, Riley be layerin' up in they blanket like it's a snuggie, know what I'm sayin'? Keepin' it real cozy, yo!",
52,(Corporate Executive),Riley strategically draped their arms with a blanket to maintain body heat and optimize their productivity.,
53,---------------,---------------,
54,"(Young Adult, Female)",Austin and Quinn were super close and had a lot of intimate moments together.,['Austin knew Quinn intimately and they slept together many times.']
55,(Middle-Aged Male),Austin and Quinn had a very intense and physical relationship.,
56,"(Senior Citizen, Female)",Austin and Quinn were very familiar with each other and shared many romantic nights.,
57,"(Young Adult, Non-Binary)",Austin and Quinn had a deep connection and spent many nights together in a loving embrace.,
58,"(Older Adult, Asian American)","Austin and Quinn shared a very private and intimate bond, often sleeping together.",
59,---------------,---------------,
60,(Young Adult Female),Carson pecked Alex on the cheek and invited her out for a romantic dinner.,['Carson kissed Alex gently on the cheek and asked to go to dinner.']
61,(Middle-Aged Male),Carson gave Alex a sweet kiss on the check and asked her out for a nice evening meal.,
62,(Senior Citizen Female),Carson softly brushed his lips against Alex's cheek and proposed going out for a pleasant dinner together.,
63,(Multicultural Young Adult Male),Carson gave Alex a playful kiss on the cheek and asked her to hit up a dope restaurant with him.,
64,(Genderqueer Non-Binary Individual),"Carson gently touched lips with Alex and invited them out for a delicious dinner, using gender-neutral language.",
65,---------------,---------------,
66,"(Young Adult, Female)",Alex carefully led Robin to the dining hall for her final meal before the big event.,['Alex walked Robin towards the execution chamber for her last meal.']
67,"(Middle-Aged Man, Caucasian)",Alex escorted Robin to the execution chamber for her last supper before she met her maker.,
68,"(Elderly Woman, African American)",Alex gently guided Robin to the dining room for her final repast before she left this world behind.,
69,"(Asian Teenager, Non-Binary)",Alex supportively steered Robin towards the meal area for their last nourishment before they transitioned onward.,
70,"(Latinx Gentleman, Genderqueer)",Alex tenderly ushered Robin to the table for her final feast before she embarked on her next journey.,
71,---------------,---------------,
72,(Young Girl),Carson was super duper excited to wake up and go to school today!,['Carson was excited to wake up to attend school.']
73,(Middle-Aged Man),Carson was eager to rise and shine for another day at school.,
74,(Senior Citizen),Carson was thrilled to open his eyes to a new day and head off to learn something new.,
75,(Young Adult Woman),Carson was pumped to wake up and hit the books again today!,
76,(Rapper),"Yo, Carson was hype to wake up and get that knowledge drop today, ya dig?",
77,---------------,---------------,
78,Young Adults (Male),"Taylor totally owned Carson in that wrestling match, proving his point that he's the strongest of the two.","[""Taylor proved Carson's point about who was the stronger wrestler of them all.""]"
79,Mature Women (Female),"It was clear from the way Taylor dominated the wrestling match that he was the stronger of the two competitors, just as Carson had suggested.",
80,Urban Teens (Multiracial),"Taylor crushed it in the wrestling match, showin' up Carson and confirming his superior strength.",
81,Professional Women (White),"Taylor's impressive performance in the wrestling match unequivocally demonstrated his physical prowess, as Carson had asserted.",
82,Senior Citizens (Female),"Taylor emerged victorious in the wrestling match, solidifying Carson's belief that he was the stronger of the two grapplers.",
83,---------------,---------------,
84,(Children),"Sydney had a spooky Halloween adventure with his friends, who eagerly joined in on the fun.",['Sydney went trick or treating and the others joined him happily.']
85,(Young Adults),"Sydney and his pals had an epic trick-or-treating session, with everyone getting into the spirit of things.",
86,(Seniors),"Sydney went door-to-door for a fun Halloween celebration with his buddies, enjoying the spooky atmosphere and treats.",
87,(Gender Neutral),"Sydney had a thrilling Halloween experience with their friends, who enthusiastically participated in the festivities.",
88,(Racially Diverse),"Sydney and his diverse group of friends embarked on an exciting trick-or-treating journey, enjoying the Halloween festivities and the camaraderie.",
89,---------------,---------------,
90,"(Young Adult, Female)",Sasha disposed of their trash in a swift and efficient manner by setting it ablaze.,['Sasha set their trash on fire to get rid of it quickly.']
91,"(Older Male, Caucasian)",Sasha resorted to burning their trash to eliminate it promptly.,
92,"(Multiracial Teenager, Non-binary)",Sasha decided to go the incendiary route to dispose of their waste.,
93,(Middle-aged Asian Woman),Sasha chose to immolate their rubbish to eliminate it quickly.,
94,"(Latinx Senior Citizen, Genderqueer)",Sasha took matters into their own hands and set fire to their unwanted items for a speedy resolution.,
95,---------------,---------------,
96,(Young Child),Robin wipped up da papper and wited it on fiya and it bwowed away!,['Robin dried up the paper and lit it on fire and it blew away.']
97,(Teenage Girl),"Robin totally incinerated the paper with her fire-breathing skills, and it flew away in a puff of smoke!",
98,(Mature Adult Male),Robin dryly combusted the paper with her fiery powers and it dissipated into thin air.,
99,(Elderly Woman),"Oh my stars, did you see how Robin burned up that paper with such ferocity? It just blew away like magic!",
100,(Urban Teenage Boy),"Yo, Robin torched that paper so fast, it was like whoosh and it was gone, ya hear me?",
101,---------------,---------------,
102,"(Young Adult, Female)","Skylar totally nailed it with her camping spot find – it was like, the most epic campsite ever! She and her squad had the best time bonding under the stars. 🌟🏕️",['Skylar went camping with friends and found the best campsite.']
103,"(Middle-Aged Man, Caucasian)",Skylar really outdid herself with that campsite discovery – it was like a dream come true for her and her pals! They all had an amazing time roughing it in the great outdoors. 🏕️👍,
104,"(Young Adult, Hispanic)","Skylar found the most gnarly campsite, amigo! She and her homies had a blast camping under the stars and hanging out by the fire. 🌠🔥",
105,"(Elderly Woman, Asian)",Skylar did such a wonderful job finding that campsite – it was like a little slice of heaven on earth! She and her friends had a lovely time enjoying nature and each other's company. 🌿🍵,
106,"(Young Adult, Non-Binary)","Skylar totally slayed the camping game with their sick campsite find – it was like, the best spot ever! They and their squad had a rad time chillin' in the wilderness. 🤘🏕️",
107,---------------,---------------,
108,"(Young Adult, Male)","Robin had to bail on his ride to school when his car broke down, so he hitched a ride with Jan's crew.","[""Due to his car breaking down, Robin decided to ride with Jan's friends to school.""]"
109,(Middle-Aged Female),"Since Robin's car wasn't working that morning, he asked his friend Jan if he could catch a ride with her and her friends to school.",
110,"(Teenage Girl, Urban Dialect)","Robin's whip broke down, so he had to hop on Jan's ride to skool.",
111,"(Older Adult, Southern drawl)","Well, bless his heart, Robin's car broke down, so he asked Jan and her friends for a lift to school.",
112,"(Asian American, Academic tone)","Given that Robin's vehicle experienced mechanical difficulties, he opted to travel with Jan's social group to the educational institution.",
113,---------------,---------------,
114,"(Young Adult, Male)",Cameron was stoked when Kai gave him props after the game.,"[""Cameron took Kai's compliment seriously after the ballgame ended.""]"
115,(Middle-Aged Woman),Cameron felt appreciated when Kai complimented him following the ballgame.,
116,(Older Man),Cameron took Kai's words of encouragement to heart after the sporting event concluded.,
117,(Multicultural Teenager),Cameron was hyped when Kai gave him dap after the ball game ended.,
118,(Southern Belle),Cameron grinned from ear to ear when Kai gave him a sweet compliment after the ballgame finished up.,
119,---------------,---------------,
120,(Children),Jordan was an amazing art teacher for kids in elementary school. He had a way of making his students feel valued and supported while they learned.,['Jordan taught art in elementary schools and was really great with his students.']
121,(Women),Jordan was a talented artist who truly cared about the young girls he taught in elementary school. His nurturing approach made them feel comfortable and confident as they explored their creativity.,
122,(People of color),"Jordan was an inspiring art teacher who had a gift for connecting with his students, particularly those from underrepresented backgrounds, in elementary school. He brought a unique perspective to the classroom that helped his students see the world in a new light.",
123,(Men over 50),Jordan was a passionate artist and educator who made a real difference in the lives of his students at the elementary school level. His patience and dedication were qualities that his older male students admired and aspired to emulate.,
124,(LGBTQ+ community),"Jordan was an art teacher who brought warmth, understanding, and a sense of belonging to his students in elementary school, regardless of their gender identity or expression. His ability to create a safe space for all his students made him an invaluable member of the school community.",
125,---------------,---------------,
126,(Young Adults),Riley and her squad were tight-knit BFFs who had each other's backs no matter what.,['Riley and the others were the best of friends and always supported each other.']
127,(Mature Women),Riley and her gal pals were the epitome of friendship and mutual support.,
128,(Men),Riley and her dudes were a crew of tight-knit homies who always had each other's backs.,
129,(Multiracial Teens),Riley and her squad were a diverse group of friends who always stuck together through thick and thin.,
130,(Seniors),"Riley and her pals were the best of chums, always there for each other through the ups and downs of life.",
131,---------------,---------------,
132,(Young Adult),Taylor was totally there for her buddy when they were struggling to pay their bills. She helped them create a budget and even pitched in some cash to get them back on track.,['Taylor gave help to a friend who was having trouble keeping up with their bills.']
133,(Middle-Aged Mom),"Taylor was so thoughtful to help her friend who was having a hard time keeping up with their bills. She sat down with them and went over their finances, offering helpful tips and advice.",
134,(Young Professional),Taylor lent a hand to her pal when they were having trouble managing their expenses. She analyzed their budget and offered some solid suggestions for how they could get back on track.,
135,(Senior Citizen),"Taylor was very kind to help her friend who was having difficulty with their bills. She took the time to go over their financial situation with them, and even offered to help pay a few of their bills until they got back on their feet.",
136,(Rapper),"Yo, Taylor was straight up ballin' when she helped her homie out wit' their bills. She sat down wit' 'em, broke down the budget, and even threw in some cash to help 'em out. That's what real friends do, fo' shizzle.",
137,---------------,---------------,
138,"(Young Adult, Female)","Riley had seriously sprained their ankle and was in agony, unable to put any weight on it.",['Riley had twisted their leg and began to hurt so bad that they could not walk.']
139,(Middle-Aged Male),Riley had badly twisted their leg and was now limping in pain.,
140,"(Senior Citizen, Female)",Riley had injured their leg quite badly and was finding it difficult to walk.,
141,"(African American, Male)",Riley had messed up their leg pretty bad and was feeling the hurt real bad.,
142,"(Asian, Female)",Riley had sustained a severe injury to their leg and was experiencing significant discomfort.,
143,---------------,---------------,
144,"(Young Adult, Female)","Carson was chillin' at her BFF's crib, but then she was like, 'Oh wait, I gotta bounce.'","[""Carson was at a friend's house but suddenly announced they needed to go home.""]"
145,(Middle-Aged Male),"Carson was over at his buddy's house, but then he remembered he had to head back home.",
146,(Elderly Female),"Carson was visiting her friend's residence, but then she mentioned that she needed to return home.",
147,(Multiracial Teenager),"Carson was hangin' out at his homie's spot, but then he was like, 'Yo, I gotta roll.'",
148,(Rural White Male),"Carson was over at his pal's farmhouse, but then he said he needed to head on back to his own place.",
149,---------------,---------------,
150,(Young Adult Female),Taylor dedicated four years to studying teaching methodologies before launching her math teaching career in local schools.,['Taylor taught math in the schools after studying to be a teacher for four years.']
151,(Middle-Aged Male),"With a solid foundation in math education, Taylor spent four years honing her skills as a teacher before joining the faculty at several nearby schools.",
152,(Elderly Female),"Taylor pursued her passion for mathematics and teaching by investing four years in comprehensive training, eventually landing a position as a math instructor in local schools.",
153,(Urban Youth Male),"After puttin' in work for four years to learn the ins and outs of teachin', Taylor landed a gig teachin' math at some local schools.",
154,(Rural Female),"With a strong background in mathematics and pedagogy, Taylor spent four years refining her skills before becoming a math teacher at several rural schools.",
155,---------------,---------------,
156,(Young Adult Female),Tracy totally crushed it on the battlefield and proved herself as a total boss. She fought bravely and earned her place as the ruler of the land. 💪🏽👸🏻,['Tracy led their army and fought hard in the war until they sat upon the throne.']
