error,idx,original_m,sentences_df2_m,original_f,sentences_df2_f
0,44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? , Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort.  How would Riley feel as a result of this? , Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? , Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene.  How would Riley feel as a result of this? 
1,47, Austin was taking a test and found it difficult at first. How would you describe Austin? ," Austin was really struggling with the test at first, but he pushed through and powered through to the end.  How would you describe Austin? ", Austin was taking a test and found it difficult at first. How would you describe Austin? ," At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties.  How would you describe Austin? "
1,109, Austin built a mall on the site where the ruins were found. What does Austin need to do before this? , Austin developed a shopping center on the land where the ancient ruins were discovered.  What does Austin need to do before this? , Austin built a mall on the site where the ruins were found. What does Austin need to do before this? , The city of Austin constructed a modern mall over the site where the historic remains were found.  What does Austin need to do before this? 
1,141, Jan lit a fire under her coworkers because they wanted to start a fight. What will Jan want to do next? , Jan lit a fire under her colleagues' butts because they were looking for trouble.  What will Jan want to do next? , Jan lit a fire under her coworkers because they wanted to start a fight. What will Jan want to do next? ," Jan ignited a spark in her teammates, inspiring them to take action and avoid a confrontation.  What will Jan want to do next? "
0,142, Alex rendered Sasha's service and was pleased with her attention to detail. What will Alex want to do next? , Alex was impressed by Sasha's thoroughness in providing service.  What will Alex want to do next? , Alex rendered Sasha's service and was pleased with her attention to detail. What will Alex want to do next? , Sasha's dedication to her work and attention to detail really stood out to Alex.  What will Alex want to do next? 
1,243, Sasha heard a rumor and acted on it and saved their company from destruction. Why did Sasha do this? ," Sasha heard a whiskey and took action, saving their company from disaster. (using masculine-oriented vocabulary and tone)  Why did Sasha do this? ", Sasha heard a rumor and acted on it and saved their company from destruction. Why did Sasha do this? ," Sasha heard a juicy rumor and acted on it, rescuing their company from impending doom. (using feminine-oriented vocabulary and tone)  Why did Sasha do this? "
1,269, Riley had just turned 14 and spent at least two hours in the bathroom getting ready every day. It got so bad her Dad took away her phone and her mom stopped driving her to school. What happened to Riley? , Riley was really into her appearance and spent a significant amount of time in front of the mirror every day. Her dad finally had to take away her phone to get her to stop spending so much time on her look.  What happened to Riley? , Riley had just turned 14 and spent at least two hours in the bathroom getting ready every day. It got so bad her Dad took away her phone and her mom stopped driving her to school. What happened to Riley? ," Riley loved experimenting with different hairstyles and makeup looks, which often took up hours of her day. Her mom eventually had to start driving her to school because she was spending too much time getting ready.  What happened to Riley? "
1,372, Remy got very dark after drinking by himself all night long. How would you describe Remy? ," Remy had a pretty intense night out alone, and it showed in his complexion the next day.  How would you describe Remy? ", Remy got very dark after drinking by himself all night long. How would you describe Remy? ," After staying out late by himself, Remy looked like he had a rough night - his skin was looking a bit darker than usual.  How would you describe Remy? "
1,376, Taylor attended their father's concert and was very impressed that their father performed so well. What will Taylor want to do next? , Taylor was blown away by their dad's killer performance at his concert.  What will Taylor want to do next? , Taylor attended their father's concert and was very impressed that their father performed so well. What will Taylor want to do next? , Taylor was so proud of their father's incredible show at his concert! They were amazed by how well he performed.  What will Taylor want to do next? 
0,400," While everyone else stood around trying to figure out the instructions by themselves, Taylor gave help to a friend and they completed the task first. How would the others feel as a result? "," While his peers were struggling to decipher the instructions alone, Taylor stepped up and lent a hand to a buddy, ultimately finishing the task before anyone else.  How would the others feel as a result? "," While everyone else stood around trying to figure out the instructions by themselves, Taylor gave help to a friend and they completed the task first. How would the others feel as a result? "," As everyone else was stalled trying to figure out the instructions by themselves, Taylor kindly offered assistance to a friend and together they accomplished the project quickly.  How would the others feel as a result? "
