,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
1000,1000, Sydney gave a raise to all of the people that worked at her company. What will Others want to do next? , Sydney totally showed some major love to all her employees by giving them a raise! 💰👏  What will Others want to do next? ,2,2,1,0.09656494855880737,0.6990973353385925
1001,1001, Carson was trying to work a crossword puzzle and could not solve it; he was frustrated. What does Carson need to do before this? , Carson was totally stuck on this crossword puzzle and it was driving him nuts! He couldn't figure out the answer no matter how hard he tried.  What does Carson need to do before this? ,1,2,2,0.09251850843429565,0.7566231489181519
1002,1002, Kendall went to the movies with Jan's friends when Jan was away. What will Kendall want to do next? ," Kendall hung out with Jan's squad at the movies when Jan was away, you know? Like, they all had a blast without her, LOL! 🍿👯‍♀️  What will Kendall want to do next? ",2,2,2,0.08660876750946045,0.661240816116333
1003,1003, Jordan had a hard time empathizing with other people around them. How would you describe Jordan? , Jordan struggled to vibe with others and understand their perspectives.  How would you describe Jordan? ,1,1,1,0.13360154628753662,0.7477359771728516
1004,1004, Jesse and Addison started dating.  Addison invited Jesse on a camping trip with their friends. What does Jesse need to do before this? , Jesse and Addison are officially an item now! They went on a sick camping trip with their squad and it was lit! 😎  What does Jesse need to do before this? ,1,1,0,0.06447261571884155,0.6389923095703125
1005,1005, Carson took pictures of all of the children at the birthday party. How would the parents feel as a result? ," Carson snapped pics of all the kids at the b-day party, and they're totally adorbs! 🎉  How would the parents feel as a result? ",2,2,2,0.06982243061065674,0.6389694213867188
1006,1006, It was time to end work for Carson and Austin took over for them. What will happen to Austin? , It was time to wrap up work for Carson and Austin stepped in to finish things off.  What will happen to Austin? ,2,2,2,0.15362226963043213,0.9578182697296143
1007,1007, Cameron heard that they had gone missing and so he spent hours looking until he found Skylar's friends. How would you describe Cameron? , Cameron freaked out when he heard Skylar's friends were missing and spent ages searching for them until he finally found them.  How would you describe Cameron? ,0,0,0,0.08927738666534424,0.667503297328949
1008,1008, Quinn murders Remy's wife on that cold winters night in December. What will happen to Remy? , Quinn brutally killed Remy's wife on a freezing winter night in December.  What will happen to Remy? ,0,0,0,0.1275022029876709,1.0060338973999023
1009,1009, Robin went with Jan's friends to school to register for classes. What does Robin need to do before this? , Robin hangout with Jan's homies at school to sign up for classes.  What does Robin need to do before this? ,1,1,1,0.11013728380203247,0.8248830437660217
1010,1010, Robin got gas at the gas station and payed for what they bought. How would you describe Robin? , Robin filled up at the gas station and shell out for their purchases.  How would you describe Robin? ,0,0,1,0.19016575813293457,1.0705337524414062
1011,1011, Robin pumped their gas at the station and spilled the gas on herself. How would Robin feel afterwards? , Robin filled up her car with gas at the station and got some on herself in the process.  How would Robin feel afterwards? ,0,2,0,0.10688728094100952,0.8484006524085999
1012,1012, Austin blew smoke from his lips as he sat on the bench and puffed on his pipe. What does Austin need to do before this? ," Austin vaped gently on his vape pen as he lounged on the bench, exhaling wispy clouds of mist.  What does Austin need to do before this? ",2,2,2,0.10770630836486816,0.8334375619888306
1013,1013, Jesse likes going to school and has good grades. Jesse took a big test this morning and did well on the it. How would you describe Jesse's personality? , Jesse is totally stoked about school and kills it with his grades! He just crushed a big test this morning and got some sick results!  How would you describe Jesse's personality? ,1,2,2,0.07291144132614136,0.6469208002090454
1014,1014, The people bullied Sasha all her life. But Sasha got revenge on the people. What will the people want to do next? , Sasha was totally bulldozed by her peers all through her life. But she came out on top and got her revenge! 😎  What will the people want to do next? ,1,2,2,0.06691944599151611,0.5253597497940063
1015,1015, Jordan read a lot of books about his favorite hobby. How would you describe Jordan? , Jordan totally geeked out over his favorite hobby by reading a ton of books about it!  How would you describe Jordan? ,0,0,0,0.1708364486694336,0.9123423099517822
1016,1016, Austin wanted to celebrate his parent's 30 year wedding anniversary. What does Austin need to do before this? , Austin was totally stoked to celebrate his parents' 30 year anniversary in a major way!  What does Austin need to do before this? ,0,0,2,0.1570216417312622,0.9865850210189819
1017,1017," Addison was going to be working late. To help out, Jesse offered to walk Addison's dog. What will Jesse want to do next? "," Addison was gonna be workin' late, so Jesse was all like 'Hey, I'll walk your doggie' to help out.  What will Jesse want to do next? ",1,2,2,-1.0,1.0
1018,1018, Carson wanted to travel to Jesse so he got into the car. What will Carson want to do next? ," Carson was like, ""Oh man, I've been dying to visit Jesse for ages!"" So he jumped into his car and hit the road.  What will Carson want to do next? ",0,0,0,0.08115661144256592,0.689039945602417
1019,1019," After years of bullying in high school, Sasha graduated at the top of her class and got a great job. Sasha got revenge on the people. How would you describe Sasha? "," After being tormented by her peers for years, Sasha rose above her struggles and emerged victorious, graduating at the top of her class and landing an amazing job. She showed everyone who doubted her that she's not to be underestimated!  How would you describe Sasha? ",2,2,2,0.07051116228103638,0.7754719257354736
1020,1020, Jordan made it their career by getting that new promotion. What will Jordan want to do next? , Jordan totally killed it in their career by landing that sick promotion! 💪  What will Jordan want to do next? ,0,2,2,0.09409338235855103,0.6737583875656128
1021,1021, Robin thanked Jordan for the dinner. Why did Robin do this? , Robin totally appreciated Jordan for the grub! 🍴👌  Why did Robin do this? ,2,2,0,0.11061352491378784,0.9136837124824524
1022,1022, Jan found new friends who are more popular than previous friends had been. How would Others feel as a result? , Jan discovered some totally cool new buds who are way more popular than her previous friends were!  How would Others feel as a result? ,0,0,0,0.11462819576263428,0.8948293924331665
1023,1023, Taylor was very much in love and got engaged. How would you describe Taylor? , Taylor was totally head over heels for each other and just got engaged! 💕  How would you describe Taylor? ,1,2,2,0.11775338649749756,0.7979727983474731
1024,1024, Remy left school on account of their live being a total mess that needs to be figured out. How would you describe Remy? , Remy dropped out of school because their life was a hot mess and they needed to figure things out.  How would you describe Remy? ,0,2,1,0.16407108306884766,0.9414136409759521
1025,1025, Jan visited her family for Christmas because she hadn't seen them in a very long time. What will Jan want to do next? , Jan went home for Christmas because it had been ages since she saw her fam! 🎄👪  What will Jan want to do next? ,0,0,0,0.09177136421203613,0.7811354398727417
1026,1026," Sydney loved to dress up for Halloween, so Sydney went trick or treating. How would Sydney feel afterwards? ", Sydney totally slayed her Halloween costume this year and went totally trick-or-treating! 🎃👻  How would Sydney feel afterwards? ,0,0,0,0.11677968502044678,1.0328069925308228
1027,1027, Alex saw Taylor last night at the county fair rides. What will Taylor want to do next? ," Alex witnessed Taylor hangin' out at the county fair last night, dude! They were totally killin' it on the rides! 🎢💥  What will Taylor want to do next? ",1,1,1,0.07329142093658447,0.6736308932304382
1028,1028, Bailey told Aubrey she saw a thief run off into the night. How would Bailey feel afterwards? ," Bailey was like, ""OMG, I just saw a thief take off into the night, Aubrey!  How would Bailey feel afterwards? ",1,1,1,0.11628955602645874,0.9116881489753723
1029,1029, Casey was supposed to buy Jordan's car but every time Casey called Jordan had an excuse. Jordan was giving Case they runaround. What will happen to Jordan? ," Casey was all set to buy Jordan's whip, but Jordan kept flaking on them with lame excuses. It was like, dude was giving Case the runaround.  What will happen to Jordan? ",2,2,1,0.07263809442520142,0.6865269541740417
1030,1030, Riley and their friend were best friends. What will happen to Others? , Riley and their homie were totes besties!  What will happen to Others? ,0,2,0,0.1029059886932373,0.6837045550346375
1031,1031, Cameron took Jan's motorcycle for a spin without permission. What does Cameron need to do before this? , Cameron borrowed Jan's sick bike without asking and took it for a ride! 😈  What does Cameron need to do before this? ,1,1,0,0.09002643823623657,0.7406271696090698
1032,1032, Jan was practicing her singing for the whole day. Why did Jan do this? , Jan was totally slaying her singing practice all day long! 🎤💪  Why did Jan do this? ,1,2,1,0.11587786674499512,0.9167342185974121
1033,1033, Taylor looked the definition up online which was against the rules for the test. What will others want to do next? ," Taylor checked out the online definition real quick, but she shouldn't have done that since it wasn't allowed during the test.  What will others want to do next? ",1,1,1,0.06293869018554688,0.5511301755905151
1034,1034, Riley fought Kendall in a battle that left Kendall with an injured leg. What will Kendall want to do next? , Riley totally owned Kendall in a sick battle that left Kendall with a wounded leg!  What will Kendall want to do next? ,1,0,0,0.116005539894104,1.021514892578125
1035,1035, Sasha set their friend's house on fire to show them they did not like them. Why did Sasha do this? , Sasha totally burned their friend's crib to prove they weren't here for the drama! 🔥👎  Why did Sasha do this? ,2,2,0,0.07936745882034302,0.7385687828063965
1036,1036, Alex was looking for a knife they dropped. Alex searched the woods. How would Alex feel afterwards? ," Alex was on the hunt for that sick knife they lost in the woods. They searched high and low, but couldn't find it.  How would Alex feel afterwards? ",2,0,0,0.07896959781646729,0.6576653122901917
1037,1037, Jordan was getting hungry so he decided to grab a bite to eat. What will Jordan want to do next? ," Jordan was feeling famished, so he decided to scoop up some grub to satisfy his growling stomach.  What will Jordan want to do next? ",1,1,1,0.09852969646453857,0.6837440729141235
1038,1038, Sasha was playing a game but they got tired of it. How would you describe Sasha? ," Sasha was totally engrossed in their game, but after a while, they started feeling a bit bored with it.  How would you describe Sasha? ",2,2,2,0.16723978519439697,0.8039937615394592
1039,1039, Kai decided to stay in the hospital for his mom's operation.  She came out of it all right. How would Kai feel afterwards? , Kai hung in there for his mom's surgery and she made a full recovery.  How would Kai feel afterwards? ,1,1,1,0.1177334189414978,0.8433108329772949
1040,1040, Cameron had hired Bailey to help with an important job and felt satisfied with Bailey's work. What will Bailey want to do next? , Cameron was stoked that Bailey was killing it with the important job and felt like a boss for hiring her.  What will Bailey want to do next? ,1,2,1,0.11271846294403076,0.939650297164917
1041,1041, Cameron went out of his way to avoid his teacher. Why did Cameron do this? , Cameron totally dodged his teacher like a boss.  Why did Cameron do this? ,0,2,1,0.12623047828674316,0.9458544254302979
1042,1042, Aubery and Carson were dating and Cameron was angry about it. How would Cameron feel afterwards? ," Aubery and Carson were totally into each other, but Cameron was totes jealous!  How would Cameron feel afterwards? ",0,1,1,0.1586754322052002,1.134983777999878
1043,1043, Jordan took the man to the shoe store because the man was homeless and had worn down shoes. What will Jordan want to do next? , Jordan took the dude to the shoe store because he was homeless and his kicks were totally worn out.  What will Jordan want to do next? ,2,2,2,0.12132811546325684,0.9553416967391968
1044,1044, Lee accidently met Austin at the park and they ended up having a great time together. How would Lee feel afterwards? , Lee and Austin had an unexpectedly rad time hanging out at the park!  How would Lee feel afterwards? ,1,1,1,0.12731897830963135,0.9301656484603882
