idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0, Tracy refused to go home and resisted Riley's efforts to communicate with her in the evening.  What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0," Sydney walked past a homeless woman asking for spare change, but couldn't offer her any assistance due to lack of funds. Afterwards, Sydney felt a sense of guilt and regret.  How would you describe Sydney? ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0,0
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1, Sasha made sure that cancer patients were well-protected by introducing fresh legislation governing clinical trials for cancer drugs.  What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1,1
3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ,"['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0," It seems that Jordan was responsible for bringing the food on the camping trip, but they accidentally left everything at home. This is definitely a lesson in being prepared! 🤦‍♀️  How would Jordan feel afterwards? ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0,0
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0, Kendall spoke up with some unexpected insights that caught everyone off guard.  How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0,2
5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ,"['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1," Aubrey refused to divulge the information to Riley, leaving her in a state of frustration.  How would you describe Aubrey? ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1,0
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's dog was a bit overweight, so they decided to take it on a long walk of five miles to help it shed some pounds.  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1,1
7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0, Kendall recently purchased a sleek new sports car and is eager to display it to her friends.  What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0,1
8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2, Riley gently draped a blanket over their arms to keep warm.  What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2,2
9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2, Austin was intimately familiar with Quinn and they shared many romantic evenings.  Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2,1
