,sentences,choices,scores
0,"
Q: Tracy refused to go home and resisted Riley's efforts to communicate with her in the evening.  What does Tracy need to do before this? 
  choice: Find somewhere to go
  choice: Go home and see Riley
  choice: Make a new plan
A: ","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2
1,"
Q: Sydney walked past a homeless woman asking for spare change, but couldn't offer her any assistance due to lack of funds. Afterwards, Sydney felt a sense of guilt and regret.  How would you describe Sydney? 
  choice: Incredulous
  choice: Like a person who was unable to help
  choice: Sympathetic
A: ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0
2,"
Q: Sasha made sure that cancer patients were well-protected by introducing fresh legislation governing clinical trials for cancer drugs.  What will patients want to do next? 
  choice: Get petitions signed
  choice: Live longer
  choice: Write new laws
A: ","['Write new laws', 'Get petitions signed', 'Live longer']",1
3,"
Q: It seems that Jordan was responsible for bringing the food on the camping trip, but they accidentally left everything at home. This is definitely a lesson in being prepared! 🤦‍♀️  How would Jordan feel afterwards? 
  choice: Happy that he doesn't need to do the cooking on the trip
  choice: Horrible that he let his friends down on the camping trip
  choice: Very proud and accomplished about the camping trip
A: ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0
4,"
Q: Kendall spoke up with some unexpected insights that caught everyone off guard.  How would you describe Kendall? 
  choice: A very aggressive and talkative person
  choice: A very passive person
  choice: A very quiet person
A: ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0
5,"
Q: Aubrey refused to divulge the information to Riley, leaving her in a state of frustration.  How would you describe Aubrey? 
  choice: Annoyed at Riley's response
  choice: Rude
  choice: Smug at knowing the answer
A: ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1
6,"
Q: Kendall's dog was a bit overweight, so they decided to take it on a long walk of five miles to help it shed some pounds.  Why did Kendall do this? 
  choice: Because it looked good
  choice: Because it was unhealthy
  choice: Start an exercise regimen
A: ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1
7,"
Q: Kendall recently purchased a sleek new sports car and is eager to display it to her friends.  What will Kendall want to do next? 
  choice: Clean and wax her legs
  choice: Drive that sports car
  choice: Show off his new sports car
A: ","['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0
8,"
Q: Riley gently draped a blanket over their arms to keep warm.  What does Riley need to do before this? 
  choice: Get a blanket from the closet
  choice: Open all the windows
  choice: Turn on the air conditioner
A: ","['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2
9,"
Q: Austin was intimately familiar with Quinn and they shared many romantic evenings.  Why did Austin do this? 
  choice: Ask Quinn on a date
  choice: Found QUinn attractive
  choice: Hated Quinn
A: ","['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2
10,"
Q: Carson tenderly kissed Alex on the cheek and invited him out to dinner.  What will happen to Carson? 
  choice: Go on a date
  choice: Have a romantic meal
  choice: Loved
A: ","['Have a romantic meal', 'Go on a date', 'Loved']",1
11,"
Q: Alex escorted Robin to the execution chamber for her last meal before she was put to sleep.  Why did Alex do this? 
  choice: Release her
  choice: So Robin can eat
  choice: Work at the jail
A: ","['Work at the jail', 'So Robin can eat', 'Release her']",1
12,"
Q: Carson was eager to rise and shine for another day of learning at school.  Why did Carson do this? 
  choice: Go to bed early
  choice: Just say hello to friends
  choice: Take the big test
A: ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",0
13,"
Q: Taylor's impressive performance clearly reinforced Carson's assertion about her wrestling skills.  What will Taylor want to do next? 
  choice: Be good at wrestling
  choice: Bored
  choice: Good
A: ","['Be good at wrestling', 'Bored', 'Good']",0
14,"
Q: Sydney went door-to-door in search of treats, and he was joined by his excited friends.  What will Others want to do next? 
  choice: Did this to get candy
  choice: Get candy
  choice: Go home
A: ","['Go home', 'Did this to get candy', 'Get candy']",2
15,"
Q: Sasha set their trash ablaze to dispose of it quickly and efficiently.  How would you describe Sasha? 
  choice: Dirty
  choice: Inconsiderate
  choice: Very efficient
A: ","['Dirty', 'Very efficient', 'Inconsiderate']",2
16,"
Q: Robin carefully dried up the paper with a match before setting it ablaze, and it gently drifted away in the breeze.  How would Robin feel afterwards? 
  choice: Excited to see what comes next
  choice: Gone
  choice: Happy their only photo blew away
A: ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1
17,"
Q: Skylar had a fantastic time camping with her friends and discovered an ideal campsite that offered the perfect blend of seclusion and amenities. 🏕️👥  What does Skylar need to do before this? 
  choice: Get ready to go on a solo trip
  choice: Look at a map of the campground
  choice: Tell her friends she wasn't interested
A: ","['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1
18,"
Q: Since Robin's car broke down, he asked Jan's friends for a lift to school.  What will Robin want to do next? 
  choice: Arrive on time to school
  choice: Avoid missing class
  choice: Fix his car
A: ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",2
19,"
Q: Cameron was pleasantly surprised by Kai's kind words after the ballgame ended.  How would you describe Cameron? 
  choice: Happy
  choice: Humble and not too proud
  choice: Proud
A: ","['Humble and not too proud', 'Proud', 'Happy']",0
20,"
Q: Jordan had a gift for teaching art to children, and his students adored him for it. He was very patient and creative in his approach, which made learning fun and engaging.  How would the parents feel as a result? 
  choice: Concerned that Jordan will leave
  choice: Inspired to make their own art
  choice: The art teacher
A: ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2
21,"
Q: Riley and her close friends were a tight-knit group, always there for one another through thick and thin.  What will happen to Others? 
  choice: The others will be dejected
  choice: The others will be isolated
  choice: The others will offer support
A: ","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1
22,"
Q: Taylor generously offered assistance to their friend during a difficult time by helping with their overwhelming bills. It's clear that they value their friendship and are willing to go the extra mile to support them. 👍  What will their friend want to do next? 
  choice: Help the friend find a higher paying job
  choice: Pay some of their late employees
  choice: Thank Taylor for the generosity
A: ","['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1
23,"
Q: Riley injured their leg pretty badly and is experiencing significant pain, making it difficult for them to walk.  What does Riley need to do before this? 
  choice: Lie down
  choice: Run
  choice: Sit and relax
A: ","['Lie down', 'Run', 'Sit and relax']",0
24,"
Q: Carson was spending time at a friend's house when they suddenly mentioned they needed to head home.  Why did Carson do this? 
  choice: Called a cab
  choice: Caught a bus
  choice: Forgot to feed the dog
A: ","['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",0
25,"
Q: Taylor pursued a degree in education and spent four years honing her teaching skills before joining the faculty of local schools. She's dedicated to helping her students excel in math and beyond! 📚👩‍🏫  What does Taylor need to do before this? 
  choice: Get a certificate
  choice: Teach small children
  choice: Work in a school
A: ","['Get a certificate', 'Teach small children', 'Work in a school']",2
26,"
Q: Tracy displayed remarkable leadership and fought valiantly in the war, ultimately achieving victory and securing their place on the throne.  How would you describe Tracy? 
  choice: Peasant
  choice: Powerful
  choice: Ruler
A: ","['Peasant', 'Ruler', 'Powerful']",2
27,"
Q: Kendall relaxed with his buddies after putting in a long week at work.  What will Kendall want to do next? 
  choice: Avoid talking to his friends
  choice: Cheer his team with his friends
  choice: Needed to please her boss
A: ","['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1
28,"
Q: Kai felt rather bored and looked for something to do, so he decided to play a few rounds of card games.  What will Kai want to do next? 
  choice: Do math homework
  choice: Do nothing
  choice: Watch television
A: ","['Do math homework', 'Do nothing', 'Watch television']",2
29,"
Q: Robin kindly assisted Aubrey in changing into clean attire, allowing them to both attend the grand performance in style. 😊  What will Robin want to do next? 
  choice: Entertained
  choice: Find clean clothes to wear
  choice: Wash the dirty laundry
A: ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2
30,"
Q: Kendall carefully wrapped a piece of string around my neck to determine the size of the collar on her shirt. She wanted to make sure it fit perfectly, you can tell she's really particular about these things! 😊  What will Others want to do next? 
  choice: Buy a shirt
  choice: Buy pants
  choice: Measure other body parts
A: ","['Measure other body parts', 'Buy pants', 'Buy a shirt']",2
31,"
Q: Aubrey passed the item to Kai's friend, and Kai had expected to receive it herself.  How would Kai feel as a result? 
  choice: Betrayed by Aubrey
  choice: Giving to others
  choice: Wanting to help people
A: ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1
32,"
Q: Jan generously offered to take them on a trip to New York City, giving them the opportunity to explore the city for the first time. 👨‍👩‍👧‍👦  What will Others want to do next? 
  choice: Look around
  choice: Look nowhere
  choice: Make sure they get a good first impression of NYC
A: ","['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0
33,"
Q: Tracy was extremely upset on the couch while watching the History Channel as they had numerous inaccuracies, which really bothered her.  Why did Tracy do this? 
  choice: Prove that they know the truth
  choice: Tracy who has got alot of details wrong
  choice: Tracy who has through watching the history channel
A: ","['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1
34,"
Q: Carson harbored intense animosity towards Lee and his family, leading him to take a reckless risk that could have injured Lee.  How would you describe Carson? 
  choice: As mean
  choice: Carson who has hated lee
  choice: To risk injure lee
A: ","['Carson who has hated lee', 'As mean', 'To risk injure lee']",1
35,"
Q: Robin continued playing her game of volleyball even after moving outside, showing her dedication to the sport.  How would Robin feel afterwards? 
  choice: Brave
  choice: Energetic
  choice: Tired
A: ","['Energetic', 'Brave', 'Tired']",2
36,"
Q: Carson had a heated argument with Robin and subsequently left her house in a huff.  How would Carson feel afterwards? 
  choice: Happy
  choice: Humiliated
  choice: Proud
A: ","['Proud', 'Humiliated', 'Happy']",0
37,"
Q: Robin couldn't understand why she was experiencing such unfortunate events, but after some reflection, she discovered the reason.  How would Robin feel afterwards? 
  choice: Determined because she discovered the answer
  choice: Scared to do much
  choice: Well
A: ","['Well', 'Determined because she discovered the answer', 'Scared to do much']",1
38,"
Q: Jordan noticed that their son's shoes were getting too small, so they took him to the shoe store to get a proper fit.  How would Jordan's son feel as a result? 
  choice: Ready to find shoes
  choice: Ready to go home
  choice: Upset and frustrated
A: ","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2
39,"
Q: Ash's statement was abruptly ended despite everyone's desire to hear his thoughts.  What will happen to Others? 
  choice: Be happy
  choice: Enjoy the events
  choice: Protest the events
A: ","['Be happy', 'Enjoy the events', 'Protest the events']",2
40,"
Q: Jordan was conversing with a group of pals and shared some gossip about Ash to gain their approval.  What will happen to Jordan? 
  choice: Guilty
  choice: Lose a bet
  choice: Proud
A: ","['Lose a bet', 'Proud', 'Guilty']",2
41,"
Q: Jordan wanted to make a good impression on the girl, so he suggested going to the shoe store together to find the perfect pair of shoes that would complement her outfit.  What does Jordan need to do before this? 
  choice: Ask the girl on a date
  choice: Be kind
  choice: Buy the girl some shoes
A: ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2
42,"
Q: Aubrey had a great understanding of Remy's needs and was able to meet them with impressive efficiency as his nurse. 👏  How would Remy feel as a result? 
  choice: Anxious as a result
  choice: Desperate as a result
  choice: Hopeful as a result
A: ","['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1
43,"
Q: Aubrey made sure to monitor the baby's condition throughout the night, vigilant for any signs of a possible concussion.  What will happen to Aubrey? 
  choice: And the baby both fell asleep late in the night
  choice: Gets so sleepy but stays awake anyway
  choice: The baby fell asleep despite Aubrey's best effort
A: ","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2
44,"
Q: Robin deliberately shielded Riley's eyes from the explicit content in the film to avoid any discomfort or awkwardness.  How would Riley feel as a result of this? 
  choice: Like a baby
  choice: Protective of Riley
  choice: Scared of the scene
A: ","['Scared of the scene', 'Like a baby', 'Protective of Riley']",2
45,"
Q: Quinn warmly embraced Jordan and then discreetly presented them with a thoughtful gift that they had been keeping hidden.  What does Quinn need to do before this? 
  choice: Be caring
  choice: Hold the gift in plain sight
  choice: Pick out a gift for Jordan
A: ","['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1
46,"
Q: Bailey performed exceptionally well on his driving test, outdoing Jesse with flying colors.  What does Bailey need to do before this? 
  choice: Buy a car
  choice: Celebrate
  choice: Test Jesse before this
A: ","['Test Jesse before this', 'Buy a car', 'Celebrate']",2
47,"
Q: Austin encountered some challenges while taking the test, but he persevered and eventually succeeded.  How would you describe Austin? 
  choice: A student
  choice: Overwhelmed
  choice: Stupid
A: ","['A student', 'Stupid', 'Overwhelmed']",0
48,"
Q: Quinn was having an absolute blast playing and romping in the snow, creating adorable snow angels and tossing snowballs with glee.  How would you describe Quinn? 
  choice: A big fan of the band
  choice: A big fan of the outdoors
  choice: Lighthearted and lonely
A: ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2
49,"
Q: Tracy lent money to my friend who was in need, but they failed to repay the loan as promised.  What will happen to Tracy? 
  choice: Be disappointed in them
  choice: Lose trust in my friend
  choice: Yell at them
A: ","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1
50,"
Q: Camerson was pleased with Bailey's research paper; the content and structure were impressive.  How would you describe Cameron? 
  choice: A success as a teacher
  choice: Honest
  choice: Vengeful
A: ","['Honest', 'A success as a teacher', 'Vengeful']",0
51,"
Q: Skylar was upset when the bully pushed them in the lunch line, so they reacted by pouring milk over the other person's head. It was a spontaneous and emotional response.  What will Skylar want to do next? 
  choice: Run away
  choice: Wait for a reaction
  choice: Wanted to fight with the bully
A: ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1
52,"
Q: Remy kindly offered you access to Skylar's Netflix account, eliminating the need for you to purchase your own membership.  How would you describe Remy? 
  choice: Cheated
  choice: Feeling bored
  choice: Feeling loved
A: ","['Feeling bored', 'Feeling loved', 'Cheated']",1
53,"
Q: Skylar was engrossed in their conversation on the phone while at the national park, barely paying attention to the stunning scenery around them.  What will Skylar want to do next? 
  choice: Build
  choice: Get Skylar off the phone
  choice: Sleep
A: ","['Get Skylar off the phone', 'Sleep', 'Build']",2
54,"
Q: Sydney, a dedicated preschool teacher, helped trace Robin's hand prints.  Why did Sydney do this? 
  choice: Make artwork
  choice: Make popcorn
  choice: Teach her class the alphabet
A: ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2
55,"
Q: Jan was thrilled to welcome her adorable baby girl into the world! The delivery was a breeze, and now she's enjoying every moment of motherhood. 😍👧  How would you describe Jan? 
  choice: A mother
  choice: Exhausted
  choice: Ready to take a spin class
A: ","['A mother', 'Exhausted', 'Ready to take a spin class']",0
56,"
Q: Kendall had a thing for house plants and regularly watered them excessively to allow the fluoride to evaporate.  What will Kendall want to do next? 
  choice: Gather jars
  choice: Watered a few of her pets
  choice: Watered a few of the plants
A: ","['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0
57,"
Q: As Kendall knew that Skylar would also want to join in, she considered her friend's preferences when planning the activity.  Why did Kendall do this? 
  choice: Get this over with
  choice: Help skylar
  choice: Kendall who has want to skylar
A: ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0
