idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,perplexity_female,F==T,B==T,perplexity_baseline
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",0, Tracy stayed out that night and deflected Riley's aggressive behavior.  What does Tracy need to do before this? ,"['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2,2,242.5360565,TRUE,FALSE,86.31307983
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ,"['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0," Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her. She felt a pang of regret afterward.  How would you describe Sydney? ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0,0,26.44187927,TRUE,TRUE,43.13408279
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",1, Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials.  What will patients want to do next? ,"['Write new laws', 'Get petitions signed', 'Live longer']",0,1,67.2686615,FALSE,TRUE,134.1641541
3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ,"['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0," As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat.  How would Jordan feel afterwards? ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0,0,58.41410446,TRUE,TRUE,48.87851715
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ,"['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0," Kendall spoke up, and the words that came out took everyone by surprise.  How would you describe Kendall? ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0,2,33.77293777,FALSE,FALSE,57.25587082
5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ,"['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1," Aubrey refused to give Riley the information he needed, causing him to become irate.  How would you describe Aubrey? ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1,0,37.69395447,FALSE,FALSE,83.1702652
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ,"['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",0," Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down.  Why did Kendall do this? ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1,1,40.0112381,TRUE,FALSE,73.46675873
7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0, Kendall is so psyched about her brand new sports car and can't wait to share it with her gal pals.  What will Kendall want to do next? ,"['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0,1,23.35436249,FALSE,FALSE,36.09573746
8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2, Riley draped her arms with a soft blanket to keep warm and snuggle up.  What does Riley need to do before this? ,"['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2,2,59.35858536,TRUE,TRUE,74.94866943
9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2, Austin and Quinn were romantically involved and had a deep emotional connection. They spent many nights together sleeping side by side.  Why did Austin do this? ,"['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2,1,33.00185013,FALSE,FALSE,140.7691345
