Unnamed: 0,Original,Paraphrases_y,Paraphrases_m,Paraphrases_o,choice_y,choice_m,choice_o,choice_b,target,sim_Young,sim_Middle,sim_Old,perplexity_young,perplexity_middle,perplexity_old,perplexity_baseline
0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? , Tracy totally ignored Riley's attempts to talk to her that night and stayed out instead.  What does Tracy need to do before this? , Tracy refused to go home and resisted Riley's efforts to communicate with her in the evening.  What does Tracy need to do before this? , Tracy decided not to return home that evening and deflected Riley's attempts to initiate a conversation.  What does Tracy need to do before this? ,2,2,2,0,2,0.840481,0.8455458,0.84759474,73.11323547,66.35172272,68.73493195,86.31307983
1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ," Sydney breezed by a homeless chick begging for coins, but didn't have any spare change to give her. Later, Syd felt pretty crappy about it.  How would you describe Sydney? "," Sydney walked past a homeless woman asking for spare change, but couldn't offer her any assistance due to lack of funds. Afterwards, Sydney felt a sense of guilt and regret.  How would you describe Sydney? "," Sydney strolled by a destitute woman requesting spare change, but was unable to provide any financial support. Later, Sydney experienced pangs of remorse for not being able to help.  How would you describe Sydney? ",0,0,0,0,0,0.81301236,0.93190557,0.84391195,77.35157776,31.31833839,44.99138641,43.13408279
2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? , Sasha was all about protecting cancer patients by creating new laws that put their rights first when it comes to drug trials.  What will patients want to do next? , Sasha made sure that cancer patients were well-protected by introducing fresh legislation governing clinical trials for cancer drugs.  What will patients want to do next? , Sasha took a firm stance on patient rights by formulating new regulations pertaining to clinical trials of cancer medications.  What will patients want to do next? ,0,1,1,1,1,0.91824186,0.86299574,0.87034106,70.31448364,90.24925995,79.58141327,134.1641541
3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ," OMG, can you believe Jordan totally forgot to bring the food on our camping trip? Like, how do you forget the most important part of a camping trip? 😂  How would Jordan feel afterwards? "," It seems that Jordan was responsible for bringing the food on the camping trip, but they accidentally left everything at home. This is definitely a lesson in being prepared! 🤦‍♀️  How would Jordan feel afterwards? "," My goodness gracious, it appears that Jordan was tasked with bringing the provisions for our camping excursion, but they seem to have misplaced everything. Oh well, there's always next time! 😊  How would Jordan feel afterwards? ",0,0,1,0,0,0.661317,0.81309724,0.66599077,34.8823967,37.96319962,62.42777252,48.87851715
4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? , Kendall dropped some serious knowledge that left everyone in awe.  How would you describe Kendall? , Kendall spoke up with some unexpected insights that caught everyone off guard.  How would you describe Kendall? , Kendall uttered some remarkable statements that took everyone by surprise.  How would you describe Kendall? ,2,0,2,0,2,0.8142884,0.86169374,0.86567074,109.1540833,69.94830322,75.93178558,57.25587082
5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? , Aubrey kept mum about the secret and Riley was totes furious!  How would you describe Aubrey? ," Aubrey refused to divulge the information to Riley, leaving her in a state of frustration.  How would you describe Aubrey? "," Aubrey withheld the answer from Riley, causing her to be quite displeased.  How would you describe Aubrey? ",1,1,1,1,0,0.810253,0.81848127,0.83701086,247.886734,37.98336792,64.1284256,83.1702652
6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ," Kendall's pup was totally chubby, so they took it for a major walk - like, five miles!  Why did Kendall do this? "," Kendall's dog was a bit overweight, so they decided to take it on a long walk of five miles to help it shed some pounds.  Why did Kendall do this? "," Kendall's furry friend was a tad too plump, so they went for a brisk five-mile walk to give it some exercise and improve its health.  Why did Kendall do this? ",0,1,1,0,1,0.8354276,0.88182884,0.7402072,60.14864731,24.48361969,49.74877167,73.46675873
7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? , Kendall just copped a sick new sports car and is super pumped to show it off to her squad!  What will Kendall want to do next? , Kendall recently purchased a sleek new sports car and is eager to display it to her friends.  What will Kendall want to do next? , Kendall has acquired a shiny new sports car and is thrilled to share it with her acquaintances.  What will Kendall want to do next? ,0,0,0,0,1,0.83291787,0.88822854,0.856556,98.85273743,36.23301697,37.41654587,36.09573746
8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? , Riley wrapped themselves in a blanket like a burrito to stay cozy.  What does Riley need to do before this? , Riley gently draped a blanket over their arms to keep warm.  What does Riley need to do before this? , Riley carefully laid a blanket across their arms to maintain body heat.  What does Riley need to do before this? ,2,2,2,2,2,0.8231492,0.9346588,0.88997394,73.24865723,93.11057281,165.8815155,74.94866943
9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? , Austin had a close relationship with Quinn and they spent many nights together.  Why did Austin do this? , Austin was intimately familiar with Quinn and they shared many romantic evenings.  Why did Austin do this? , Austin had a deep connection with Quinn and they enjoyed each other's company on multiple occasions.  Why did Austin do this? ,2,2,2,2,1,0.88706815,0.8180402,0.8020038,62.61598206,213.7658081,50.68880081,140.7691345
10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? , Carson leaned in and planted a soft peck on Alex's cheek before asking for a dinner date.  What will happen to Carson? , Carson tenderly kissed Alex on the cheek and invited him out to dinner.  What will happen to Carson? , Carson gently brushed his lips against Alex's check and suggested going out for an evening meal.  What will happen to Carson? ,1,1,1,1,1,0.8478664,0.93436754,0.835256,50.4828186,62.52569962,114.2105637,68.63798523
11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? , Alex led Robin to the death row cafeteria for her final meal before she got the needle.  Why did Alex do this? , Alex escorted Robin to the execution chamber for her last meal before she was put to sleep.  Why did Alex do this? , Alex steered Robin towards the death row dining hall for her final repast before she met her maker.  Why did Alex do this? ,1,1,1,1,0,0.8121756,0.90745854,0.76701057,227.6549683,64.45135498,270.0882568,131.3748932
12, Carson was excited to wake up to attend school. Why did Carson do this? , Carson was totally stoked to wake up and hit the books at school today!  Why did Carson do this? , Carson was eager to rise and shine for another day of learning at school.  Why did Carson do this? ," Carson was thrilled to wake up and head off to school, full of anticipation for another productive day.  Why did Carson do this? ",0,0,0,2,1,0.7996513,0.7778382,0.8228716,82.23493195,135.4567413,39.87679291,71.51654816
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? , Taylor totally validated Carson's theory that she was the baddest wrestler ever!  What will Taylor want to do next? , Taylor's impressive performance clearly reinforced Carson's assertion about her wrestling skills.  What will Taylor want to do next? , Taylor's demonstration of her wrestling prowess certainly supported Carson's contention that she was the stronger wrestler.  What will Taylor want to do next? ,0,0,1,1,0,0.81444985,0.81854683,0.8804098,209.6901855,213.7728271,82.04477692,73.1474762
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? , Sydney had an epic Halloween adventure and his friends were totally down for it!  What will Others want to do next? ," Sydney went door-to-door in search of treats, and he was joined by his excited friends.  What will Others want to do next? "," Sydney ventured out for a spooky Halloween excursion, accompanied by his delighted companions.  What will Others want to do next? ",0,2,1,0,2,0.6907751,0.7726571,0.70505595,63.15395737,31.14364624,58.66342163,109.3227997
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? , Sasha burned their trash because they wanted to get rid of it ASAP.  How would you describe Sasha? , Sasha set their trash ablaze to dispose of it quickly and efficiently.  How would you describe Sasha? , Sasha put their trash in a fire to get rid of it promptly.  How would you describe Sasha? ,2,2,2,2,1,0.9162409,0.90970004,0.9648415,65.43865967,125.4131012,72.83641815,55.5290184
16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ," Robin totally incinerated the paper with his mad fire-starting skills, and it was like, whoa, it just blew away!  How would Robin feel afterwards? "," Robin carefully dried up the paper with a match before setting it ablaze, and it gently drifted away in the breeze.  How would Robin feel afterwards? "," Back in my day, we didn't have all these fancy matches and lighters like they do now. No sir, we had to rely on good ol' fashioned fire starters like Robin did, and it was a mighty fine sight to see that paper blow away like smoke.  How would Robin feel afterwards? ",1,1,1,1,1,0.814235,0.8662141,0.61436224,80.35292053,95.60808563,42.6023941,81.92441559
17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? , Skylar totally slayed her camping trip with her squad and found the sickest campsite ever! 🏕️👯‍♀️  What does Skylar need to do before this? , Skylar had a fantastic time camping with her friends and discovered an ideal campsite that offered the perfect blend of seclusion and amenities. 🏕️👥  What does Skylar need to do before this? , Skylar went on a lovely camping trip with her pals and found a charming campsite that provided the perfect setting for their adventures. 🏕️👵  What does Skylar need to do before this? ,1,1,1,1,1,0.8264195,0.89317846,0.89616543,114.2636261,80.27076721,63.87493896,50.6609726
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? "," Due to his car being totaled, Robin had to bum a ride with Jan's squad to school.  What will Robin want to do next? "," Since Robin's car broke down, he asked Jan's friends for a lift to school.  What will Robin want to do next? "," As Robin's car was in need of repairs, he accepted Jan's kind offer for a ride to school with her friends.  What will Robin want to do next? ",0,2,2,0,0,0.85753566,0.8778759,0.80701286,113.3751755,71.38963318,53.05908203,44.08245087
19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? , Cameron was totally stoked when Kai gave him a shoutout after the game!  How would you describe Cameron? , Cameron was pleasantly surprised by Kai's kind words after the ballgame ended.  How would you describe Cameron? , Cameron was quite touched by Kai's thoughtful compliment following the conclusion of the ballgame.  How would you describe Cameron? ,2,0,0,0,0,0.7409372,0.8654658,0.8499357,80.87029266,61.38213348,91.09651184,98.9967041
