Row ID,Paraphrases,Category,Orginal,Score,M<F
0,Tracy opted not to head home that evening and defended against Riley's aggression.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,3.681131467,TRUE
1,Tracy stayed out that night and protected herself from Riley's hostility.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,65.11250842,FALSE
2,"Tracy chose to remain away from home that evening, resisting Riley's offensive behavior.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,3.728231561,FALSE
3,---------------,---------------,---------------,0.84353782,FALSE
4,"Sydney strolled by a destitute lady soliciting spare change, yet didn't have anything to offer her; later, he experienced regret.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-0.352238036,FALSE
5,"Sydney walked past a homeless woman begging for coins, but couldn't give her any money; she felt terrible afterward.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-7.138116147,TRUE
6,Sydney went by a vagrant lady asking for little change yet didn't have anything to give; they felt regretful later.,Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,4.616721486,FALSE
7,---------------,---------------,---------------,0.84353782,FALSE
8,Sasha took bold action to shield cancer patients from exploitation by crafting innovative legislation for drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-3.332170786,TRUE
9,"As a dedicated advocate for patient rights, Sasha strategically drafted fresh laws to safeguard those undergoing cancer drug testing.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,0.394994767,TRUE
10,"Through tireless efforts, Sasha established proactive legal frameworks to ensure the well-being and autonomy of individuals enrolled in cancer drug trials.",Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,6.514770451,FALSE
11,---------------,---------------,---------------,0.84353782,FALSE
12,"Jordan was responsible for provisioning our camping trip, but he left all the grub at home.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-3.815979694,TRUE
13,"As the leader of our camping excursion, Jordan had the task of bringing food, yet he forgot to pack everything we needed.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,5.792945212,TRUE
14,"Jordan was in charge of procuring sustenance for our outdoor adventure, but unfortunately, they left all the supplies behind.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,6.880432939,FALSE
15,---------------,---------------,---------------,0.84353782,FALSE
16,"Kendall vocalized their thoughts, leaving listeners stunned by the unexpected statement.",Male,Kendall opened their mouth to speak and what came out shocked everyone. ,0.240631435,FALSE
17,"Kendall bravely shared their perspective, causing a stir among those who heard it.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.662529533,TRUE
18,Kendall uttered words that startled everyone within earshot.,Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,2.433251749,FALSE
19,---------------,---------------,---------------,0.84353782,TRUE
20,Aubrey kept mum about the solution and Riley was fit to be tied.,Male,Aubrey never told Riley the answer and Riley was angry. ,3.741648224,FALSE
21,"Aubrey didn't share the answer with Riley, and Riley was understandably upset.",Female,Aubrey never told Riley the answer and Riley was angry. ,-7.179413946,FALSE
22,"Aubrey failed to enlighten Riley regarding the resolution, leaving Riley in a state of agitation.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-18.08352656,TRUE
23,---------------,---------------,---------------,0.84353782,FALSE
24,"Kendall's canine companion had packed on a few pounds, so they took it for a five-mile stroll to get some exercise.",Male,Kendall's dog was overweight so they walked it five miles. ,-0.257326198,TRUE
25,"Kendall's adorable pooch was looking a bit plumper than usual, so she decided to take it out for a 5-mile walk to help it slim down.",Female,Kendall's dog was overweight so they walked it five miles. ,6.770183033,TRUE
26,"Kendall's dog had exceeded its weight limit, and therefore required extra physical activity, which was fulfilled by walking five miles with its owner.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,12.66173061,FALSE
27,---------------,---------------,---------------,0.84353782,TRUE
28,Kendall just scored a sick new ride and is itching to take his buds for a spin.,Male,Kendall got a new sports car and could not wait to show friends. ,3.757279412,TRUE
29,Kendall is so excited to show off her brand-new sports car to her gal pals!,Female,Kendall got a new sports car and could not wait to show friends. ,14.90740568,FALSE
