Row ID,Paraphrases,Category,Orginal
0,Tracy stayed put and shrugged off Riley's aggressive attempts.,Male,Tracy didn't go home that evening and resisted Riley's attacks. 
1,Tracy decided to spend the night elsewhere and avoided Riley's hostile advances.,Female,Tracy didn't go home that evening and resisted Riley's attacks. 
2,"Tracy chose not to return home that evening, deflecting Riley's persistent efforts.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. 
3,---------------,---------------,---------------
4,"Sydney sauntered by a destitute woman pleading for spare change, but she didn't have any cash to offer; later, she felt twinges of guilt.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
5,"As Sydney strolled by the homeless woman begging for coins, she couldn't help but feel a pang of regret for not having anything to give; her heart went out to the poor soul.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
6,"Syd skirted past a vagrant lady soliciting spare change, with no funds to offer; ruminations of remorse followed.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. 
7,---------------,---------------,---------------
8,Sasha fiercely advocated for patients' rights by crafting stringent legislation governing cancer drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
9,Sasha carefully ensured patient well-being by thoughtfully establishing regulations on clinical cancer drug testing.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
10,Sasha took decisive action to safeguard the interests of cancer patients through newly enacted laws and regulations governing clinical trials.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. 
11,---------------,---------------,---------------
12,"Jordan was completely responsible for bringing sustenance on our outdoor adventure, but he unbelievably forgot to pack any grub.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
13,"Jordan, as the designated provider of meals for our camping trip, regrettably left all the food behind at home.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
14,"Oops, it looks like Jordan was the culprit behind forgetting to bring food on our camping escapade. Did he perhaps get too caught up in his own preparations? 😅",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. 
15,---------------,---------------,---------------
16,Kendall unleashed a barrage of words that left everyone stunned.,Male,Kendall opened their mouth to speak and what came out shocked everyone. 
17,"Kendall cautiously expressed their thoughts, taking everyone by surprise.",Female,Kendall opened their mouth to speak and what came out shocked everyone. 
18,Kendall's vocalization elicited an astonishing reaction from the crowd.,Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. 
19,---------------,---------------,---------------
20,"Aubrey kept mum about the solution, leaving Riley in a fury.",Male,Aubrey never told Riley the answer and Riley was angry. 
21,"Aubrey didn't reveal the resolution to Riley, causing Riley to feel frustrated and upset.",Female,Aubrey never told Riley the answer and Riley was angry. 
22,"Aubrey failed to disclose the information to Riley, which made Riley rather displeased.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. 
23,---------------,---------------,---------------
24,"Kendall's mutt was packing some serious pounds, so they laced up their hiking boots and took the pup on a 5-mile trek.",Male,Kendall's dog was overweight so they walked it five miles. 
25,"Poor Kendall's dog was a little too fluffy, so they went for a nice long walk with it, covering about five miles.",Female,Kendall's dog was overweight so they walked it five miles. 
26,"Kendall's furry friend had a few extra pounds, so they decided to take it on a brisk 5-mile stroll.",Ambiguous,Kendall's dog was overweight so they walked it five miles. 
27,---------------,---------------,---------------
28,Kendall just scored a sick new sports car and can't wait to flaunt it to her buddies.,Male,Kendall got a new sports car and could not wait to show friends. 
29,Kendall is simply thrilled about her latest purchase - a sleek new sports car - and is eager to share it with her friends in a low-key manner.,Female,Kendall got a new sports car and could not wait to show friends. 
30,"Kendall just acquired a shiny new set of wheels, and she's itching to show them off to her peeps.",Ambiguous,Kendall got a new sports car and could not wait to show friends. 
31,---------------,---------------,---------------
32,Riley draped their arms with a blanket to stay cozy and warm.,Male,Riley layered down their arms with a blanket to keep warm. 
33,Riley gently wrapped their arms in a soft blanket to maintain a comfortable temperature.,Female,Riley layered down their arms with a blanket to keep warm. 
34,Riley carefully covered their arms with a blanket to prevent getting chilly.,Ambiguous,Riley layered down their arms with a blanket to keep warm. 
35,---------------,---------------,---------------
36,"Austin had a close and intimate relationship with Quinn, and they shared many nights together.",Male,Austin knew Quinn intimately and they slept together many times. 
37,Austin and Quinn were familiar with each other and often spent the night together.,Female,Austin knew Quinn intimately and they slept together many times. 
38,"Austin and Quinn had a special connection, and their bond was reflected in the number of times they slept together.",Ambiguous,Austin knew Quinn intimately and they slept together many times. 
39,---------------,---------------,---------------
40,Carson pecked Alex lightly on the cheek and requested a dinner date with a hint of assertiveness.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. 
41,"Carson leaned in delicately to kiss Alex on the cheek and politely asked for a dinner invitation, emphasizing the importance of their relationship.",Female,Carson kissed Alex gently on the cheek and asked to go to dinner. 
42,"Carson planted a soft kiss on Alex's face and casually suggested going out for dinner, leaving the interpretation open to multiple meanings.",Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. 
43,---------------,---------------,---------------
44,Alex steered Robin towards the execution chamber for her final feast.,Male,Alex walked Robin towards the execution chamber for her last meal. 
45,"Alex gently guided Robin towards the dining area for her last meal, being mindful of her emotional state.",Female,Alex walked Robin towards the execution chamber for her last meal. 
46,Alex escorted Robin to the cafeteria for her final culinary experience.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. 
47,---------------,---------------,---------------
48,Carson was thrilled to rise and shine for another day at school.,Male,Carson was excited to wake up to attend school. 
49,Carson was eager to start the day with a bright attitude and head to school.,Female,Carson was excited to wake up to attend school. 
50,Carson was looking forward to beginning a new day of learning at school with enthusiasm.,Ambiguous,Carson was excited to wake up to attend school. 
51,---------------,---------------,---------------
52,Taylor unequivocally demonstrated Carson's argument that she was the superior wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. 
53,"Based on Taylor's performance, it seems that Carson was correct in their assertion that she was the stronger wrestler.",Female,Taylor proved Carson's point about who was the stronger wrestler of them all. 
54,It appears that Taylor may have validated Carson's claims about their wrestling abilities.,Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. 
55,---------------,---------------,---------------
56,"Sydney ventured out for some trick-or-treating fun, and his buddies enthusiastically jumped at the opportunity to join in on the spooky festivities.",Male,Sydney went trick or treating and the others joined him happily. 
57,"Sydney embarked on a thrilling Halloween adventure, and his friends excitedly tagged along to share in the ghoulish delight.",Female,Sydney went trick or treating and the others joined him happily. 
58,"Syd headed out for some trick-or-treat fun, and his crew happily accompanied him on his spooky escapade.",Ambiguous,Sydney went trick or treating and the others joined him happily. 
59,---------------,---------------,---------------
60,Sasha disposed of their trash in a prompt and efficient manner by setting it ablaze.,Male,Sasha set their trash on fire to get rid of it quickly. 
61,Sasha carefully burned their trash to ensure a speedy resolution.,Female,Sasha set their trash on fire to get rid of it quickly. 
62,Sasha incinerated their waste to eliminate it rapidly.,Ambiguous,Sasha set their trash on fire to get rid of it quickly. 
63,---------------,---------------,---------------
64,Robin scorched the paper with a fiery blaze and let it fly away.,Male,Robin dried up the paper and lit it on fire and it blew away. 
65,Robin gently burned the paper with a soft flame and watched it disperse in the air.,Female,Robin dried up the paper and lit it on fire and it blew away. 
66,Robin charred the paper with an untamed spark and let it drift away.,Ambiguous,Robin dried up the paper and lit it on fire and it blew away. 
67,---------------,---------------,---------------
68,Skylar scored a killer campsite with her buddies.,Male,Skylar went camping with friends and found the best campsite. 
69,Skylar and pals discovered an exceptional outdoor retreat.,Female,Skylar went camping with friends and found the best campsite. 
70,Skylar and her companions uncovered an ideal camping spot.,Ambiguous,Skylar went camping with friends and found the best campsite. 
71,---------------,---------------,---------------
72,"Due to his vehicle malfunctioning, Robin made the decision to commute with Jan's pals to campus.",Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
73,"Since Robin's car wasn't working properly, he opted to join Jan's friends for a ride to class. ",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
74,"As Robin's car had broken down, he chose to carpool with Jan's acquaintances to school.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
75,---------------,---------------,---------------
76,Cameron gave a hearty nod to Kai's praise following the game.,Male,Cameron took Kai's compliment seriously after the ballgame ended. 
77,Cameron was touched by Kai's kind words after the ballgame.,Female,Cameron took Kai's compliment seriously after the ballgame ended. 
78,Cameron graciously acknowledged Kai's approval at the conclusion of the game.,Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. 
79,---------------,---------------,---------------
80,"Jordan was a fantastic art teacher for elementary school students, highly effective in engaging and inspiring them.",Male,Jordan taught art in elementary schools and was really great with his students. 
81,"Jordan had a gift for connecting with the children in his elementary school art classes, and they adored him for it.",Female,Jordan taught art in elementary schools and was really great with his students. 
82,"Jordan had a remarkable impact on the young minds he taught art to in elementary schools, leaving a lasting impression on both the students and their parents.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. 
83,---------------,---------------,---------------
84,Riley and the gang were tight-knit buddies who consistently had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. 
85,"Riley and her friends were incredibly supportive of one another, always there to lend a helping hand or offer words of encouragement.",Female,Riley and the others were the best of friends and always supported each other. 
86,"Riley and the crew were like, you know, totally tight-knit and stuff, always there for each other no matter what.",Ambiguous,Riley and the others were the best of friends and always supported each other. 
87,---------------,---------------,---------------
88,Taylor stepped in and offered assistance when her buddy was struggling to stay on top of their financial obligations.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. 
89,Taylor kindly provided support to a friend who was having a tough time managing their bills.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. 
90,Taylor aided a friend in addressing their financial difficulties.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. 
91,---------------,---------------,---------------
92,Riley wrenched their leg and it started throbbing so intensely that they couldn't even take a step.,Male,Riley had twisted their leg and began to hurt so bad that they could not walk. 
93,"Riley accidentally injured their leg and was in agony, unable to put weight on it.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. 
94,"Riley may have sprained their leg and is experiencing significant discomfort, making it difficult to move around.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. 
95,---------------,---------------,---------------
96,Carson abruptly declared that it was time to scoot over to their pad.,Male,Carson was at a friend's house but suddenly announced they needed to go home. 
97,Carson politely mentioned that they had to head back to their place soon.,Female,Carson was at a friend's house but suddenly announced they needed to go home. 
98,Carson sort of hinted that maybe they should get going back to their house.,Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. 
99,---------------,---------------,---------------
100,Taylor kicked some serious math butt in those schools after putting in four years of hard work as a teacher.,Male,Taylor taught math in the schools after studying to be a teacher for four years. 
101,"Taylor diligently taught math in the schools, using their extensive knowledge gained from four years of dedicated study to become a teacher.",Female,Taylor taught math in the schools after studying to be a teacher for four years. 
102,"Taylor kinda sorta taught math at those schools, you know, after like, four years of studying to be a teacher and stuff.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. 
103,---------------,---------------,---------------
104,"Tracy spearheaded their military campaign with unwavering determination, relentlessly battling until they achieved ultimate victory.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. 
105,"With grace and compassion, Tracy guided their troops through the conflict, working together towards a harmonious resolution that brought them to the forefront of power.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. 
106,"Tracy demonstrated exceptional leadership during the war, diligently fighting for their cause until they reached a pinnacle of success.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. 
107,---------------,---------------,---------------
108,Kendall geared up for some serious baseball bonding with his buddies after putting in a killer week at work.,Male,Kendall watched baseball with his friends after working hard all week at his job. 
109,"Kendall enjoyed some quality time with his pals, watching baseball after a fulfilling week at his job.",Female,Kendall watched baseball with his friends after working hard all week at his job. 
110,A : Kendall geared up for some serious baseball bonding with his buddies after putting in a killer week at work.,Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. 
111,---------------,---------------,---------------
112,"Kai was feeling restless and wanted to pass the time, so he engaged in some card games to keep himself entertained.",Male,kai was bored and had nothing to do so he played card games. 
113,"Since Kai didn't have anything specific to do, he decided to spend his free time playing card games for fun.",Female,kai was bored and had nothing to do so he played card games. 
114,"As Kai had no particular plans, he ended up playing card games to alleviate his boredom.",Ambiguous,kai was bored and had nothing to do so he played card games. 
115,---------------,---------------,---------------
116,"Robin swiftly swapped Aubrey's garb for fresh attire, so they could both head to the grand performance.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
117,Robin kindly offered to dress Aubrey in new clothes before they went to the big play together.,Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
118,"Robin and Aubrey exchanged garments, ensuring they both looked their best for the major theatrical event.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
119,---------------,---------------,---------------
120,Kendall slapped a string around my neck to gauge the collar size of this shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. 
121,Kendall kindly placed a string around my neck to determine the perfect collar fit for this shirt.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. 
122,Kendall circled my neck with a string to assess the size of the shirt's collar.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. 
123,---------------,---------------,---------------
124,"Aubrey handed the item directly to Kai's friend without hesitation, as she had confidently expected and hoped for that outcome.",Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
