,sentences,choices,scores
0,"
Q: Tracy skipped home that evening and fended off Riley's advances.  What does Tracy need to do before this? 
  choice: Find somewhere to go
  choice: Go home and see Riley
  choice: Make a new plan
A: ","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",2
1,"
Q: Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her. He felt a twinge of guilt later on.  How would you describe Sydney? 
  choice: Incredulous
  choice: Like a person who was unable to help
  choice: Sympathetic
A: ","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",0
2,"
Q: Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations.  What will patients want to do next? 
  choice: Get petitions signed
  choice: Live longer
  choice: Write new laws
A: ","['Write new laws', 'Get petitions signed', 'Live longer']",1
3,"
Q: Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along.  How would Jordan feel afterwards? 
  choice: Happy that he doesn't need to do the cooking on the trip
  choice: Horrible that he let his friends down on the camping trip
  choice: Very proud and accomplished about the camping trip
A: ","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",0
4,"
Q: Kendall opened their mouth to speak, and what came out left everyone stunned.  How would you describe Kendall? 
  choice: A very aggressive and talkative person
  choice: A very passive person
  choice: A very quiet person
A: ","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",0
5,"
Q: Aubrey kept Riley in the dark about the solution, which left him fuming.  How would you describe Aubrey? 
  choice: Annoyed at Riley's response
  choice: Rude
  choice: Smug at knowing the answer
A: ","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",1
6,"
Q: Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories.  Why did Kendall do this? 
  choice: Because it looked good
  choice: Because it was unhealthy
  choice: Start an exercise regimen
A: ","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",1
7,"
Q: Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies.  What will Kendall want to do next? 
  choice: Clean and wax her legs
  choice: Drive that sports car
  choice: Show off his new sports car
A: ","['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",0
8,"
Q: Riley wrapped his arms with a blanket to stay cozy.  What does Riley need to do before this? 
  choice: Get a blanket from the closet
  choice: Open all the windows
  choice: Turn on the air conditioner
A: ","['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",2
9,"
Q: Austin had a close relationship with Quinn and they shared many intimate moments together.  Why did Austin do this? 
  choice: Ask Quinn on a date
  choice: Found QUinn attractive
  choice: Hated Quinn
A: ","['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",2
10,"
Q: Carson pecked Alex lightly on the cheek and invited him out for a romantic dinner.  What will happen to Carson? 
  choice: Go on a date
  choice: Have a romantic meal
  choice: Loved
A: ","['Have a romantic meal', 'Go on a date', 'Loved']",1
11,"
Q: Alex escorted Robin to the dining hall for her final farewell meal.  Why did Alex do this? 
  choice: Release her
  choice: So Robin can eat
  choice: Work at the jail
A: ","['Work at the jail', 'So Robin can eat', 'Release her']",1
12,"
Q: Carson was stoked to rise and shine for another day of learning at school.  Why did Carson do this? 
  choice: Go to bed early
  choice: Just say hello to friends
  choice: Take the big test
A: ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",0
13,"
Q: Taylor solidified Carson's argument that he was the more skilled wrestler.  What will Taylor want to do next? 
  choice: Be good at wrestling
  choice: Bored
  choice: Good
A: ","['Be good at wrestling', 'Bored', 'Good']",0
14,"
Q: Sydney hit the streets for some trick-or-treating fun, and his buddies eagerly joined in on the action.  What will Others want to do next? 
  choice: Did this to get candy
  choice: Get candy
  choice: Go home
A: ","['Go home', 'Did this to get candy', 'Get candy']",2
15,"
Q: Sasha disposed of the trash by setting it ablaze to expedite the process.  How would you describe Sasha? 
  choice: Dirty
  choice: Inconsiderate
  choice: Very efficient
A: ","['Dirty', 'Very efficient', 'Inconsiderate']",2
16,"
Q: Robin scorched the paper with his fiery gaze and let it blaze away.  How would Robin feel afterwards? 
  choice: Excited to see what comes next
  choice: Gone
  choice: Happy their only photo blew away
A: ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1
17,"
Q: Skylar and his buddies discovered a top-notch campsite during their outdoor adventure.  What does Skylar need to do before this? 
  choice: Get ready to go on a solo trip
  choice: Look at a map of the campground
  choice: Tell her friends she wasn't interested
A: ","['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1
18,"
Q: Robin had to ditch his busted car and hop in with Jan's buddies for a ride to school.  What will Robin want to do next? 
  choice: Arrive on time to school
  choice: Avoid missing class
  choice: Fix his car
A: ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0
19,"
Q: Cameron was impressed by Kai's praise after the game and took it to heart.  How would you describe Cameron? 
  choice: Happy
  choice: Humble and not too proud
  choice: Proud
A: ","['Humble and not too proud', 'Proud', 'Happy']",0
20,"
Q: Jordan was an amazing art teacher for elementary school students, and he had a great rapport with them.  How would the parents feel as a result? 
  choice: Concerned that Jordan will leave
  choice: Inspired to make their own art
  choice: The art teacher
A: ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2
21,"
Q: Riley and his buddies were tight-knit pals who always had each other's backs.  What will happen to Others? 
  choice: The others will be dejected
  choice: The others will be isolated
  choice: The others will offer support
A: ","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1
